,Unnamed: 0,segment,sentiment,embeddings
57,57,since governance be never clearly define in the programme -PRON- lead to the programme be spread too thinly,negative,[-2.2708604   2.2922194   0.18649037]
58,58,however -PRON- be still too early and not yet clear if the work on the ipc chronic food insecurity classification scale and the nutrition scale will be widely adopt,negative,[-1.6672665 -0.8962526  3.2691555]
59,59,however the work on resilience be not integrate with other programming initiative such as social protection and sustainable agriculture,negative,[-1.3200973 -0.6718336  2.3947554]
60,60,wfp and ifad do not participate in the design,negative,[-1.4705085  -0.89405704  2.9512177 ]
61,61,well balance be need,negative,[-0.6567708   0.23125832  0.2903186 ]
62,62,because fao be in the early stage of -PRON- strategic re organization the corporate environment be not yet conducive to fully support such a multi stakeholder and multi sector effort indeed the igghrp help facilitate some of the need corporate change,negative,[-1.1158656 -1.0838801  2.582617 ]
63,63,igghrp also lack a strategic focus on a target governance space e.g. smallholder farmer and producer organisation or a theory of change make -PRON- difficult to maintain horizontal linkage across the outcome e.g. social protection link to resilience programming,negative,[-1.509103  -1.399576   3.6731052]
64,64,e process and use fao internal mechanism for m&e limited m&e capacity could account for weak monitoring of governance outcome change,negative,[-2.5841546   0.52985805  2.5984004 ]
65,65,however the intend result be ambitious within the give time frame,negative,[-1.5352334  -0.63028604  2.5108433 ]
66,66,nonetheless there be scope to improve the coordination structure with the involvement of subregional training institution and commission,negative,[-1.0887799 -1.230817   2.7445135]
67,67,as a result the development of technical guideline may be delay beyond 2017 especially in africa,negative,[-2.594792   0.8958753  2.2962632]
68,68,there be also little vertical coordination and communication within participate partner organization with the exception of the fao regional office for asia and the pacific rap,negative,[-1.4959861 -1.3959272  3.6198955]
69,69,field test the research result will well enable adaptation to specific country contexts and further increase country level capacity which can also benefit non funded region,negative,[-0.6589613  1.5905292 -1.2185943]
70,70,almost three quarter of the overall funding gap pertain to the lac near east and cis region while implementation in the africa region will not be affect due to the recent funding boost from the european commission,negative,[-1.1983736 -1.2143049  2.9122791]
71,71,however participation at the decision make level varie from country to country,negative,[-1.8316141 -0.9084842  3.3477802]
72,72,however diffusion of newly acquire capacity beyond the primary beneficiary be not obvious during the mte which could jeopardize the programme regardless of the positive sign of sustainability,negative,[-1.9443048  -0.15402962  2.6636758 ]
73,73,the funding gap usd 3.73 million at the global office level primarily affect the research component,negative,[-1.6524078 -1.2579088  3.594645 ]
74,74,in asia pacific the funding gap be about usd 6.16 million 45 percent of the budget allocate for the region,negative,[-1.9686685   0.04275158  2.4244435 ]
75,75,with the exception of fao none of the participate partner have contribute financially to the programme which raise the question as to whether there be enough interest to continue global strategy activity by implement partner after the current resource partner have cease to provide funding,negative,[-1.5790147 -1.105362   3.2091236]
76,76,this represent a miss opportunity and could result in the continued neglect of water access issue in the application of gwg principle,negative,[-1.9140006 -0.5265557  3.000399 ]
77,77,much remain to be do however with regard to alliance building beyond the technical water community as note above,negative,[-0.78266245 -1.7376934   2.8894985 ]
78,78,although outreach and communication be consider essential to reach target audience and to achieve the desire impact on national decision maker the draft communication strategy be not effectively implement,negative,[-1.9404076  -0.91414386  3.461967  ]
79,79,the focus shift however to concentrate on the more technical aspect of gwg,negative,[-1.4778048 -1.0377333  2.9488392]
80,80,still a more inclusive process in identify topic in a wide agricultural rural nexus be need for well policy linkage and resource mobilization,negative,[-0.82669127  0.864106   -0.04161564]
81,81,there be enhance coordination between ministry of agriculture and national statistics office nso but a lack of awareness about global strategy and -PRON- contribution remain which could affect resource mobilization,negative,[-1.7374544 -0.9021976  3.1834202]
82,82,in spite of advocacy communication and dissemination effort global strategy be largely unknown beyond -PRON- primary stakeholder,negative,[-1.3725692 -1.2406328  3.0482035]
83,83,national coordination mechanisms be set- up in several country but -PRON- may have to be revitalize for future use,negative,[-2.1242452  1.1027932  1.3512843]
84,84,apart from engagement with global initiative use the ipc such as the global report on food crisis the gsp have provide limited support for utilization of the ipc,negative,[-1.1630589 -1.5613557  3.233658 ]
85,85,factor negatively affect -PRON- usefulness include the geographic unit of analysis be too large and therefore insufficient granularity of analysis limited availability of datum and poor quality datum political sensitivity of the result and the challenge of translate the result into recommendation,negative,[-2.886955   1.1513871  2.0817468]
86,86,much more follow up support at country level be need,negative,[-1.9772338  -0.21194373  2.4786103 ]
87,87,data availability be a constraint particularly in country experience occasional pocket of acute food insecurity,negative,[-2.0114145 -0.4802081  3.080378 ]
88,88,but -PRON- be infrequently cite as a source of information for decision making and be not currently inform policy,negative,[-2.2365255   0.18974441  2.6636157 ]
89,89,view differ amongst gsp stakeholder about whether the ipc should be play an early warning role or not although this be clearly state in manual v3.0,negative,[-2.4039884   0.48955527  2.5236173 ]
90,90,the gsu have maintain -PRON- independence at global level but in some country the ipc be overly identify with fao with implication for -PRON- perceive neutrality,negative,[-0.78404313 -0.43688312  1.3040904 ]
91,91,furthermore some knowledge product and service should be well design and more user orient in order to enhance -PRON- utility,negative,[-1.233209    0.22453159  1.1918256 ]
92,92,great internal cooperation and coordination would enhance -PRON- efficiency,negative,[-1.2993141  1.7361608 -0.6920603]
93,93,ao data analysis and learning resource be often disseminate through unrelated platform and channel,negative,[-1.6281832 -0.7303224  2.8422985]
94,94,furthermore opportunity to capitalize on successful experience be often miss,negative,[-1.9397844  1.4534857  0.6754307]
95,95,some however could be even well tailor to the specific need of -PRON- target audience,negative,[ 0.3989228 -1.663779   1.0259738]
96,96,fao knowledge product and service be produce in a decentralized manner and generally operate on a shoestring budget,negative,[-1.2575415 -1.5983671  3.4202602]
97,97,however quality assurance procedure be apply inconsistently,negative,[-2.2607362  0.298542   2.5424798]
98,98,while most focus country be on the right course -PRON- be still too early to observe the impact of access to land on the local people and on reduce hunger and poverty,negative,[-1.5498288  2.1080234 -0.3846253]
99,99,this certainly reduce the visibility viability and authority of the nutrition strategy as a guide document within fao,negative,[-1.231662  -1.5419692  3.4049354]
100,100,however the synergy that be hope for between the ex ags staff and the rest of the division have yet to fully materialize,negative,[-0.99648345 -1.4818227   2.8662457 ]
101,101,a review of post allocation indicate that esn have currently a comparable level of professional post 30 as agn use to have in 2012 2013 28 while the number of general staff post have be halve from 18 to 9 over the same period,negative,[-0.2686129   0.20683156  0.02412618]
102,102,in fact esn have have a number of vacancy which -PRON- use to hire human resource on a short term basis through consultancy contract,negative,[-0.66693044 -0.1794794   0.99144256]
103,103,human resource and skill set be insufficient both to meet this grow demand and to cope with the challenge of a relatively new area of work require new skill and practical experience e.g. in inter sectoral policy dialogue planning and programming and relation with the private sector,negative,[-1.868939  -1.1038435  3.4672027]
104,104,a nutrition trust fund set up by fao after the icn2 conference be never promote to donor and never accrue to,negative,[-1.7119737  2.304298  -0.9286193]
105,105,those related to mainstreaming of nutrition in the field programme and policy work of the organization have see slow progress,negative,[-0.8599184 -1.8385493  3.253849 ]
106,106,the institutional disconnect between ministry of agriculture and ministry of health and between the correspond un agency be still present in many country,negative,[-1.1701019 -1.5562565  3.2626195]
107,107,member country increasingly associate fao with nutrition as evidence by -PRON- request and priority express during the 2016 round of regional conference but fao do not always have the capacity to respond to -PRON- demand,negative,[-0.9180492 -1.6961985  3.0618792]
108,108,the lack of corporate wide approach to nutrition extend to monitoring and evaluation which be not systematically pursue in fao nutrition sensitive programme,negative,[-1.5298465 -1.1847327  3.3896298]
109,109,so far these challenge have predominantly be approach through direct nutrition intervention mainly implement in the health sector yet improve diet through well agriculture and food system so call food base approach potentially offer more sustainable solution to all form of malnutrition,negative,[-0.41879454  1.371096   -1.3181725 ]
110,110,current effort in this direction should be expand to help team at headquarters and the different region learn from each other include horizontal learning from region to region,negative,[-2.1754184  2.0340552  0.378052 ]
111,111,however there be a potential overlap between output 1.1,negative,[-1.7805117 -0.7936291  3.230338 ]
112,112,the organization should not limit -PRON- to a decline emergency crisis response portfolio which in many case e.g. in protract crisis rely on ill adapt short term humanitarian funding,negative,[-1.3173759   1.7334168  -0.60465235]
113,113,capacity appear less robust in disaster risk reduction and management insurance and cash base approach and almost nil in conflict and political analysis,negative,[-1.8281492  -0.96082133  3.5524457 ]
114,114,there be potential for deep integration and further synergy through exchange of datum set integration of geographic information system and the sharing of datum collection tool such as tablet and satellite datum link service,negative,[-0.01408822  1.1932064  -2.0593398 ]
115,115,at national level the degree of engagement in strategic programme 5 still depend much on the profile skill set and preference of individual fao representative rather than on the relevance of strategic programme 5 to the country context and government priority,negative,[-2.071097   0.0941029  2.425548 ]
116,116,effort be be make to fill vacant position and hire new staff in key technical unit but this may not be enough,negative,[-2.2075582 -0.1259025  2.8968952]
117,117,this be because as fao expand -PRON- portfolio in emergency and rehabilitation activity the organization use humanitarian resource channel that be relatively easy to access than development funding,negative,[-1.5913924   1.2912345   0.38575062]
118,118,most of the personnel work on strategic programme 5 national and international be hire under consultancy contract with extremely short contractual period,negative,[-1.6750661   0.39192602  1.5206025 ]
119,119,fao lack a formal programme level connect the project and the country programming framework hence the recourse to country resilience strategy,negative,[-1.5583824 -1.4242995  3.577184 ]
120,120,while this may be adequate for one off response to sudden onset disaster -PRON- have prove problematic when implement recurrently as be often the case in protract crisis,negative,[-2.1948848  1.2797449  1.2928442]
121,121,many technical unit engage in resilience relate policy in a scatter manner,negative,[-1.2580968  -0.76527685  2.2875242 ]
122,122,in africa and the regional office for the near east and north africa the regional initiative be only fund by fao resource and therefore rather small and use to fund catalytic country level initiative,negative,[-2.5228446  0.8972623  2.2710211]
123,123,so far many of these service such as the community animal health worker or farmer field school have not be aggressively promote by fao,negative,[-0.5055686 -1.0460333  1.7802489]
124,124,fao could strengthen -PRON- strategic position by deepen -PRON- involvement in resilience,negative,[-1.2706968  1.8171737 -0.8703667]
125,125,while silos be break within strategic programme 5 there be potential for more collaboration between strategic programme at headquarters,negative,[-1.9363592  1.2827628  0.9765934]
126,126,seize the opportunity present by the current interest in resilience require continue and strengthen operational and technical capacity together with increase investment in resilience programming,negative,[-1.3511175   0.81170005  0.4223949 ]
127,127,resilience programming be not fundamentally new to fao,negative,[-2.2407951   1.4599422   0.77999806]
128,128,insufficient attention have be pay to knowledge management so far,negative,[-1.4767789 -1.419262   3.4666429]
129,129,however there have be no systematic staff training in resilience programming and only modest effort towards the development of knowledge sharing network,negative,[-1.3828095 -1.3625546  3.435288 ]
130,130,a thorough stakeholder analysis may have prevent these problem,negative,[-1.7157968 -0.9699907  3.2960439]
131,131,the logical framework and m&e plan however be never adapt to the new activity of the big2050 initiative,negative,[-1.4038173 -1.3372834  3.3489308]
132,132,component 2 activity relate to the bocaina mosaic come to a standstill around 2016 due to a misinterpretation of -PRON- attribution during project formulation,negative,[-1.2066828 -1.2576252  3.1109672]
133,133,argue that project outcome be not alter by this significant change no formal gef approval be seek for -PRON-,negative,[-1.7000955  2.627422  -1.142407 ]
134,134,all together the result of the component be consider moderately unsatisfactory,negative,[-0.86221933 -1.3354962   2.4153807 ]
135,135,the activity relate to the strengthening of the bocaina mosaic include the establishment of a permanent executive structure be largely base on a misconception at the time the project be conceive,negative,[-1.6242478   1.6526707   0.20253897]
136,136,bod biological oxygen demand value have not be reduce,negative,[-1.5396093   0.15730655  1.4980702 ]
137,137,the main flaw to be consider be the lack of a thorough previous stakeholder analysis and the lack of consideration of gender issue,negative,[-1.5361303 -1.3143387  3.5949926]
138,138,however at project conception -PRON- be wrongly consider that the mosaic be to have an executive character where in reality -PRON- be merely consultative,negative,[-2.235065   1.6015027  0.9079157]
139,139,change in fao regulation and procedure over the course of the project cause some implementation problem due to the require adaptation,negative,[-2.102408   -0.34613332  3.0744066 ]
140,140,under component 2 bocaina mosaic activity come to a standstill due to lack of interest among -PRON- member,negative,[-1.1663078 -1.3116364  3.0811672]
141,141,conclusion 2,negative,[-1.52818    2.7806284 -1.4066886]
142,142,conclusion 5,negative,[-1.5310987  2.8241646 -1.4192526]
143,143,at the time of -PRON- inception fao have limit or no field presence in the participate country relatively small national programme and have only recently start to establish -PRON- first central asia sub regional office in ankara,negative,[-1.6262537   0.83487177  1.1035849 ]
144,144,the ftpp be design without a robust result framework or theory of change toc,negative,[-2.205934  -0.1769418  2.930714 ]
145,145,there be no procedure apply for ensure the relevance of project activity to the beneficiary,negative,[-1.4912577 -0.1672322  1.8128564]
146,146,ftpp be a highly fragmented programme consist of 28 small autonomous project which do not facilitate collaboration to any substantial degree,negative,[-1.6886281 -1.2464893  3.6129196]
147,147,with very few exception the implementation have not include partner that can facilitate result in the field,negative,[-1.0081545  -0.54970413  1.6666247 ]
148,148,despite the gender issue inherent in most project for example no gender analysis be conduct,negative,[-1.4121107 -1.1979929  3.0745   ]
149,149,the output could be significantly improve particularly through a great focus on the need of beneficiary,negative,[-1.3474153 -1.1114916  2.817226 ]
150,150,the output could have have a great impact by build on exist project or by be continue and expand by partner organization,negative,[-0.9664366 -1.483531   2.9492283]
151,151,the draft policy and strategic plan be either not approve or the approval be still in process,negative,[-1.9989738  -0.29694661  2.8175516 ]
152,152,however the programme start without either a real design or result base framework,negative,[-1.533532  -1.1190901  3.28486  ]
153,153,in particular the bureaucracy involve contribute to serious delay in the implementation of the programme,negative,[-1.1866769 -1.5639356  3.281578 ]
154,154,a demand drive programme with adequate ownership require significant involvement from stakeholder at both the regional and national level in programme design and planning,negative,[-1.9307944  -0.66625303  3.1688075 ]
155,155,most of the scatter and small project be unable to achieve impact in isolation as the challenge -PRON- address be often interdependent,negative,[-1.9493839  -0.75802654  3.4142556 ]
156,156,this be especially the case for field orient programme such as cattle production watershed management and home base nursery where the activity be develop around community organization,negative,[-1.5889429   1.0563259   0.76814544]
157,157,the operational and financial framework be not very successful in establish an effective field programme,negative,[-1.3688927 -1.4392942  3.45872  ]
158,158,in another example although the concept of environmental sustainability be build into the design of several project -PRON- be not integrate into the project activity,negative,[-1.8604339  -0.35196027  2.8198237 ]
159,159,long delay be experience in programme implementation and the delivery of project output,negative,[-0.7899815  0.637289  -0.2076159]
160,160,the limitation in project funding and duration affect the scale and scope of the project output,negative,[-2.4392304   0.16636208  2.9198995 ]
161,161,the ownership by ministry in recipient country differ but be generally limited,negative,[-1.434261   -0.47781318  2.2094324 ]
162,162,the selection and approval process for project as conduct by fao and the government be find to be ineffective,negative,[-1.0829879 -1.7486583  3.3334222]
163,163,the programme aim to be demand drive,negative,[-1.5669721  1.7591287 -0.6259804]
164,164,the small project i.e. those with short duration and limited budget sometimes lack focus on what -PRON- could realistically achieve,negative,[-1.9958397  -0.73021346  3.5671134 ]
165,165,in a number of case a lack of institutional development limit the potential of technical intervention,negative,[-1.604842  -1.1628034  3.4347055]
166,166,consequently strengthen decentralized office capacity to effectively engage with un country team will become increasingly important,negative,[-1.2520186  2.488754  -1.662612 ]
167,167,this will require great attention to the scale and impact of investment operation than merely step up resource mobilization for programme delivery,negative,[-2.2919931  0.6336613  1.8974613]
168,168,at the same time -PRON- need to be package into more concrete programme intervention relate to major challenge and incorporate result chain and narrative align to the priority of resource partner and sdg target,negative,[-1.9376332 -0.5599553  3.059174 ]
169,169,in this regard the 40 sdg target 20 interconnect action and 12 focus area for resource mobilization provide new and alternative opportunity to design flagship programme that be cross so from the outset,negative,[-1.2324991  1.325565  -0.0086746]
170,170,the integration of cross cut theme have not be systematic with the exception of climate change,negative,[-1.0322591 -0.7563644  2.160565 ]
171,171,the main shortcoming affect the relevance of the project evaluate be the decision to fund a large number of project through two different funding window at the same time,negative,[-1.8490808  -0.88415784  3.5342507 ]
172,172,furthermore the vast majority of immediate action project do not monitor the adaptability and productivity performance of pgrfa,negative,[-1.4296943 -1.3231874  3.383954 ]
173,173,as a result the strategic action plan in most case could not be fully implement,negative,[-1.0052212 -1.7718775  3.3763154]
174,174,however the call for proposal focus primarily on food security with insufficient emphasis on nutrition also gender differentiated approach in project execution have not be sufficiently prioritize,negative,[-1.3583215 -1.2404057  3.233242 ]
175,175,however the formulation of a large number of strategic action plan without clear funding source identify before project closure be not consider good value for money,negative,[-1.7055008  -0.83058363  3.0676928 ]
176,176,however some of the outcome set forth under component 1 and 2 be not achieve for example the conservation of endemic biodiversity include agrobiodiversity or the implementation of information system regard the state of biodiversity in the chimborazo reserve,negative,[-1.3117542 -1.1553062  3.0368996]
177,177,in addition the gadpch have limit capacity to directly execute large project and manage a wide range of participant as be evidence by -PRON- decision to assign the project under the environment coordination committee instead of the planning coordination committee,negative,[-1.777522  -0.7749081  3.2851126]
178,178,the evaluation identify some weakness in particular the establishment of a comprehensive overview as regard land use planning and sustainable development in the province,negative,[-1.1164207 -1.7805302  3.461822 ]
179,179,however the project do not apply the monitoring of the participation of woman or young people age 15 to 25 in the training event and in the different initiative implement or specific datum to determine whether the project have contribute towards improve -PRON- right such as for example -PRON- level of access to training and financial resource,negative,[-1.5937086 -0.7243791  2.8424067]
180,180,however take into consideration the significant budget cut in the country since 2016 -PRON- be probable that the level of replicability will be low in the next few year due to -PRON- high cost,negative,[-1.9595286   1.8741655   0.09818218]
181,181,in particular the conservation and sustainable use of natural resource be mainly focus on the harvesting of water resource in the upper paramo basin and sub basin and the optimization of -PRON- use the application of a pilot model of compensation mechanism for the payment for environmental service psa,negative,[-1.1962674  1.9017138 -0.9546776]
182,182,other important factor identify be the absence of risk management in planning and the lack of monitoring of result back up by a communication strategy and an appropriate institutional arrangement gear towards reduce the inter institutional interaction difficulty experience particularly under component 2,negative,[-1.6447746 -1.0691252  3.2588384]
183,183,however the execution of some output complete in the last month of the project could experience sustainability difficulty as a result of not have a formal subsequent transfer of technical monitoring and take into consideration that the project do not establish some activity to support the conservation and the proper management of the paramo such as for example a system to monitor the outcome and tangible change at an environmental social and economic level,negative,[-2.2353234  -0.40466374  3.3213396 ]
184,184,however -PRON- have only manage to partially fulfil the high level objective in other word the development and environment objective of the project,negative,[-0.30342597 -1.8955684   2.5490842 ]
185,185,however -PRON- be necessary to extend the duration of the project by about two year and 20 percent of the gef fund be execute in the last six month,negative,[-2.031716    2.419925   -0.46641642]
186,186,in particular the high staff turnover in the opim the gadpch and the cantonal and parish dag the lack of clarification of the responsibility of the opim and of fao ecuador particularly at the beginning of the project after the change in opim staff in 2013 and after the mid term evaluation at the end of 2015 and the lack of monitoring of the outcome and risk management by the opim technical team to mitigate the problem associate with the slow execution of the project in time,negative,[-1.0224718 -1.7735933  3.3656797]
187,187,in term of the replicability of the infrastructure project -PRON- be find that the gadpch and the cantonal and parish dag have not be able to assess -PRON- cost efficiency to date17 in order to prioritize the work to be replicate in accordance with the ludp priority,negative,[-1.6722945  -0.61422914  2.8664505 ]
188,188,although the project be see as an important first step -PRON- do not possess adequate resource namely the time and budget to achieve the objective as plan in the project document,negative,[-1.5783488 -1.219209   3.5061722]
189,189,only 2 percent of the target area be reach and despite implementation of most project activity no direct outcome be fully achieve,negative,[-2.041323   -0.22341074  2.8062036 ]
190,190,the selection of the execute partner sodefor do not take into account -PRON- limited capacity to manage fauna and community live outside of forest area,negative,[-2.1740756  -0.24860696  2.882431  ]
191,191,the limited implementation capacity result in delay implementation of certain activity,negative,[-1.7165343  -0.97661805  3.404334  ]
192,192,this suggest that more institutional and individual capacity building awareness raising technical and financial support be need to ensure environmental and socio economic impact,negative,[-2.0756438 -0.3273094  2.9555688]
193,193,to this end fao should also ensure a focus on strengthen capacity to develop evidence basis for inform advocacy message and policy that include cost value of policy choice or of policy inaction for instance in relation to environmental sustainability or deforestation,negative,[-2.4644694   0.72558004  1.9289364 ]
194,194,fao therefore need to more loudly share lesson from pilot project and from -PRON- experience and expertise,negative,[-1.7962875  0.2039506  1.9596807]
