segment,sentiment,embeddings,cluster,x,y
"While there is good potential for the sustainability of some project results (e.g. FAO is sourcing funding to promote the port state measures template and catch documentation scheme implementation), ongoing financial and institutional support is unclear for many activitie",negative,[-1.3423554 -1.4102685  3.339204 ],0,9.4246187210083,-9.0783052444458
This limited the potential for cross- programme learning and coordination of approaches.,negative,[-1.7038286  -0.97472334  3.4414053 ],0,12.763394355773926,-8.666343688964844
"Furthermore, the training of facilitators and longer term engagement was inadequate; the ongoing provision of free inputs to demonstration farmers was questionable; the programme gave limited emphasis to environmentally sustainable agricultural techniques; and targeted support for the poor and landless was lacking.",negative,[-1.8410066 -0.858236   3.268694 ],0,13.19395637512207,-7.335074424743652
"However, there was continued provision of free inputs under project 011 beyond the time period within which this was justified.",negative,[-1.4357198 -0.4709526  2.0208416],0,10.992961883544922,-3.4506397247314453
Partnerships with government were stronger at local level than at national level and this may have compromised the capacity of the project to influence the wider policy and enabling environment.,negative,[-1.6205956 -1.0965123  3.209517 ],0,11.663617134094238,-8.104374885559082
"Furthermore, there was rather limited attention to empowerment of the poor and landless under this project.",negative,[-1.590202   -0.63520604  2.5551648 ],0,11.365891456604004,-4.384026527404785
"There was an intentional shift of focus (agreed between the Department of Fisheries and project management) to fisheries co-management in an area where opportunities for mangrove co-management were very limited; but this shift was not reflected in a revised logframe, and rendered the original logframe largely irrelevant as a project management and monitoring and evaluation tool.",negative,[-1.2734735 -0.8237676  2.6618779],0,10.447346687316896,-4.956007480621338
"The component projects 010, 011 and 012 were independently designed, with separate logical frameworks and reporting procedures.",negative,[-1.6791035   1.9401878  -0.14033978],0,11.481502532958984,7.1802263259887695
"Project 010 was implemented in a geographic area wherein the original rationale and logic could not apply, and the focus was shifted from mangrove co-management to fisheries co- management.",negative,[-2.4280143  2.0181587  0.6210305],0,12.405282974243164,4.18488073348999
The theory of change of 012 was weak and this was reflected in some ad hoc interventions and a lack of strategy in implementation.,negative,[-1.991969   -0.69295555  3.3222322 ],0,14.263815879821776,-6.659298896789551
"All three logframes were weak in terms of defining the ambitions and approach of the programme to building stronger sustainable community-based organizations, and in terms of targeting the poorest members of society.",negative,[-2.5288582  0.751166   2.2208521],0,13.311583518981934,0.2145695984363556
"There were some limitations in terms of targeting the most vulnerable members of society, and in particular the landless under project 011.",negative,[-2.070162   0.4996426  1.9391618],0,12.526114463806152,-0.2440719753503799
"However, there are significant internal and external threats to their longer term survival, and more could have been done to address them.",negative,[-2.8186226  1.2295914  1.950136 ],0,13.159887313842772,1.364746332168579
"The programme could nonetheless have integrated other DRR measures more effectively into its activities, such as integrating shelters with collection centre construction.",negative,[-1.3601425 -1.0411713  2.9687638],0,10.438552856445312,-6.505743980407715
"However, the extent to which this occurs is constrained by the specificity of earmarking by some resource partners.",negative,[-2.3423166   0.42623213  2.463148  ],0,13.685847282409668,-0.4330371022224426
The quality of monitoring and reporting is mixed at the project level and weak at the programme level.,negative,[-1.6081185 -1.1853659  3.4375882],0,11.583403587341309,-9.315791130065918
The limited understanding and generally low profile of the FMM among stakeholders is reducing interest among potential new resource partners.,negative,[-1.4427235 -1.3710858  3.5433896],0,10.06910514831543,-10.180461883544922
Decision-making processes are ill-defined and poorly understood.,negative,[-2.0670865 -0.6430565  3.286642 ],0,14.43460750579834,-6.402834415435791
Sub-regional and regional office involvement has been negligible.,negative,[-1.2240424 -1.5398849  3.1484756],0,8.57089614868164,-8.14292049407959
"However, it is seen as especially problematic within FMM.",negative,[-1.0962766 -1.5211154  3.0954523],0,8.385254859924316,-7.556075096130371
"Although these seem fairly well established at the higher, decision- making levels, the underlying logic for the selection of FMM proposals within SOs is still unclear.",negative,[-2.5432203   0.34204534  2.701755  ],0,14.173417091369627,-0.5739677548408508
FMM is not yet operating effectively as a pooled programmatic funding mechanism.,negative,[-1.9492381 -0.6153198  3.0891676],0,13.137981414794922,-5.412147045135498
The absence of an FMM logframe and clear operational procedures below the Strategic Programme Leader (SPL) level is confusing for stakeholders and undermines the cost- effectiveness of the selection process of FMM-funded initiatives.,negative,[-1.2201589 -1.6325082  3.428825 ],0,8.328536033630371,-9.15646743774414
MM documentation and reporting procedures are intentionally minimal but still weak at programme level.,negative,[-1.1649966 -1.5388203  3.3127549],0,8.424821853637695,-8.4135103225708
FMM procedures have not been formally documented in the same way as other funding instruments.,negative,[-1.3789244  -0.40996692  2.2753472 ],0,10.991440773010254,-3.679226875305176
"Much of the work is of a normative nature, with country level activities used to validate HQ-based normative studies.",negative,[-1.5055217  1.0682036  0.6178308],0,10.647577285766602,4.218673229217529
"There are also concerns at the operational level, expressed by most Strategic Programme Leaders (SPLs) and budget holders, about the stability and predictability of FMM funding.",negative,[-1.2974509 -1.5707445  3.486367 ],0,8.672616004943848,-9.53904914855957
FMM has not been able to deliver a satisfactorily stable or predictable level of funding over a full MTP or even a biennium.,negative,[-0.8242794 -1.7491956  3.06348  ],0,7.643799781799316,-7.096078395843506
"The predictability issue creates a number of operational difficulties related to small and fragmented projects: stop-go project implementation; hurried decision-making in funding allocation, with limited consultation beyond FAO headquarters; and short project durations which impede efficiency and sustainability.",negative,[-1.5862267 -1.2760447  3.5353997],0,11.03250503540039,-10.147347450256348
Sustainability may be enhanced if target FFPOs contribute counterpart funding to the budget of their projects.,negative,[-0.6019244 -0.6641287  1.3106794],3,4.969912052154541,-1.434113621711731
"While those trainings are essential, they are not sufficient to develop value chains which requires additional support to FFPOs to improve their terms of engagement with national, regional and international markets.",negative,[-2.2047143  -0.06674623  2.8696003 ],0,14.26825714111328,-2.9508559703826904
"The evaluation found that the focus of capacity development activities should be refined from strengthening and supporting the Ministry of Environment and Forests to a focus on strengthening and supporting the development, implementation and monitoring of the CIP.",negative,[-2.1335676  1.1900859  1.3018682],0,11.890128135681152,1.2991725206375122
"The CIP contains inputs from 40 ministries and 45 government agencies, of which key staff require technical and functional capacity development in regard to the CIP.",negative,[-1.2804058  1.9562318 -1.0616369],1,9.39588451385498,11.675064086914062
"Therefore, while valuable training efforts have been undertaken, a more targeted approach to capacity development, focused on the capacities (both technical and functional) needed to implement and monitor the CIP would have been a more realistic approach.",negative,[-2.072939  -0.1766042  2.8925884],0,13.623159408569336,-3.5404388904571533
"These mixed logical framework results should be viewed as shortcomings in the project design, project assumptions and the lack of updating of the logical framework rather than as shortcomings in the actions of the project stakeholders implementing the project.",negative,[-1.3077275 -1.2690263  3.23563  ],0,9.79323387145996,-7.794183731079102
"Agencies, such as the Bangladesh Climate Change Trust Fund, require greater attention because of their dual role as a contributor to and a source of internal funds for the implementation of the CIP.",negative,[-1.4460324  1.7730014 -0.4348309],0,10.912849426269531,7.693652629852295
"Areas in which the CIP could make improvements include: provide a forum for the prioritization of programmes; provide an opportunity for open and transparent discussions about the investment priorities; programme development quality, programme implementation and monitoring; coordination and synchronization of programmes; community and private sector consultation; and provide a forum where proposed governments programmes, within the various ministries and their agencies that contribute to the environment, forestry and climate change sector, could be made explicit.",negative,[-1.0241574 -0.7395492  1.8799334],0,10.128321647644045,-3.387253522872925
"The project design used time models that were not reflective of the actual time needed to complete Government of Bangladesh activities, such as the time it would take for the PSIMU to be staffed by Government of Bangladesh civil servants and how long an environment, forestry and climate change CIP would actually take to be developed.",negative,[-2.639183   1.1700311  1.6875448],0,12.766504287719728,1.4059667587280271
The initial project design was overly ambitious in its scope and objectives.,negative,[-2.5303674  1.6025174  1.1976373],0,12.438968658447266,2.709216833114624
"Patterns of discrimination in relation to the project, the Ministry of Environment and Forests and its Agencies and the CIP and its projects have not been identified, analysed and responses developed for.",negative,[-1.4392385  -0.68926203  2.609344  ],0,11.054937362670898,-4.458186149597168
"However, these knowledge products need to be better contextualized and disseminated for optimal use at decentralized level.",negative,[-1.9159371  1.5307896  0.4638954],0,11.29509162902832,4.609976291656494
Field staff need to be involved in the preparation of these knowledge products for proper contextualization and eventual utilization.,negative,[-2.6038034  1.7640246  0.9844848],0,12.289398193359377,3.260438680648804
"That said, FAO also needs to strengthen the capacity of Technical Officers to mainstream gender in their work, particularly through customized advice and support from Gender Officers and GFPs in the decentralized offices.",negative,[-1.8147571  -0.40784374  2.720861  ],0,12.287001609802246,-4.0623698234558105
"Since governance was never clearly defined in the programme, it led to the programme being spread too thinly.",negative,[-2.2708604   2.2922194   0.18649037],0,12.779692649841309,6.084717273712158
"However, it is still too early and not yet clear if the work on the IPC Chronic Food Insecurity Classification scale and the nutrition scale will be widely adopted.",negative,[-1.6672665 -0.8962526  3.2691555],0,12.377875328063965,-7.807819366455078
"However, the work on resilience was not integrated with other programming initiatives such as social protection and sustainable agriculture.",negative,[-1.3200973 -0.6718336  2.3947554],0,10.676884651184082,-4.0758819580078125
WFP and IFAD did not participate in the design.,negative,[-1.4705085  -0.89405704  2.9512177 ],0,11.265216827392578,-6.154501914978027
Better balance is needed.,negative,[-0.6567708   0.23125832  0.2903186 ],0,8.530248641967773,5.613234043121338
"Because FAO was in the early stages of its strategic re-organization, the corporate environment was not yet conducive to fully support such a multi-stakeholder and multi-sector effort (indeed the IGGHRP helped facilitate some of the needed corporate changes).",negative,[-1.1158656 -1.0838801  2.582617 ],0,9.666682243347168,-5.423319816589356
"IGGHRP also lacked a strategic focus on a target governance space (e.g. smallholder farmers and producer organisations) or a theory of change made it difficult to maintain horizontal linkages across the outcomes (e.g., social protection linked to resilience programming).",negative,[-1.509103  -1.399576   3.6731052],0,10.112213134765623,-10.366314888000488
"E processes and used FAO internal mechanisms for M&E, limited M&E capacity could account for weak monitoring of governance outcome changes.",negative,[-2.5841546   0.52985805  2.5984004 ],0,13.859469413757324,-0.1221024021506309
"However, the intended results are ambitious within the given time frame.",negative,[-1.5352334  -0.63028604  2.5108433 ],0,11.21627426147461,-4.283750534057617
"Nonetheless, there is scope to improve the coordination structure with the involvement of subregional training institutions and commissions.",negative,[-1.0887799 -1.230817   2.7445135],0,9.196982383728027,-6.0195488929748535
"As a result, the development of technical guidelines may be delayed beyond 2017, especially in Africa.",negative,[-2.594792   0.8958753  2.2962632],0,13.570865631103516,0.4991564452648163
"There is also little vertical coordination and communication within participating partner organizations, with the exception of the FAO Regional Office for Asia and the Pacific (RAP).",negative,[-1.4959861 -1.3959272  3.6198955],0,10.100646018981934,-10.385595321655272
"Field testing the research results will better enable adaptation to specific country contexts and further increase country level capacities, which can also benefit non-funded regions.",negative,[-0.6589613  1.5905292 -1.2185943],1,7.524331092834473,10.661253929138184
"Almost three-quarters of the overall funding gap pertains to the LAC, Near East and CIS regions, while implementation in the Africa region will not be affected due to the recent funding boost from the European Commission.",negative,[-1.1983736 -1.2143049  2.9122791],0,9.762862205505373,-6.659324645996094
"However, participation at the decision-making level varies from country to country.",negative,[-1.8316141 -0.9084842  3.3477802],0,13.318679809570312,-7.901413917541504
"However, diffusion of newly acquired capacities beyond the primary beneficiary was not obvious during the MTE, which could jeopardize the programme regardless of the positive signs of sustainability.",negative,[-1.9443048  -0.15402962  2.6636758 ],0,12.898321151733398,-3.175770998001098
The funding gap (USD 3.73 million) at the Global Office level primarily affects the research component.,negative,[-1.6524078 -1.2579088  3.594645 ],0,11.936541557312012,-10.11703395843506
"In Asia-Pacific, the funding gap is about USD 6.16 million (45 percent of the budget allocated for the region)",negative,[-1.9686685   0.04275158  2.4244435 ],0,12.980119705200195,-1.5750935077667236
"With the exception of FAO, none of the participating partners have contributed financially to the programme, which raises the question as to whether there is enough interest to continue Global Strategy activities by implementing partners after the current resource partners have ceased to provide funding.",negative,[-1.5790147 -1.105362   3.2091236],0,11.534263610839844,-8.148910522460938
This represents a missed opportunity and could result in the continued neglect of water access issues in the application of GWG principles.,negative,[-1.9140006 -0.5265557  3.000399 ],0,13.035879135131836,-5.239884376525879
"Much remains to be done, however, with regard to alliance building beyond the technical water community, as noted above.",negative,[-0.78266245 -1.7376934   2.8894985 ],0,7.61738395690918,-6.642441749572754
"Although outreach and communications were considered essential to reaching target audiences, and to achieving the desired impact on national decision makers, the draft communication strategy was not effectively implemented.",negative,[-1.9404076  -0.91414386  3.461967  ],0,13.665727615356444,-8.134788513183594
"The focus shifted, however, to concentrating on the more technical aspects of GWG.",negative,[-1.4778048 -1.0377333  2.9488392],0,10.636679649353027,-6.8043742179870605
"Still, a more inclusive process in identifying topics in a wider agricultural-rural nexus is needed for better policy linkage and resource mobilization.",negative,[-0.82669127  0.864106   -0.04161564],0,8.669506072998047,5.749440670013428
"There is enhanced coordination between Ministry of Agriculture and National Statistics Office (NSO) but a lack of awareness about Global Strategy and its contribution remains, which could affect resource mobilization.",negative,[-1.7374544 -0.9021976  3.1834202],0,12.686930656433104,-7.180019378662109
"In spite of advocacy, communication and dissemination efforts, Global Strategy was largely unknown beyond its primary stakeholders.",negative,[-1.3725692 -1.2406328  3.0482035],0,10.193323135375977,-7.158150672912598
National coordination mechanisms were set- up in several countries but they may have to be revitalized for future use.,negative,[-2.1242452  1.1027932  1.3512843],0,11.918014526367188,1.2036956548690796
"Apart from engagement with global initiatives using the IPC, such as the Global Report on Food Crises, the GSP has provided limited support for utilization of the IPC.",negative,[-1.1630589 -1.5613557  3.233658 ],0,8.431139945983887,-8.19145393371582
Factors negatively affecting its usefulness include: the geographic unit of analysis being too large and therefore insufficient granularity of analysis; limited availability of data and poor quality data; political sensitivity of the results; and the challenge of translating the results into recommendations.,negative,[-2.886955   1.1513871  2.0817468],0,13.282381057739258,1.1832786798477173
Much more follow-up support at country level is needed.,negative,[-1.9772338  -0.21194373  2.4786103 ],0,12.84589958190918,-2.990638256072998
Data availability is a constraint particularly in countries experiencing occasional pockets of acute food insecurity.,negative,[-2.0114145 -0.4802081  3.080378 ],0,13.96217918395996,-4.705718040466309
But it was infrequently cited as a source of information for decision-making and is not currently informing policy.,negative,[-2.2365255   0.18974441  2.6636157 ],0,14.217446327209473,-2.119250535964966
"Views differ amongst GSP stakeholders about whether the IPC should be playing an early warning role or not, although this is clearly stated in Manual V3.0.",negative,[-2.4039884   0.48955527  2.5236173 ],0,13.794353485107422,-0.3630916774272918
"The GSU has maintained its independence at global level, but in some countries the IPC is overly identified with FAO with implications for its perceived neutrality.",negative,[-0.78404313 -0.43688312  1.3040904 ],3,5.069155693054199,-1.338568925857544
"Furthermore, some knowledge products and services should be better designed and more user-oriented in order to enhance their utility.",negative,[-1.233209    0.22453159  1.1918256 ],0,10.9688138961792,-0.3665458559989929
Greater internal cooperation and coordination would enhance their efficiency.,negative,[-1.2993141  1.7361608 -0.6920603],1,9.421714782714844,10.230355262756348
"AO data, analyses and learning resources are often disseminated through unrelated platforms and channels.",negative,[-1.6281832 -0.7303224  2.8422985],0,11.722094535827637,-5.277061939239502
"Furthermore, opportunities to capitalize on successful experiences are often missed.",negative,[-1.9397844  1.4534857  0.6754307],0,11.222845077514648,4.095121383666992
"Some however, could be even better tailored to the specific needs of their target audiences.",negative,[ 0.3989228 -1.663779   1.0259738],4,3.3705639839172363,-1.5211505889892578
"FAO knowledge products and services are produced in a decentralized manner, and generally operated on a shoestring budget.",negative,[-1.2575415 -1.5983671  3.4202602],0,8.436101913452148,-9.30684757232666
"However, quality assurance procedures are applied inconsistently.",negative,[-2.2607362  0.298542   2.5424798],0,14.109335899353027,-1.841076135635376
"While most focus countries are on the right course, it is still too early to observe the impact of access to land on the local people, and on reducing hunger and poverty.",negative,[-1.5498288  2.1080234 -0.3846253],0,11.81562042236328,7.967381954193115
"This certainly reduced the visibility, viability and authority of the Nutrition Strategy as a guiding document within FAO.",negative,[-1.231662  -1.5419692  3.4049354],0,8.474745750427246,-9.250470161437988
"However, the synergies that were hoped for between the ex-AGS staff and the rest of the division have yet to fully materialize.",negative,[-0.99648345 -1.4818227   2.8662457 ],0,8.27289867401123,-6.695184230804443
"A review of posts allocations indicates that ESN has currently a comparable level of professional posts (30) as AGN used to have in 2012-2013 (28), while the number of General Staff posts has been halved from 18 to 9 over the same period.",negative,[-0.2686129   0.20683156  0.02412618],0,8.315252304077148,5.615306854248047
"In fact ESN has had a number of vacancies, which it used to hire human resources on a short-term basis through consultancy contracts.",negative,[-0.66693044 -0.1794794   0.99144256],3,5.034617424011231,-0.9359195232391356
"Human resources and skill sets are insufficient both to meet this growing demand and to cope with the challenges of a relatively new area of work requiring new skills and practical experience, e.g. in inter-sectoral policy dialogue, planning and programming, and relations with the private sector.",negative,[-1.868939  -1.1038435  3.4672027],0,12.923184394836426,-9.12412452697754
A nutrition trust fund set-up by FAO after the ICN2 Conference was never promoted to donors and never accrued to.,negative,[-1.7119737  2.304298  -0.9286193],1,12.7261962890625,11.780860900878906
Those related to mainstreaming of nutrition in the field programme and policy work of the Organization have seen slow progress.,negative,[-0.8599184 -1.8385493  3.253849 ],0,7.649195671081543,-7.550560474395752
The institutional disconnect between Ministries of Agriculture and Ministries of Health and between the corresponding UN agencies is still present in many countries.,negative,[-1.1701019 -1.5562565  3.2626195],0,8.428683280944824,-8.257136344909668
"Member Countries increasingly associate FAO with nutrition, as evidenced by their requests and priorities expressed during the 2016 round of Regional Conferences, but FAO does not always have the capacity to respond to their demands.",negative,[-0.9180492 -1.6961985  3.0618792],0,7.742224216461182,-7.212884426116943
"The lack of corporate-wide approach to nutrition extends to monitoring and evaluation, which is not systematically pursued in FAO nutrition-sensitive programmes.",negative,[-1.5298465 -1.1847327  3.3896298],0,11.14550495147705,-9.04621410369873
So far these challenges have predominantly been approached through direct nutrition interventions mainly implemented in the health sector; yet improving diets through better agriculture and food systems (so-called food-based approaches) potentially offers more sustainable solutions to all forms of malnutrition.,negative,[-0.41879454  1.371096   -1.3181725 ],1,6.5343756675720215,9.741578102111816
"Current efforts in this direction should be expanded to help teams at headquarters and the different regions learn from each other, including horizontal learning from region to region.",negative,[-2.1754184  2.0340552  0.378052 ],0,12.37105655670166,5.042260646820068
"However, there is a potential overlap between Output 1.1",negative,[-1.7805117 -0.7936291  3.230338 ],0,12.983956336975098,-7.219675540924072
"The Organization should not limit itself to a declining emergency crisis response portfolio, which in many cases (e.g. in protracted crises) relies on ill-adapted, short-term humanitarian funding.",negative,[-1.3173759   1.7334168  -0.60465235],1,9.432855606079102,10.192214012145996
"Capacities appear less robust in disaster risk reduction and management, insurance and cash-based approaches, and almost nil in conflict and political analysis.",negative,[-1.8281492  -0.96082133  3.5524457 ],0,13.208937644958496,-8.781620025634766
"There is potential for deeper integration and further synergies through exchanges of data sets, integration of geographic information systems, and the sharing of data collection tools such as tablets and satellite data link services.",negative,[-0.01408822  1.1932064  -2.0593398 ],1,3.399893522262573,9.519441604614258
"At national level, the degree of engagement in Strategic Programme 5 still depends much on the profile, skill-set and preferences of individual FAO Representatives rather than on the relevance of Strategic Programme 5 to the country context and government priorities.",negative,[-2.071097   0.0941029  2.425548 ],0,13.099628448486328,-1.721838116645813
"Efforts are being made to fill vacant positions and hire new staff in key technical units, but this may not be enough.",negative,[-2.2075582 -0.1259025  2.8968952],0,14.209291458129885,-3.1794724464416504
"This is because as FAO expanded its portfolio in emergency and rehabilitation activities, the Organization used humanitarian resource channels that are relatively easier to access than development funding.",negative,[-1.5913924   1.2912345   0.38575062],0,10.322554588317873,5.311558723449707
Most of the personnel working on Strategic Programme 5 (national and international) are hired under consultancy contracts with extremely short contractual periods.,negative,[-1.6750661   0.39192602  1.5206025 ],0,11.52275848388672,-0.516753077507019
"FAO lacks a formal programme level connecting the projects and the country programming frameworks, hence the recourse to country resilience strategies.",negative,[-1.5583824 -1.4242995  3.577184 ],0,10.251577377319336,-10.310236930847168
"While this may be adequate for one-off responses to sudden onset disasters, it has proven problematic when implemented recurrently, as is often the case in protracted crises.",negative,[-2.1948848  1.2797449  1.2928442],0,11.969104766845703,1.5223486423492432
Many technical units engage in resilience-related policies in a scattered manner.,negative,[-1.2580968  -0.76527685  2.2875242 ],0,10.400121688842772,-4.096428394317627
"In Africa and the Regional Office for the Near East and North Africa, the Regional Initiatives are only funded by FAO resources and therefore rather small, and used to fund catalytic country-level initiatives.",negative,[-2.5228446  0.8972623  2.2710211],0,13.51943302154541,0.488813191652298
"So far, many of these services, such as the community animal health workers or Farmer Field Schools, have not been aggressively promoted by FAO.",negative,[-0.5055686 -1.0460333  1.7802489],3,5.1351399421691895,-1.904214859008789
FAO could strengthen its strategic position by deepening its involvement in resilience.,negative,[-1.2706968  1.8171737 -0.8703667],1,9.453393936157228,10.547137260437012
"While silos were broken within Strategic Programme 5, there is potential for more collaboration between Strategic Programmes at headquarters.",negative,[-1.9363592  1.2827628  0.9765934],0,11.201533317565918,3.5496537685394287
Seizing the opportunity presented by the current interest in resilience requires continued and strengthened operational and technical capacity together with increased investment in resilience programming.,negative,[-1.3511175   0.81170005  0.4223949 ],0,9.264063835144045,5.7332305908203125
Resilience programming is not fundamentally new to FAO.,negative,[-2.2407951   1.4599422   0.77999806],0,11.706016540527344,3.655875444412232
Insufficient attention has been paid to knowledge management so far.,negative,[-1.4767789 -1.419262   3.4666429],0,9.845588684082031,-9.94306755065918
"However, there has been no systematic staff training in resilience programming, and only modest efforts towards the development of knowledge sharing networks.",negative,[-1.3828095 -1.3625546  3.435288 ],0,9.746281623840332,-9.551679611206056
A thorough stakeholder analysis might have prevented these problems.,negative,[-1.7157968 -0.9699907  3.2960439],0,12.523120880126951,-7.96660852432251
"The Logical Framework and M&E plan, however, were never adapted to the new activities of the BIG2050 Initiative.",negative,[-1.4038173 -1.3372834  3.3489308],0,10.010953903198242,-9.092050552368164
"Component 2 activities related to the Bocaina Mosaic came to a standstill around 2016, due to a misinterpretation of its attributions during project formulation.",negative,[-1.2066828 -1.2576252  3.1109672],0,9.559544563293455,-7.296254634857178
"Arguing that project outcomes were not altered by this significant change, no formal GEF approval was sought for it.",negative,[-1.7000955  2.627422  -1.142407 ],1,14.2478666305542,14.414729118347168
All together the results of the component are considered moderately unsatisfactory.,negative,[-0.86221933 -1.3354962   2.4153807 ],0,8.258360862731934,-5.64960527420044
"The activities related to the strengthening of the Bocaina Mosaic, including the establishment of a permanent executive structure, were largely based on a misconception at the time the project was conceived.",negative,[-1.6242478   1.6526707   0.20253897],0,10.68863296508789,5.339699745178223
BOD (Biological Oxygen Demand) values have not been reduced.,negative,[-1.5396093   0.15730655  1.4980702 ],0,11.196276664733888,-0.6286725401878357
The main flaws to be considered are the lack of a thorough previous stakeholder analysis and the lack of consideration of gender issues.,negative,[-1.5361303 -1.3143387  3.5949926],0,10.617321014404297,-10.247373580932615
"However, at project conception it was wrongly considered that the mosaic was to have an executive character, where in reality it is merely consultative.",negative,[-2.235065   1.6015027  0.9079157],0,11.817593574523926,3.557741403579712
"Changes in FAO regulations and procedures over the course of the project caused some implementation problems, due to the required adaptation.",negative,[-2.102408   -0.34613332  3.0744066 ],0,14.447009086608888,-4.408633708953857
"Under Component 2, Bocaina Mosaic activities came to a standstill, due to lack of interest among its members.",negative,[-1.1663078 -1.3116364  3.0811672],0,9.38097858428955,-7.273411750793457
Conclusion 2.,negative,[-1.52818    2.7806284 -1.4066886],5,15.161782264709473,19.21947288513184
Conclusion 5.,negative,[-1.5310987  2.8241646 -1.4192526],1,16.36085319519043,18.204740524291992
"At the time of its inception, FAO had limited or no field presence in the participating countries, relatively small national programmes and had only recently started to establish its first Central Asia sub-regional office in Ankara.",negative,[-1.6262537   0.83487177  1.1035849 ],0,11.281172752380373,0.4287067651748657
The FTPP was designed without a robust results framework or Theory of Change (ToC).,negative,[-2.205934  -0.1769418  2.930714 ],0,14.20558261871338,-3.238616466522217
There were no procedures applied for ensuring the relevance of project activities to the beneficiaries.,negative,[-1.4912577 -0.1672322  1.8128564],0,11.212926864624023,-1.347121238708496
"FTPP is a highly fragmented programme consisting of 28 small, autonomous projects, which do not facilitate collaboration to any substantial degree.",negative,[-1.6886281 -1.2464893  3.6129196],0,12.057509422302246,-10.065020561218262
"With very few exceptions, the implementation has not included partners that can facilitate results in the field.",negative,[-1.0081545  -0.54970413  1.6666247 ],0,10.096227645874023,-3.2713711261749268
"Despite the gender issues inherent in most projects, for example, no gender analysis was conducted.",negative,[-1.4121107 -1.1979929  3.0745   ],0,10.261228561401367,-7.177313804626465
"The outputs could be significantly improved, particularly through a greater focus on the needs of beneficiaries.",negative,[-1.3474153 -1.1114916  2.817226 ],0,10.24365234375,-6.208701133728027
"The outputs could have had a greater impact by building on existing projects, or by being continued and expanded by partner organizations.",negative,[-0.9664366 -1.483531   2.9492283],0,8.15103816986084,-6.825557231903076
"The draft policies and strategic plans were either not approved, or the approval was still in process.",negative,[-1.9989738  -0.29694661  2.8175516 ],0,13.157721519470217,-3.8771820068359375
"However, the programme started without either a real design or results-based framework.",negative,[-1.533532  -1.1190901  3.28486  ],0,11.41521453857422,-8.322521209716797
"In particular, the bureaucracy involved contributed to serious delays in the implementation of the programme.",negative,[-1.1866769 -1.5639356  3.281578 ],0,8.388181686401367,-8.40805721282959
A demand driven programme with adequate ownership requires significant involvement from stakeholders (at both the regional and national levels) in programme design and planning.,negative,[-1.9307944  -0.66625303  3.1688075 ],0,13.53958797454834,-6.508880138397217
"Most of the scattered and small projects were unable to achieve impact in isolation, as the challenges they addressed were often interdependent.",negative,[-1.9493839  -0.75802654  3.4142556 ],0,14.133662223815918,-7.386209011077881
