,segment,sentiment
42,the predictability issue create a number of operational difficulty relate to small and fragmented project stop go project implementation hurried decision making in funding allocation with limited consultation beyond fao headquarters and short project duration which impede efficiency and sustainability,negative
43,sustainability may be enhance if target ffpo contribute counterpart funding to the budget of -PRON- project,negative
44,while those training be essential -PRON- be not sufficient to develop value chain which require additional support to ffpos to improve -PRON- term of engagement with national regional and international market,negative
45,the evaluation find that the focus of capacity development activity should be refine from strengthen and support the ministry of environment and forest to a focus on strengthen and support the development implementation and monitoring of the cip,negative
46,the cip contain input from 40 ministry and 45 government agency of which key staff require technical and functional capacity development in regard to the cip,negative
47,therefore while valuable training effort have be undertake a more targeted approach to capacity development focus on the capacity both technical and functional need to implement and monitor the cip would have be a more realistic approach,negative
48,these mixed logical framework result should be view as shortcoming in the project design project assumption and the lack of updating of the logical framework rather than as shortcoming in the action of the project stakeholder implement the project,negative
49,agency such as the bangladesh climate change trust fund require great attention because of -PRON- dual role as a contributor to and a source of internal fund for the implementation of the cip,negative
50,area in which the cip could make improvement include provide a forum for the prioritization of programme provide an opportunity for open and transparent discussion about the investment priority programme development quality programme implementation and monitoring coordination and synchronization of programme community and private sector consultation and provide a forum where propose government programme within the various ministry and -PRON- agency that contribute to the environment forestry and climate change sector could be make explicit,negative
51,the project design use time model that be not reflective of the actual time need to complete government of bangladesh activity such as the time -PRON- would take for the psimu to be staff by government of bangladesh civil servant and how long an environment forestry and climate change cip would actually take to be develop,negative
52,the initial project design be overly ambitious in -PRON- scope and objective,negative
53,pattern of discrimination in relation to the project the ministry of environment and forest and -PRON- agency and the cip and -PRON- project have not be identify analyse and response develop for,negative
54,however these knowledge product need to be well contextualize and disseminate for optimal use at decentralized level,negative
55,field staff need to be involve in the preparation of these knowledge product for proper contextualization and eventual utilization,negative
56,that say fao also need to strengthen the capacity of technical officer to mainstream gender in -PRON- work particularly through customize advice and support from gender officer and gfp in the decentralize office,negative
57,since governance be never clearly define in the programme -PRON- lead to the programme be spread too thinly,negative
58,however -PRON- be still too early and not yet clear if the work on the ipc chronic food insecurity classification scale and the nutrition scale will be widely adopt,negative
59,however the work on resilience be not integrate with other programming initiative such as social protection and sustainable agriculture,negative
60,wfp and ifad do not participate in the design,negative
61,well balance be need,negative
62,because fao be in the early stage of -PRON- strategic re organization the corporate environment be not yet conducive to fully support such a multi stakeholder and multi sector effort indeed the igghrp help facilitate some of the need corporate change,negative
63,igghrp also lack a strategic focus on a target governance space e.g. smallholder farmer and producer organisation or a theory of change make -PRON- difficult to maintain horizontal linkage across the outcome e.g. social protection link to resilience programming,negative
64,e process and use fao internal mechanism for m&e limited m&e capacity could account for weak monitoring of governance outcome change,negative
65,however the intend result be ambitious within the give time frame,negative
66,nonetheless there be scope to improve the coordination structure with the involvement of subregional training institution and commission,negative
67,as a result the development of technical guideline may be delay beyond 2017 especially in africa,negative
68,there be also little vertical coordination and communication within participate partner organization with the exception of the fao regional office for asia and the pacific rap,negative
69,field test the research result will well enable adaptation to specific country contexts and further increase country level capacity which can also benefit non funded region,negative
70,almost three quarter of the overall funding gap pertain to the lac near east and cis region while implementation in the africa region will not be affect due to the recent funding boost from the european commission,negative
71,however participation at the decision make level varie from country to country,negative
72,however diffusion of newly acquire capacity beyond the primary beneficiary be not obvious during the mte which could jeopardize the programme regardless of the positive sign of sustainability,negative
73,the funding gap usd 3.73 million at the global office level primarily affect the research component,negative
74,in asia pacific the funding gap be about usd 6.16 million 45 percent of the budget allocate for the region,negative
75,with the exception of fao none of the participate partner have contribute financially to the programme which raise the question as to whether there be enough interest to continue global strategy activity by implement partner after the current resource partner have cease to provide funding,negative
76,this represent a miss opportunity and could result in the continued neglect of water access issue in the application of gwg principle,negative
77,much remain to be do however with regard to alliance building beyond the technical water community as note above,negative
78,although outreach and communication be consider essential to reach target audience and to achieve the desire impact on national decision maker the draft communication strategy be not effectively implement,negative
79,the focus shift however to concentrate on the more technical aspect of gwg,negative
80,still a more inclusive process in identify topic in a wide agricultural rural nexus be need for well policy linkage and resource mobilization,negative
81,there be enhance coordination between ministry of agriculture and national statistics office nso but a lack of awareness about global strategy and -PRON- contribution remain which could affect resource mobilization,negative
82,in spite of advocacy communication and dissemination effort global strategy be largely unknown beyond -PRON- primary stakeholder,negative
83,national coordination mechanisms be set- up in several country but -PRON- may have to be revitalize for future use,negative
84,apart from engagement with global initiative use the ipc such as the global report on food crisis the gsp have provide limited support for utilization of the ipc,negative
85,factor negatively affect -PRON- usefulness include the geographic unit of analysis be too large and therefore insufficient granularity of analysis limited availability of datum and poor quality datum political sensitivity of the result and the challenge of translate the result into recommendation,negative
86,much more follow up support at country level be need,negative
87,data availability be a constraint particularly in country experience occasional pocket of acute food insecurity,negative
88,but -PRON- be infrequently cite as a source of information for decision making and be not currently inform policy,negative
89,view differ amongst gsp stakeholder about whether the ipc should be play an early warning role or not although this be clearly state in manual v3.0,negative
90,the gsu have maintain -PRON- independence at global level but in some country the ipc be overly identify with fao with implication for -PRON- perceive neutrality,negative
91,furthermore some knowledge product and service should be well design and more user orient in order to enhance -PRON- utility,negative
92,great internal cooperation and coordination would enhance -PRON- efficiency,negative
93,ao data analysis and learning resource be often disseminate through unrelated platform and channel,negative
94,furthermore opportunity to capitalize on successful experience be often miss,negative
95,some however could be even well tailor to the specific need of -PRON- target audience,negative
96,fao knowledge product and service be produce in a decentralized manner and generally operate on a shoestring budget,negative
97,however quality assurance procedure be apply inconsistently,negative
98,while most focus country be on the right course -PRON- be still too early to observe the impact of access to land on the local people and on reduce hunger and poverty,negative
99,this certainly reduce the visibility viability and authority of the nutrition strategy as a guide document within fao,negative
100,however the synergy that be hope for between the ex ags staff and the rest of the division have yet to fully materialize,negative
101,a review of post allocation indicate that esn have currently a comparable level of professional post 30 as agn use to have in 2012 2013 28 while the number of general staff post have be halve from 18 to 9 over the same period,negative
102,in fact esn have have a number of vacancy which -PRON- use to hire human resource on a short term basis through consultancy contract,negative
103,human resource and skill set be insufficient both to meet this grow demand and to cope with the challenge of a relatively new area of work require new skill and practical experience e.g. in inter sectoral policy dialogue planning and programming and relation with the private sector,negative
104,a nutrition trust fund set up by fao after the icn2 conference be never promote to donor and never accrue to,negative
105,those related to mainstreaming of nutrition in the field programme and policy work of the organization have see slow progress,negative
106,the institutional disconnect between ministry of agriculture and ministry of health and between the correspond un agency be still present in many country,negative
107,member country increasingly associate fao with nutrition as evidence by -PRON- request and priority express during the 2016 round of regional conference but fao do not always have the capacity to respond to -PRON- demand,negative
108,the lack of corporate wide approach to nutrition extend to monitoring and evaluation which be not systematically pursue in fao nutrition sensitive programme,negative
109,so far these challenge have predominantly be approach through direct nutrition intervention mainly implement in the health sector yet improve diet through well agriculture and food system so call food base approach potentially offer more sustainable solution to all form of malnutrition,negative
110,current effort in this direction should be expand to help team at headquarters and the different region learn from each other include horizontal learning from region to region,negative
111,however there be a potential overlap between output 1.1,negative
112,the organization should not limit -PRON- to a decline emergency crisis response portfolio which in many case e.g. in protract crisis rely on ill adapt short term humanitarian funding,negative
113,capacity appear less robust in disaster risk reduction and management insurance and cash base approach and almost nil in conflict and political analysis,negative
114,there be potential for deep integration and further synergy through exchange of datum set integration of geographic information system and the sharing of datum collection tool such as tablet and satellite datum link service,negative
115,at national level the degree of engagement in strategic programme 5 still depend much on the profile skill set and preference of individual fao representative rather than on the relevance of strategic programme 5 to the country context and government priority,negative
116,effort be be make to fill vacant position and hire new staff in key technical unit but this may not be enough,negative
117,this be because as fao expand -PRON- portfolio in emergency and rehabilitation activity the organization use humanitarian resource channel that be relatively easy to access than development funding,negative
118,most of the personnel work on strategic programme 5 national and international be hire under consultancy contract with extremely short contractual period,negative
119,fao lack a formal programme level connect the project and the country programming framework hence the recourse to country resilience strategy,negative
120,while this may be adequate for one off response to sudden onset disaster -PRON- have prove problematic when implement recurrently as be often the case in protract crisis,negative
121,many technical unit engage in resilience relate policy in a scatter manner,negative
122,in africa and the regional office for the near east and north africa the regional initiative be only fund by fao resource and therefore rather small and use to fund catalytic country level initiative,negative
123,so far many of these service such as the community animal health worker or farmer field school have not be aggressively promote by fao,negative
124,fao could strengthen -PRON- strategic position by deepen -PRON- involvement in resilience,negative
125,while silos be break within strategic programme 5 there be potential for more collaboration between strategic programme at headquarters,negative
126,seize the opportunity present by the current interest in resilience require continue and strengthen operational and technical capacity together with increase investment in resilience programming,negative
127,resilience programming be not fundamentally new to fao,negative
128,insufficient attention have be pay to knowledge management so far,negative
129,however there have be no systematic staff training in resilience programming and only modest effort towards the development of knowledge sharing network,negative
130,a thorough stakeholder analysis may have prevent these problem,negative
131,the logical framework and m&e plan however be never adapt to the new activity of the big2050 initiative,negative
132,component 2 activity relate to the bocaina mosaic come to a standstill around 2016 due to a misinterpretation of -PRON- attribution during project formulation,negative
133,argue that project outcome be not alter by this significant change no formal gef approval be seek for -PRON-,negative
134,all together the result of the component be consider moderately unsatisfactory,negative
135,the activity relate to the strengthening of the bocaina mosaic include the establishment of a permanent executive structure be largely base on a misconception at the time the project be conceive,negative
136,bod biological oxygen demand value have not be reduce,negative
137,the main flaw to be consider be the lack of a thorough previous stakeholder analysis and the lack of consideration of gender issue,negative
138,however at project conception -PRON- be wrongly consider that the mosaic be to have an executive character where in reality -PRON- be merely consultative,negative
139,change in fao regulation and procedure over the course of the project cause some implementation problem due to the require adaptation,negative
140,under component 2 bocaina mosaic activity come to a standstill due to lack of interest among -PRON- member,negative
141,conclusion 2,negative
142,conclusion 5,negative
143,at the time of -PRON- inception fao have limit or no field presence in the participate country relatively small national programme and have only recently start to establish -PRON- first central asia sub regional office in ankara,negative
144,the ftpp be design without a robust result framework or theory of change toc,negative
145,there be no procedure apply for ensure the relevance of project activity to the beneficiary,negative
146,ftpp be a highly fragmented programme consist of 28 small autonomous project which do not facilitate collaboration to any substantial degree,negative
147,with very few exception the implementation have not include partner that can facilitate result in the field,negative
148,despite the gender issue inherent in most project for example no gender analysis be conduct,negative
149,the output could be significantly improve particularly through a great focus on the need of beneficiary,negative
150,the output could have have a great impact by build on exist project or by be continue and expand by partner organization,negative
151,the draft policy and strategic plan be either not approve or the approval be still in process,negative
152,however the programme start without either a real design or result base framework,negative
153,in particular the bureaucracy involve contribute to serious delay in the implementation of the programme,negative
154,a demand drive programme with adequate ownership require significant involvement from stakeholder at both the regional and national level in programme design and planning,negative
155,most of the scatter and small project be unable to achieve impact in isolation as the challenge -PRON- address be often interdependent,negative
156,this be especially the case for field orient programme such as cattle production watershed management and home base nursery where the activity be develop around community organization,negative
157,the operational and financial framework be not very successful in establish an effective field programme,negative
158,in another example although the concept of environmental sustainability be build into the design of several project -PRON- be not integrate into the project activity,negative
159,long delay be experience in programme implementation and the delivery of project output,negative
160,the limitation in project funding and duration affect the scale and scope of the project output,negative
161,the ownership by ministry in recipient country differ but be generally limited,negative
162,the selection and approval process for project as conduct by fao and the government be find to be ineffective,negative
163,the programme aim to be demand drive,negative
164,the small project i.e. those with short duration and limited budget sometimes lack focus on what -PRON- could realistically achieve,negative
165,in a number of case a lack of institutional development limit the potential of technical intervention,negative
166,consequently strengthen decentralized office capacity to effectively engage with un country team will become increasingly important,negative
167,this will require great attention to the scale and impact of investment operation than merely step up resource mobilization for programme delivery,negative
168,at the same time -PRON- need to be package into more concrete programme intervention relate to major challenge and incorporate result chain and narrative align to the priority of resource partner and sdg target,negative
169,in this regard the 40 sdg target 20 interconnect action and 12 focus area for resource mobilization provide new and alternative opportunity to design flagship programme that be cross so from the outset,negative
170,the integration of cross cut theme have not be systematic with the exception of climate change,negative
171,the main shortcoming affect the relevance of the project evaluate be the decision to fund a large number of project through two different funding window at the same time,negative
172,furthermore the vast majority of immediate action project do not monitor the adaptability and productivity performance of pgrfa,negative
173,as a result the strategic action plan in most case could not be fully implement,negative
174,however the call for proposal focus primarily on food security with insufficient emphasis on nutrition also gender differentiated approach in project execution have not be sufficiently prioritize,negative
175,however the formulation of a large number of strategic action plan without clear funding source identify before project closure be not consider good value for money,negative
176,however some of the outcome set forth under component 1 and 2 be not achieve for example the conservation of endemic biodiversity include agrobiodiversity or the implementation of information system regard the state of biodiversity in the chimborazo reserve,negative
177,in addition the gadpch have limit capacity to directly execute large project and manage a wide range of participant as be evidence by -PRON- decision to assign the project under the environment coordination committee instead of the planning coordination committee,negative
178,the evaluation identify some weakness in particular the establishment of a comprehensive overview as regard land use planning and sustainable development in the province,negative
179,however the project do not apply the monitoring of the participation of woman or young people age 15 to 25 in the training event and in the different initiative implement or specific datum to determine whether the project have contribute towards improve -PRON- right such as for example -PRON- level of access to training and financial resource,negative
180,however take into consideration the significant budget cut in the country since 2016 -PRON- be probable that the level of replicability will be low in the next few year due to -PRON- high cost,negative
181,in particular the conservation and sustainable use of natural resource be mainly focus on the harvesting of water resource in the upper paramo basin and sub basin and the optimization of -PRON- use the application of a pilot model of compensation mechanism for the payment for environmental service psa,negative
182,other important factor identify be the absence of risk management in planning and the lack of monitoring of result back up by a communication strategy and an appropriate institutional arrangement gear towards reduce the inter institutional interaction difficulty experience particularly under component 2,negative
183,however the execution of some output complete in the last month of the project could experience sustainability difficulty as a result of not have a formal subsequent transfer of technical monitoring and take into consideration that the project do not establish some activity to support the conservation and the proper management of the paramo such as for example a system to monitor the outcome and tangible change at an environmental social and economic level,negative
184,however -PRON- have only manage to partially fulfil the high level objective in other word the development and environment objective of the project,negative
185,however -PRON- be necessary to extend the duration of the project by about two year and 20 percent of the gef fund be execute in the last six month,negative
186,in particular the high staff turnover in the opim the gadpch and the cantonal and parish dag the lack of clarification of the responsibility of the opim and of fao ecuador particularly at the beginning of the project after the change in opim staff in 2013 and after the mid term evaluation at the end of 2015 and the lack of monitoring of the outcome and risk management by the opim technical team to mitigate the problem associate with the slow execution of the project in time,negative
187,in term of the replicability of the infrastructure project -PRON- be find that the gadpch and the cantonal and parish dag have not be able to assess -PRON- cost efficiency to date17 in order to prioritize the work to be replicate in accordance with the ludp priority,negative
188,although the project be see as an important first step -PRON- do not possess adequate resource namely the time and budget to achieve the objective as plan in the project document,negative
189,only 2 percent of the target area be reach and despite implementation of most project activity no direct outcome be fully achieve,negative
190,the selection of the execute partner sodefor do not take into account -PRON- limited capacity to manage fauna and community live outside of forest area,negative
191,the limited implementation capacity result in delay implementation of certain activity,negative
192,this suggest that more institutional and individual capacity building awareness raising technical and financial support be need to ensure environmental and socio economic impact,negative
193,to this end fao should also ensure a focus on strengthen capacity to develop evidence basis for inform advocacy message and policy that include cost value of policy choice or of policy inaction for instance in relation to environmental sustainability or deforestation,negative
194,fao therefore need to more loudly share lesson from pilot project and from -PRON- experience and expertise,negative
195,a long term strategically orient approach to policy engagement by fao in collaboration with other member of the un country team and back by the fao regional office for asia and the pacific could provide a way to move away from an ad hoc approach to policy engagement towards a long term approach limit risk concern through partnership with un country team and other development partner,negative
196,give this approach there be equally a lack of clarity and mode of project financing both of which be associate with delay in activity onset,negative
197,-PRON- also limit the planned adaptive learning from resilience to climatic change,negative
198,a delay decision to procure service of a consultant to support the instituting of the livestock identification and traceability system lit be a miss opportunity for strengthen market and disease control regulation,negative
199,furthermore tail end famer already face water scarcity be deprive of this important intervention,negative
200,on the institutional capacity development strengthening and transforming community- base organization cbos and farm service centre fscs be not achieve to the extent that be plan under the project,negative
201,activity such as establishment of vegetable production unit fruit plant nursery fruit orchard and distribution of seed silos be expensive not very strategic and not reach to a broad range of beneficiary,negative
202,however the evaluation note that other mangrove consultation framework already exist for instance the cameroon mangrove network and the project could have focus on strengthen these network,negative
203,the project have not yet put in place a strategy to use the result of permanent plot monitoring after -PRON- closure,negative
204,however the final act of approval for the classification of these protect area either douala edea national park or ramsar site do not solely depend on the project,negative
205,furthermore the evaluation of protect area management effectiveness which be a requirement of this project and of gef project in general have not be carry out,negative
206,indeed the result and effect obtain appear to be low than expect,negative
207,however the study carry out by the project do not always highlight gender specificity,negative
208,the project could have improve -PRON- performance by add a lobby and political advocacy component in order to mobilize these high level political actor in -PRON- favour and improve result and output,negative
209,the report repeatedly highlight the weak involvement of the private sector as a major issue which be nevertheless a key actor as a user and potential polluter of mangrove ecosystem,negative
210,accord to the viewpoint of the various institutional actor and the beneficiary -PRON- this aspect remain the soft underbelly of the project 's achievement in term of the financial and human resource make available,negative
211,however the objective of strengthen resilience to climatic shock do not clearly translate in design and logframe e.g. in geographic targeting criterion in outputs/ activity no early warning system at village level no contingency plan,negative
212,however the design be not well balanced to ensure the adoption of a multisectoral approach in all jrp village and throughout the duration of the project the wash component cover a limited number of village in a single locality,negative
213,the need to follow up be to be expect and an exit strategy should have be anticipate include on orientation activity and budget at design stage,negative
214,the absence of capacity building plan for implement partner and local authority and of plan transfer of responsibility challenge the sustainability of the jrp see recommendation 2 and 3,negative
215,moreover some output 4 and 5 activity be monitor as a package through aggregate indicator that could not provide quantifiable evidence of what exactly be implement,negative
216,feedback to the community and project documentation adjustment to the cap be not clearly include in the design,negative
217,the revision of the cap by technical expert reduce potential ownership and buy in of the process by the community,negative
218,the initial breakdown of the budget by component be not update to include the priority define during community consultation or the increase in the number of village and the reduced number of target people even though these change have an impact on the need to be address by each of the four component,negative
219,agency specific procedure for partnership or procurement create some difficulty and reduce the potential achievement of an integrated and joint approach,negative
220,while this could have be an opportunity to strengthen the capacity of ministry to work together and develop multisectoral strategy jrp do not make the most of -PRON-,negative
221,this would have enable proper feedback from community on activity carry out during the year and ensure the update of action plan,negative
222,however behaviour change be a long term process and result need to be consolidate,negative
223,a reduction of the period dedicate to the implementation of output 2 to output 4 activity have have an impact on overall achievement,negative
224,a well assessment of the context to include a realistic number of target village from the outset and the inclusion of a pre established mechanism to answer climatic shock in the design would have ease the management of the jrp management and respect of the timeframe,negative
225,wait for a cap to be validate to start -PRON- implementation be superfluous and only delay the beginning of the activity,negative
226,this be due to a lack of investment with only 5 percent of the programme budget for wash and impact of flood but also due to difficult coordination with the aquaforeast project,negative
227,moreover while coordination within the jrp be already an issue -PRON- can be consider overambitious to ask the programme to coordinate with an external project,negative
228,wash component raise an issue of sustainability consider there be no effective water management committee no fee be systematically collect for most water source and locality service be weak,negative
229,however most of these effect would have to be assess at a later stage also consider that annual survey do not show clear overall improvement of livelihood at this stage,negative
230,field team could not ensure monitoring and follow up of activity to consolidate the achievement of the programme and this represent a risk for the quality of intervention as well as for -PRON- sustainability,negative
231,well preparedness and anticipation would have help to well respond to need and in particular to provide early assistance for livestock owner affect by drought,negative
232,the choice of village should have be document in detail to clarify the various criterion use to select village the decision make process and the role of different actor involve,negative
233,the full implication of coordinate planning and implementation between agency be not fully consider and this ultimately hamper achievement of the full potential of joint programming,negative
234,transparency and clear feedback mechanism with community be also lack when -PRON- would have be crucial to a project hinge on consultation with beneficiary and -PRON- participation,negative
235,three year be a short period to achieve sustainable result in build resilience in the context of kassala,negative
236,cultural barrier be still a constraint to access to good health and nutrition and low capacity of the ministry of health challenge the possibility to carry on activity without important technical and financial support from partner,negative
237,the risk of drought and flood fail to be at the centre of a project focus on resilience to climate shock,negative
238,the two organization also need to work on improve the management of vaccine,negative
239,to ensure impact the evaluation finding evidence that -PRON- be necessary to review and update the priority disease the challenge face and the progress be make,negative
240,ao and oie have not be able to secure or raise fund for joint programme but both organization have manage to raise fund for -PRON- respective tad programme and project,negative
241,activity at country level be support indirectly through gf tad regional initiative yet implementation at country level be beyond the capacity of the gf tads,negative
242,effectiveness at global level suffer from the lack of agree managerial process in the management committee mc limited resource lack of staff a lack of implementation of strategic planning and limited review of progress and activity be undertake,negative
243,this be reflect in the commitment of -PRON- resource human financial and organizational that be ill define and too limited to assure achievement of the agree objective,negative
244,the budget and consequential capacity of gf tad at global level be limited and dependent on availability,negative
245,information share within the region be variable,negative
246,governance provide by the gsc be generally passive weak and disconnected from the operational reality,negative
247,even though farmer who benefit from the fao project be ready to sell -PRON- excess produce to earn cash income this be only possible in the location where there be a market near the farm,negative
248,multi phase programme be need in the area require a long term holistic capacity development while training of trainer help utilize small training budget effectively,negative
249,production and marketing of high value and organic commodity would require put in place appropriate policy institutional and technical infrastructure to ensure food safety biosecurity and quality standard,negative
250,priority area conceptualize in the cpf design be not always visible as a synergy among intervention,negative
251,the revised logframe be clear though be not really apply in practice,negative
252,a confound finding from analysis of casu monitoring datum be that the amount of land put under legume with conventional practice increase during the project period,negative
253,farmer understand the potential benefit of plant specific tree but -PRON- be too early to see actual result,negative
254,the late start up of the activity mean that there be insufficient time to remedy these problem,negative
255,however delay in analysis mean -PRON- be not use efficiently to improve implementation,negative
256,however the project focus have be on the system development such as the e voucher rather than on the action need to support the value chain development,negative
257,on the other hand inadequate market for legume in particular be a threat to continue ca,negative
258,the monitoring datum have indicate that there have be considerable variation of application of ca technique year to year and between crop,negative
259,with regard to achieve the outcome of the third specific objective to educate and raise awareness among decision maker teacher student and consumer about the environmental nutritional cultural and economic value of agrobiodiversity the project be less successful,negative
260,to date however -PRON- implement regulation have not be pass,negative
261,however the evaluation be moderately unsatisfied with the relevance of component 3 because -PRON- do not emphasise the importance of establish a communication strategy to educate and raise awareness among the different stakeholder or to develop synergy with other relevant programme and project in particular with the gef 's promaren project in the province of chimborazo,negative
262,in particular -PRON- can be observe that iniap do not manage to pledge all of the cofinance intend particularly since 2016 due to budget restriction and political change that reduce -PRON- role in agricultural extension particularly with regard to the transfer of technology,negative
263,however the application of organic supply and the handling of agrobiodiversity increase womens daily workload because -PRON- require intensive work that involve a lot of manual labour before become establish,negative
264,in addition the project do not manage to establish a communication strategy to promote pass this regulation and accord to evidence available no mechanism or budget have be establish to update strengthen and broaden the main communication at an intra and inter provincial level,negative
265,the main barrier be pose by the lack of agronomist train to promote farmer right agrobiodiversity agroecology the monitoring of production harvest post harvest sale etc,negative
266,in addition extensive institutional change be make from the design to the start of operation that contribute to lose almost one year of work,negative
