Document group,Document name,Segment,Author,Creation date,Area,Coverage %,sentiment
FAO,FAO_1_2017_Eval,"As a result, the Project’s treatment of gender equality and  
equity has been dependent on the partners’ policies and initiatives.",Vytas,02.07.2020 15:46:04,129,0.032597,negative
FAO,FAO_1_2017_Eval,with limited delivery at the outcome level,Vytas,02.07.2020 15:46:04,42,0.010613,negative
FAO,FAO_1_2017_Eval,"The Project logframe could be streamlined  
to improve M&E, and there is a need for more targeted communication, outreach and advocacy  
efforts.",Vytas,02.07.2020 15:46:04,143,0.036134,negative
FAO,FAO_1_2017_Eval,"However, there was limited funding at the design stage which  
reduced opportunities for stakeholder consultation and involvement.",Vytas,02.07.2020 15:46:23,129,0.032597,negative
FAO,FAO_1_2017_Eval,"However, other project activities are behind schedule and need increased attention from the  
Project, notably the monitoring, control and surveillance (MCS) best practices, international  
monitoring, control and surveillance and proposed MCS certification course.1",Vytas,02.07.2020 15:46:23,264,0.066709,negative
FAO,FAO_1_2017_Eval,"ponent 1 has been the most difficult for stakeholders to understand and deliver  
(and was not well defined at the design stage).",Vytas,02.07.2020 15:46:23,128,0.032344,negative
FAO,FAO_1_2017_Eval,"he Project’s complicated results framework made it difficult for partners and  
stakeholders to understand the logic of and connections among various project elements",Vytas,02.07.2020 15:46:23,165,0.041693,negative
FAO,FAO_1_2017_Eval,"he Project communications outputs were subpar due to the lack of a project-specific  
communications plan and few staff working on communications and outreach.",Vytas,02.07.2020 15:46:23,158,0.039924,negative
FAO,FAO_1_2017_Eval,"M&E was challenging due to the large number of poorly formulated indicators and  
associated targets.",Vytas,02.07.2020 15:46:23,100,0.025269,negative
FAO,FAO_1_2017_Eval,"However, ownership of the Project  
was mixed, particularly during the design stage.",Vytas,02.07.2020 15:46:23,83,0.020973,negative
FAO,FAO_1_2017_Eval,"The Project’s complicated design and poorly  
explained causal logic affected the initial delivery of project activitie",Vytas,02.07.2020 15:46:23,118,0.029817,negative
FAO,FAO_1_2017_Eval,"The complex partner arrangements, however, presented a formidable management challenge  
for the Project",Vytas,02.07.2020 15:46:23,103,0.026027,negative
FAO,FAO_1_2017_Eval,The Project has developed a large and diverse mix of partners.,Vytas,02.07.2020 15:46:23,62,0.015667,negative
FAO,FAO_1_2017_Eval,"To date, there has been very limited evidence  
of replication or catalysis of project results",Vytas,02.07.2020 15:46:23,93,0.0235,negative
FAO,FAO_1_2017_Eval,"The project did not undertake a gender analysis at the inception phase  
of the project, or develop a gender strategy or gender action plan in accordance with the latest  
FAO guidance on gender equality.",Vytas,02.07.2020 15:46:23,202,0.051043,negative
FAO,FAO_1_2017_Eval,"While there is good potential for the sustainability of some project results (e.g. FAO is  
sourcing funding to promote the port state measures template and catch documentation scheme  
implementation), ongoing financial and institutional support is unclear for many activitie",Vytas,02.07.2020 15:46:23,274,0.069236,negative
FAO,FAO_1_2017_Eval,"Going forward, the Project needs to  
establish clear agreements with partners regarding the sustainability of project activities after  
GEF funding finishes",Vytas,02.07.2020 15:46:23,156,0.039419,negative
FAO,FAO_10_2017_Eval,"This limited the potential for cross- 
programme learning and coordination of approaches.",Vytas,02.07.2020 15:46:07,89,0.073748,negative
FAO,FAO_10_2017_Eval,"his undermined the utility of the logframe as a project management and  
monitoring and evaluation tool.",Vytas,02.07.2020 15:46:07,103,0.085349,negative
FAO,FAO_10_2017_Eval,"Furthermore, the training of facilitators and longer term engagement  
was inadequate; the ongoing provision of free inputs to demonstration farmers was  
questionable; the programme gave limited emphasis to environmentally sustainable  
agricultural techniques; and targeted support for the poor and landless was lacking.",Vytas,02.07.2020 15:46:07,319,0.264333,negative
FAO,FAO_10_2017_Eval,"However, there was continued provision of free inputs  
under project 011 beyond the time period within which this was justified.",Vytas,02.07.2020 15:46:07,128,0.106065,negative
FAO,FAO_10_2017_Eval,"t could have made more use of FAO’s cross-cutting strategic guidance  
relating, for example, to livelihoods and gender.",Vytas,02.07.2020 15:46:07,119,0.098607,negative
FAO,FAO_10_2017_Eval,"Partnerships with government were stronger at local level than at  
national level and this may have compromised the capacity of the project to influence the  
wider policy and enabling environment. Partnership with NGOs was undermined in some  
cases through short duration letter of agreement contracts.",Vytas,02.07.2020 15:46:07,302,0.250247,negative
FAO,FAO_10_2017_Eval,"owever, the approach has not been clearly embedded in national or  
provincial fisheries policies, and this may limit wider adoption and/or long-term institutional  
sustainability.",Vytas,02.07.2020 15:46:07,179,0.148325,negative
FAO,FAO_10_2017_Eval,"However, the farmer field schools used a rather conservative approach, often delivering  
standard extension advice rather than creating a dynamic adaptive learning institution or  
communit",Vytas,02.07.2020 15:46:07,188,0.155783,negative
FAO,FAO_10_2017_Eval,"Furthermore, there was rather limited attention to empowerment of the poor  
and landless under this project.",Vytas,02.07.2020 15:46:07,108,0.089492,negative
FAO,FAO_10_2017_Eval,"ven that the bulk of both fisheries  
and agricultural products are traded, and that the programme encouraged diversification,  
this was a significant omission.",Vytas,02.07.2020 15:46:07,159,0.131752,negative
FAO,FAO_10_2017_Eval,"There was an intentional  
shift of focus (agreed between the Department of Fisheries and project management) to  
fisheries co-management in an area where opportunities for mangrove co-management  
were very limited; but this shift was not reflected in a revised logframe, and rendered  
the original logframe largely irrelevant as a project management and monitoring and  
evaluation tool.",Vytas,02.07.2020 15:46:07,386,0.319852,negative
FAO,FAO_10_2017_Eval,"The component projects 010, 011 and 012 were independently designed, with separate  
logical frameworks and reporting procedures.",Vytas,02.07.2020 15:46:26,128,0.106065,negative
FAO,FAO_10_2017_Eval,"Project 010 was implemented in a geographic area wherein the original rationale and logic  
could not apply, and the focus was shifted from mangrove co-management to fisheries co- 
management.",Vytas,02.07.2020 15:46:26,191,0.158268,negative
FAO,FAO_10_2017_Eval,"The theory of change of 012 was weak and this was reflected in some ad hoc interventions  
and a lack of strategy in implementation.",Vytas,02.07.2020 15:46:26,131,0.108551,negative
FAO,FAO_10_2017_Eval,"All three logframes were weak in terms of defining the ambitions and approach of the  
programme to building stronger sustainable community-based organizations, and in  
terms of targeting the poorest members of society.",Vytas,02.07.2020 15:46:26,218,0.180642,negative
FAO,FAO_10_2017_Eval,"There were some limitations in terms of targeting the most vulnerable members of society,  
and in particular the landless under project 011.",Vytas,02.07.2020 15:46:26,140,0.116008,negative
FAO,FAO_10_2017_Eval,"However, there  
are significant internal and external threats to their longer term survival, and more could  
have been done to address them.",Vytas,02.07.2020 15:46:26,140,0.116008,negative
FAO,FAO_10_2017_Eval,"However, the farmer field schools used a somewhat conservative approach, often delivering  
standard extension advice rather than creating a dynamic adaptive learning institution  
or community through which extension workers exchange learning, understanding and  
experience with farmers, and farmers exchange learning, experience and understanding  
with each other",Vytas,02.07.2020 15:46:26,363,0.300793,negative
FAO,FAO_10_2017_Eval,"Although gender was not actively mainstreamed in the logframes or formal management,",Vytas,02.07.2020 15:46:26,84,0.069605,negative
FAO,FAO_10_2017_Eval,"The programme could nonetheless have integrated other DRR measures more effectively  
into its activities, such as integrating shelters with collection centre construction.",Vytas,02.07.2020 15:46:26,171,0.141696,negative
FAO,FAO_10_2017_Eval,"he programme provided very little analysis, advisory support or facilitation  
relating to product marketing strategy or market access",Vytas,02.07.2020 15:46:26,133,0.110208,negative
FAO,FAO_10_2017_Eval,"ect 010 failed to deliver on its main outcome indicators relating to  
improved co-management of mangrove-fisheries ecosystems.",Vytas,02.07.2020 15:46:26,126,0.104407,negative
FAO,FAO_10_2017_Eval,"Gender and human rights were not formally mainstreamed under the  
programm",Vytas,02.07.2020 15:46:26,74,0.061319,negative
FAO,FAO_10_2017_Eval,"sues of child  
labour were not addressed, nor were working rights and conditions for landless labourers.",Vytas,02.07.2020 15:46:26,104,0.086178,negative
FAO,FAO_11_2016_Eval,"Moreover, the benefits  
of flexible fast-track project planning and reporting are offset by: (i) the limited resources  
allocated to FMM management; (ii) delays in project approval processes; (iii) small and  
fragmented projects; (iv) erratic/un-predictable flow of funds; and (v) very limited  
participation of decentralised offices in the preparation of concept notes.",Vytas,02.07.2020 15:46:07,370,0.190005,negative
FAO,FAO_11_2016_Eval,"However, the extent to which this occurs is  
constrained by the specificity of earmarking by some resource partners.",Vytas,02.07.2020 15:46:07,116,0.059569,negative
FAO,FAO_11_2016_Eval,"Resource partners differ in their expectations about  
FMM and the mechanism is not well understood outside HQ",Vytas,02.07.2020 15:46:07,109,0.055974,negative
FAO,FAO_11_2016_Eval,"The quality of monitoring and reporting is mixed at  
the project level and weak at the programme level. The evaluation experienced difficulty  
in learning what is happening, even at country level. The project paper trail is fragmented  
and difficult to follow, and the lack of formal documented procedures accentuates the  
problems arising from the very lean management structure.",Vytas,02.07.2020 15:46:07,380,0.19514,negative
FAO,FAO_11_2016_Eval,"but less well understood and  
appreciated in the decentralized offices",Vytas,02.07.2020 15:46:07,70,0.035947,negative
FAO,FAO_11_2016_Eval,"The limited  
understanding and generally low profile of the FMM among stakeholders is reducing interest  
among potential new resource partners.",Vytas,02.07.2020 15:46:07,143,0.073434,negative
FAO,FAO_11_2016_Eval,"his would  
also help FAO to avoid being overly influenced by the allocation of voluntary contributions  
from its resource partners, and to allocate resources thematically rather than according  
to departmental structure.",Vytas,02.07.2020 15:46:07,220,0.112976,negative
FAO,FAO_11_2016_Eval,"it also created some confusion and uncertainty that affected project implementation,  
and impeded systematic and timely monitoring and evaluation (M&E) and reporting.",Vytas,02.07.2020 15:46:07,166,0.085245,negative
FAO,FAO_11_2016_Eval,"Decision-making processes are ill-defined and poorly understood. Formalized  
and streamlined procedures would also have the potential to reduce transaction costs  
and potentially attract additional donor funding.",Vytas,02.07.2020 15:46:07,212,0.108868,negative
FAO,FAO_11_2016_Eval,"Sub-regional  
and regional office involvement has been negligible.",Vytas,02.07.2020 15:46:07,66,0.033893,negative
FAO,FAO_11_2016_Eval,"However, it is seen as especially problematic within FMM. The FMM  
resource partners maintain that the problem is procedural rather than caused by erratic  
funding by the donors. Whatever the cause, or combination of causes, it is clear that this  
is a problem that needs to be addressed.",Vytas,02.07.2020 15:46:07,288,0.147896,negative
FAO,FAO_11_2016_Eval,"This appears to be attributable to internal procedural issues,  
possibly exacerbated by the transition between the old and new Strategic Frameworks, and the  
associated redeployment of resources",Vytas,02.07.2020 15:46:07,194,0.099624,negative
FAO,FAO_11_2016_Eval,"he effort to be cost-effective  
results in many administrative delays, for example in approving no-cost extensions.",Vytas,02.07.2020 15:46:07,115,0.059056,negative
FAO,FAO_11_2016_Eval,"Although these seem fairly well established at the higher, decision- 
making levels, the underlying logic for the selection of FMM proposals within SOs is still  
unclear.",Vytas,02.07.2020 15:46:07,170,0.087299,negative
FAO,FAO_11_2016_Eval,"FMM is not yet operating effectively as a pooled programmatic funding mechanism. Some  
of the resource partner contributions are earmarked to particular themes or regions,  
which limits the extent to which FAO can allocate resources in accordance with its own  
strategic priorities",Vytas,02.07.2020 15:46:26,80,0.041082,negative
FAO,FAO_11_2016_Eval,"The absence of an FMM logframe and clear operational procedures below the Strategic  
Programme Leader (SPL) level is confusing for stakeholders and undermines the cost- 
effectiveness of the selection process of FMM-funded initiatives.",Vytas,02.07.2020 15:46:26,235,0.120679,negative
FAO,FAO_11_2016_Eval,"Despite considerable effort in marketing FMM to resource partners no new partners  
have joined FMM during the current MTP and there have never been more than two  
active resource partners at any time",Vytas,02.07.2020 15:46:26,199,0.102192,negative
FAO,FAO_11_2016_Eval,"MM documentation  
and reporting procedures are intentionally minimal but still weak at programme level.  
Current efforts to improve FAO’s reporting against SOs and OOs will support efforts to  
market FMM to resource partners",Vytas,02.07.2020 15:46:26,224,0.11503,negative
FAO,FAO_11_2016_Eval,"Although FMM is a valuable instrument in pursuit  
of FAO’s corporate priorities, it remains underfunded and underdeveloped",Vytas,02.07.2020 15:46:26,122,0.06265,negative
FAO,FAO_11_2016_Eval,"FMM procedures have not been formally documented in the same way as other funding  
instruments.",Vytas,02.07.2020 15:46:26,95,0.048785,negative
FAO,FAO_11_2016_Eval,"By deploying its resources in pursuit of clearly identified and prioritized SOs and OOs,  
FMM could assist FAO’s transformation into a more strategic organization",Vytas,02.07.2020 15:46:26,162,0.083191,negative
FAO,FAO_11_2016_Eval,"Consequently, resource partners have varying expectations about how the funds will  
be allocated, and do not fully understand the monitoring and reporting procedures  
required",Vytas,02.07.2020 15:46:26,175,0.089867,negative
FAO,FAO_11_2016_Eval,"Much of the work  
is of a normative nature, with country level activities used to validate HQ-based normative  
studies. This is at odds with the original intention of FMM as well as FAO’s decentralisation  
agenda, and results in a low level of country office participation or ownership and even  
lower levels of awareness and ownership among national stakeholder",Vytas,02.07.2020 15:46:26,362,0.185897,negative
FAO,FAO_11_2016_Eval,"owever, the scheme has not been successfully  
marketed to the donor community and there have never been more than two resource partners  
contributing at any one time.",Vytas,02.07.2020 15:46:26,166,0.085245,negative
FAO,FAO_11_2016_Eval,"While there are signs of an increasing flow of funds through FMM, some ten years after  
the establishment of FMM’s predecessors and almost six years after the creation of FMM  
itself, it is still a very small instrument relative to FAO’s overall financial resources",Vytas,02.07.2020 15:46:26,265,0.136084,negative
FAO,FAO_11_2016_Eval,"There are also concerns at the operational level, expressed by most Strategic Programme  
Leaders (SPLs) and budget holders, about the stability and predictability of FMM funding.",Vytas,02.07.2020 15:46:26,178,0.091408,negative
FAO,FAO_11_2016_Eval,"FMM has not been able to deliver a satisfactorily stable or predictable level of funding over  
a full MTP or even a biennium.",Vytas,02.07.2020 15:46:26,125,0.064191,negative
FAO,FAO_11_2016_Eval,"The predictability issue creates a number of operational  
difficulties related to small and fragmented projects: stop-go project implementation; hurried  
decision-making in funding allocation, with limited consultation beyond FAO headquarters;  
and short project durations which impede efficiency and sustainability.",Vytas,02.07.2020 15:46:26,316,0.162274,negative
FAO,FAO_11_2016_Eval,"FMM’s management structure is extremely lean, with just one part-time headquarters  
staff member responsible for administering the scheme, which currently has more than  
a dozen active projects operating in around 30 countries",Vytas,02.07.2020 15:46:26,226,0.116057,negative
FAO,FAO_11_2016_Eval,"n addition, resource partner contributions are not synchronised with  
FAO’s medium-term planning cycle.",Vytas,02.07.2020 15:46:26,103,0.052893,negative
FAO,FAO_12_2016_Eval,"Sustainability may be enhanced if target FFPOs contribute counterpart funding to the budget  
of their projects.",Vytas,02.07.2020 15:46:07,111,0.052469,negative
FAO,FAO_12_2016_Eval,"While  
those trainings are essential, they are not sufficient to develop value chains which requires  
additional support to FFPOs to improve their terms of engagement with national, regional and  
international markets.",Vytas,02.07.2020 15:46:07,218,0.103047,negative
FAO,FAO_13_2016_Eval,"The evaluation found that the focus of capacity  
development activities should be refined from strengthening and supporting the Ministry  
of Environment and Forests to a focus on strengthening and supporting the development,  
implementation and monitoring of the CIP.",Vytas,02.07.2020 15:46:07,267,0.126872,negative
FAO,FAO_13_2016_Eval,"The evaluation  
noted that the delay in the initial project approval process and FAO’s staffing challenges led  
to a slow star",Vytas,02.07.2020 15:46:07,126,0.059872,negative
FAO,FAO_13_2016_Eval,"e project must now ensure that the CIP monitoring  
report is produced during the remaining lifetime of the project. While terms of reference  
for the PSIMU have been formalized, the creation and staffing of the PSIMU may not be  
achieved during the current phase of the project",Vytas,02.07.2020 15:46:07,277,0.131624,negative
FAO,FAO_13_2016_Eval,"owever, relations with  
other Government of Bangladesh stakeholders need to be strengthened, in particular the  
users of the CIP and key contributors to the CIP. The CIP contains inputs from 40 ministries  
and 45 government agencies, of which key staff require technical and functional capacity  
development in regard to the CIP.",Vytas,02.07.2020 15:46:07,329,0.156333,negative
FAO,FAO_13_2016_Eval,"However, the capacity needs assessment and the training  
plan developed by the project only assessed the capacity development needs of the staff  
of the Ministry of Environment and Forests and its Agencies",Vytas,02.07.2020 15:46:07,205,0.097411,negative
FAO,FAO_13_2016_Eval,"though further support could be offered to the  
Local Consultative Group for Climate Change and Environment (LCG-CCE) and its capacity  
development working group.",Vytas,02.07.2020 15:46:07,162,0.076979,negative
FAO,FAO_13_2016_Eval,"Therefore, while valuable training efforts have been undertaken, a more targeted approach  
to capacity development, focused on the capacities (both technical and functional) needed  
to implement and monitor the CIP would have been a more realistic approach.",Vytas,02.07.2020 15:46:07,257,0.12212,negative
FAO,FAO_13_2016_Eval,"Overall, capacity development efforts need to be based  
on FAO’s principled and enhanced CDF approach, which emphasizes the achievement o",Vytas,02.07.2020 15:46:07,137,0.065099,negative
FAO,FAO_13_2016_Eval,earning rather than the delivery training.,Vytas,02.07.2020 15:46:07,42,0.019957,negative
FAO,FAO_13_2016_Eval,"Rights-based responses, strategies  
and action plans are missing in the case of vulnerable groups and indigenous people or are  
not as strong as they could be as in the case of gender",Vytas,02.07.2020 15:46:07,183,0.086957,negative
FAO,FAO_13_2016_Eval,"These mixed logical framework results should be viewed as shortcomings in the project  
design, project assumptions and the lack of updating of the logical framework rather than  
as shortcomings in the actions of the project stakeholders implementing the project.",Vytas,02.07.2020 15:46:07,262,0.124496,negative
FAO,FAO_13_2016_Eval,"Agencies, such as the Bangladesh Climate Change Trust Fund, require greater attention  
because of their dual role as a contributor to and a source of internal funds for the  
implementation of the CIP.",Vytas,02.07.2020 15:46:07,200,0.095035,negative
FAO,FAO_13_2016_Eval,"While the whole project design reflected FAO’s enhanced Capacity Development Framework  
this was not carried through to the activity level where the delivery of training was emphasized  
in favour of sustainable and institutionalized learning.",Vytas,02.07.2020 15:46:07,242,0.114993,negative
FAO,FAO_13_2016_Eval,"Continuing with the decision of the Project Steering Committee to focus the project’s activities  
on the development, implementation and monitoring of the CIP should be a priority",Vytas,02.07.2020 15:46:07,179,0.085057,negative
FAO,FAO_13_2016_Eval,"ghts-based responses, strategies and/or action plans are  
missing in the case of vulnerable groups and indigenous people and are not as strong as they  
could be as in the case of gender.",Vytas,02.07.2020 15:46:07,186,0.088383,negative
FAO,FAO_13_2016_Eval,"Areas  
in which the CIP could make improvements include: provide a forum for the prioritization  
of programmes; provide an opportunity for open and transparent discussions about the  
investment priorities; programme development quality, programme implementation and  
monitoring; coordination and synchronization of programmes; community and private  
sector consultation; and provide a forum where proposed governments programmes,  
within the various ministries and their agencies that contribute to the environment, forestry  
and climate change sector, could be made explicit.",Vytas,02.07.2020 15:46:26,576,0.273702,negative
FAO,FAO_13_2016_Eval,"Presently,  
there is not a unit within the Ministry of Environment and Forests that can undertake the  
anticipated activities of the proposed PSIMU and the unit’s creation remains highly anticipated  
within the Ministry, in order to support the implementation and monitoring of the CIP.",Vytas,02.07.2020 15:46:26,286,0.135901,negative
FAO,FAO_13_2016_Eval,"Regarding the project assumption of overall capacity strengthening of the Ministry of  
Environment and Forests (beyond the establishment of the PSIMU), the high expectations  
of the stakeholders’ contrast greatly with the scope of the project design and the context  
from which the project was developed",Vytas,02.07.2020 15:46:26,303,0.143979,negative
FAO,FAO_13_2016_Eval,"Results achieved to date, as described in the results framework, are mixed",Vytas,02.07.2020 15:46:26,74,0.035163,negative
FAO,FAO_13_2016_Eval,"The evaluation  
found that capacity development activities tended to be more oriented towards one-off  
training events, without fully applying FAO’s enhanced capacity development framework.",Vytas,02.07.2020 15:46:26,189,0.089808,negative
FAO,FAO_13_2016_Eval,"The evaluation notes that the initial project design, particularly in relation to the scope of the  
project’s capacity development activities, was too ambitious for the time frame and budget.",Vytas,02.07.2020 15:46:26,191,0.090759,negative
FAO,FAO_13_2016_Eval,"Presently, the Gender Action Plan developed by the project only addresses gender-related  
matters in the context of the Ministry of Environment and Forests and its Agencies and  
does not examine gender discrimination within the project and its broader context and  
also within the CIP and the CIP’s programme portfolio",Vytas,02.07.2020 15:46:26,318,0.151106,negative
FAO,FAO_13_2016_Eval,"The project design used time models that were not reflective of the actual  
time needed to complete Government of Bangladesh activities, such as the time it would  
take for the PSIMU to be staffed by Government of Bangladesh civil servants and how long  
an environment, forestry and climate change CIP would actually take to be developed.",Vytas,02.07.2020 15:46:26,338,0.16061,negative
FAO,FAO_13_2016_Eval,The initial project design was overly ambitious in its scope and objectives.,Vytas,02.07.2020 15:46:26,76,0.036113,negative
FAO,FAO_13_2016_Eval,"Patterns of discrimination in relation to the project, the Ministry of Environment  
and Forests and its Agencies and the CIP and its projects have not been identified, analysed  
and responses developed for.",Vytas,02.07.2020 15:46:26,206,0.097886,negative
FAO,FAO_14_2019_Eval,"n some countries, there is still insufficient political and financial  
prioritization by government counterparts and a generally narrow understanding of gender 
issues (despite the awareness-raising exercises conducted).",Vytas,02.07.2020 15:46:07,220,0.057847,negative
FAO,FAO_14_2019_Eval,"Nevertheless,  
in most countries, FAO’s interventions have addressed gender gaps at community level, 
mainly through women’s economic empowerment.",Vytas,02.07.2020 15:46:07,146,0.038389,negative
FAO,FAO_14_2019_Eval,but needs to strengthen the capacity of Technical Officers to mainstream gender in their work.,Vytas,02.07.2020 15:46:07,94,0.024716,negative
FAO,FAO_14_2019_Eval,"However, these knowledge products need  
to be better contextualized and disseminated for optimal use at decentralized level.",Vytas,02.07.2020 15:46:07,124,0.032604,negative
FAO,FAO_14_2019_Eval,"Field staff need to  
be involved in the preparation of these knowledge products for proper contextualization and  
eventual utilization.",Vytas,02.07.2020 15:46:07,135,0.035497,negative
FAO,FAO_14_2019_Eval,"mostly on an ad hoc basis and mainly  
for project implementation",Vytas,02.07.2020 15:46:07,64,0.016828,negative
FAO,FAO_14_2019_Eval,"FAO has not systematically  
used its recognized knowledge of the agricultural/rural sector to build strategic and long- 
term partnerships with key actors working on gender",Vytas,02.07.2020 15:46:07,172,0.045226,negative
FAO,FAO_14_2019_Eval,"Gender-equality results vary from country to country and require national ownership for  
uptake and sustainability",Vytas,02.07.2020 15:46:26,114,0.029975,negative
FAO,FAO_14_2019_Eval,"That said, FAO also needs to strengthen the capacity of Technical Officers to mainstream  
gender in their work, particularly through customized advice and support from Gender  
Officers and GFPs in the decentralized offices.",Vytas,02.07.2020 15:46:26,223,0.058635,negative
FAO,FAO_14_2019_Eval,"These knowledge products have not been used in an optimal manner and have lacked  
contextualization and feedback from field staff, especially at country leve",Vytas,02.07.2020 15:46:26,157,0.041281,negative
FAO,FAO_14_2019_Eval,"Many partners still see FAO primarily as a technical agricultural agency, limiting the  
Organization’s efforts to engage in social and normative issues",Vytas,02.07.2020 15:46:26,151,0.039704,negative
FAO,FAO_15_2016_Eval,"The design of the programme around  
four purposes as opposed to a Theory of Change (ToC) limited the IGGHRP impact on  
governanc",Vytas,02.07.2020 15:46:08,128,0.074573,negative
FAO,FAO_15_2016_Eval,"he lack of a programme specific ToC made it difficult to  
maintain horizontal linkages across the outcomes. Since governance was never clearly  
defined in the programme, it led to the programme being spread too thinly.",Vytas,02.07.2020 15:46:08,218,0.127007,negative
FAO,FAO_15_2016_Eval,"he core management structure was  
understaffed. From the beginning, the programme was missing some key core staff such  
as \a monitoring and evaluation (M&E)/learning specialist and a communication specialist.  
Two gender specialists from ESP (ESW) played a key role in mainstreaming gender across  
the programme outputs; more could have been done",Vytas,02.07.2020 15:46:08,347,0.202163,negative
FAO,FAO_15_2016_Eval,"Representation in the CSM is currently unsystematically  
determined, and input from the field is not deliberately sought through regular local/ 
regional consultations.",Vytas,02.07.2020 15:46:08,168,0.097877,negative
FAO,FAO_15_2016_Eval,"ut government follow-up in the 48  
countries covered was not as systematic as it could have been",Vytas,02.07.2020 15:46:08,96,0.05593,negative
FAO,FAO_15_2016_Eval,"However, it is still too early and not yet clear if the work on the IPC  
Chronic Food Insecurity Classification scale and the nutrition scale will be widely adopted.  
The IPC Chronic scale is a new tool, launched in 2014, and the IPC Nutrition scale is still in  
development stage, with its release expected in 2016.3",Vytas,02.07.2020 15:46:08,317,0.184685,negative
FAO,FAO_15_2016_Eval,"However, FSIN represented a missed opportunity to make much greater progress to prioritise,  
harmonise and peer review Food Security/Nutrition/Resilience (FSNR) measurement tools.",Vytas,02.07.2020 15:46:08,179,0.104286,negative
FAO,FAO_15_2016_Eval,"However, the work on resilience was not integrated with other programming initiatives  
such as social protection and sustainable agriculture. T",Vytas,02.07.2020 15:46:08,143,0.083312,negative
FAO,FAO_15_2016_Eval,"AO  
is developing a position paper on the role of social protection in building resilience, the  
FAO Social Protection Team contributes to FAO’s Strategic Programme 5 and the FAO Social  
Protection Team is generating evidence and providing country level technical assistance on  
strengthening shock-responsive social protection. Not having country-level programme  
staff–at least in selected focus countries after the MTE–to facilitate implementation as a  
programme, affected vertical and horizontal linkages and technical synergies among sectors  
operating at the country level.4 
",Vytas,02.07.2020 15:46:08,581,0.338491,negative
FAO,FAO_15_2016_Eval,despite not being funded robustly by the programme,Vytas,02.07.2020 15:46:08,50,0.02913,negative
FAO,FAO_15_2016_Eval,"but is yet insufficient for creating meaningful, ongoing partnership  
with the EU.",Vytas,02.07.2020 15:46:08,82,0.047773,negative
FAO,FAO_15_2016_Eval,"but  
collaboration would have been better if the RBAs benefited from a more programmatic  
collaboration, shared funding and joint planning. WFP and IFAD did not participate in the  
design. Despite this, the RBAs have successfully collaborated on numerous initiatives (more  
in 2014 than 2013",Vytas,02.07.2020 15:46:08,291,0.169537,negative
