sentiment,segment,id
positive,"The work of the PCU and of the LTAs is noteworthy, in terms of involving the producers, promoters and local authorities in the project, as well as the research centres and other international and private bodies.",26
negative,"However, it was not possible to fully involve the state authorities.",27
positive,The project generated new knowledge about successful SLM practices that were systematised and shared by means of the World Overview of Conservation Approaches and Technologies (WOCAT) database.,28
negative,"As regards the topic of gender and vulnerable groups, the project did not have the resources or a strategy that would effectively address the inclusion of gender and equality in the project activities, and as a result, young people and women participated in the project to a limited extent.",29
positive,"The project and, in particular the Land  Management Model, represents an alternative that converges the multi-sectoral policies of  the three levels of government.",30
positive,"It does this by means of a watershed approach and by  reversing land degradation to maximise its effectiveness, while empowering local  stakeholders – who act as catalysers and promoters of the model – to make decisions and  contribute in an informed manner to the sustainable management of their land. ",31
negative,"The way in which the project objective was formulated led to the  understanding that – in accordance with the interviews performed and the Mid-Term  x Evaluation – the project would manage to reduce land degradation, and as such the project  was classified as ambitious, considering its duration.",32
negative,"The project was therefore dismissed by  several interviewees, including one of the new federal authorities that stated that it was not  realistic in its scope.",33
negative,"In addition, initiatives were generated in order to have a baseline and to  measure the impact of the implemented SLM practices on land degradation, which was not  included in the PRODOC. ",34
positive,The project managed to systematise the Land Management  Model and provide more detail in its conceptualisation by defining processes and some of  the parts that were not included in the project design. ,35
positive,"ts four main elements were  implemented: governance, land management, production and conservation, as well as  knowledge management.",36
negative,"However, there was not enough time to fine-tune its  conceptualisation and consolidation.",37
negative,"The capacities of the Land Management Committee  members, which constitute the key part of the governance element have to be strengthened  just like the conceptualisation of the committees, as these are viewed as vulnerable.",38
negative,"Land  management, production and conservation elements must be strengthened in technical  terms, as it was understood that the core part of the project was governance.",39
positive,"The knowledge  management element was the most effective, due to the SLM training being highly effective.",40
negative,"In this regard, it was not possible to measure the effectiveness of the model as a whole, given  that it is still incomplete.",41
negative,In addition it is impossible to measure tangible changes in decreased  land degradation because of the model's short implementation period.,42
negative,"The change in government and in priorities of the Federal  Government led to some of the risks identified in the PRODOC arising, and these were not  handled and addressed effectively and in a timely manner, which affected the effectiveness,  co-financing and sustainability of the project. ",43
negative,he stakeholders' involvement in the  project was not entirely effective. ,44
positive,"On the one hand, the PCU and the LTAs competently  involved the producers, promoters and local authorities in the project, as well as the research  centres and other international and private bodies, the participation of which was not set  forth in the project initially. ",45
negative,"On the other hand, it was not possible to fully involve the state  authorities, and as such its policies and investments did not contribute satisfactorily to the  topic. ",46
negative,"The measurement of some soil parameters in an  uncoordinated manner not included in the PRODOC, did not provide a clear trend regarding  the effect of the SLM practices on the sampled demonstration reference sites (DRS), as  expected.",47
positive,"However, some physical changes were recorded in the soil that could lead to  decreased degradation in the long term, if the practices continue to be replicated rigorously. ",48
negative,"The sustainability of the benefits of the project and,  particularly of the Land Management Model, is the weakest aspect of the project, as the  model is incomplete, the project does not have an exit strategy, and lacks a strategy that  enables the continuity of the implementation of SLM practices to ensure the project's  contribution to decreased land degradation.",49
negative,"The project did not have earmarked resources or a  strategy that would effectively address the inclusion of gender and equality in the activities,  and as a result, young people and women participated in the project to a limited extent. ",50
negative,"The project generated and contributed to the  production of new knowledge regarding SLM practices, some of which were systematised  and shared by means of the WOCAT global database. ",51
neutral,This is the Final Evaluation of the Project on Decentralized Supply and Water Use  Management in the Sana’a Basin to Sustain Water Resources and Rural Livelihoods  (GCP/YEM/036/NET also known as the Sana’a Basin Project: SBP).,73
neutral,"The project was  originally scheduled as a three-year project, with funding of USD 4.83 million and  received a one and half year no-cost extension (July 2014–December 2018).",74
neutral,The  project was funded by the Government of the Netherlands and implemented by  the Food and Agriculture Organization of the United Nations (FAO - Yemen) in  collaboration with the Ministry of Water and the Environment and the Ministry of  Agriculture and Irrigation.,75
neutral," It was designed to establish sustainable management of  local water resources and improve rural livelihoods through integrated water  resources management (IWRM), improving cropping systems, raising the  productivity per unit area and improving the income of farmers in the basin area. ",76
neutral,"The main purpose of the evaluation was to provide accountability to the donor and  partners by assessing FAO’s contribution to the objective of the project, i.e.  sustainable crop production systems based on reduced groundwater extraction in  the Sana’a basin to help increase food security.",77
neutral,"The evaluation proposed lessons  from implementation processes that could inform future decisions by the  Governments of Yemen and the Netherlands, and FAO regarding formulation of  projects or follow-up interventions. ",78
negative,The evaluation was limited by a lack of project monitoring data collected regularly  during the project. ,79
negative,"This was particularly noticeable concerning data and  information on the extent of adoption of climate-smart crop varieties, the extent  that farmers reverted back to rainfed farming (and thus, these interventions’  contribution to reduced groundwater abstraction), and the overall project impact  on livelihoods.",80
neutral,"Security in Yemen was an impediment and the mission was unable  to visit Yemen, and so, was dependent on the national consultant for collection of  primary data from beneficiaries.",81
neutral,"In addition to primary data collection conducted  by the national consultant, representatives from the three project implementing  partners and the Chief Technical Adviser discussed project results with the  evaluation team at the FAO Regional Office in Cairo",82
neutral,"Is this project relevant in meeting the needs of the beneficiaries and does it  contribute to implementation of the national development strategy, and fulfilment of the objectives of the FAO country programme? ",83
positive,"By promoting modern irrigation systems and improved, climate-smart cropping  practices SBP remained relevant to the many farmers seeking alternatives to their  current cropping systems based on accessing increasingly expensive groundwater. ",84
positive,SBP established water user associations (WUA) and progressed the Government’s  policy for creation of an IWRM governance structure as a means to decentralize  water regulation and support local development.,85
positive,The project was relevant to FAO’s  country programme and the objectives of the Government of the Netherlands in  Yemen aimed at sustainable groundwater usage and resilient livelihoods. ,86
positive,The  project also supported the FAO-managed Regional Initiative on Water Scarcity in  Near East and North Africa. ,87
neutral,What were the intended and unintended results achieved by the concluded  project?,88
neutral,To what extent did the project achieve its intended results? ,89
positive,SBP achieved most of its intended results and provided an effective model for  developing community-level regulation of groundwater abstraction and livelihood  development. ,90
positive,The project met its objectives by focusing on the cultivation of crops  that were more appropriate to the evolving environmental and climatic conditions  in the Sana’a basin and promoted the adoption of modern irrigation systems.,91
neutral,What factors contributed to achieving or not achieving intended outcomes?,92
positive,"The competence and determination of the project team to operate in a difficult,  often unstable and insecure working environment was the main factor that  contributed to SBP’s achievements.",93
positive,"Collaboration between implementing partners  was effective in producing complementarities, and integrated workplans across  ministries also assisted achievement of results.",94
positive,"During this period,  the team built the capacities of 38 water user associations (WUA) which laid a basis  for building the sub-basin governance structure based on integrated water  resource management (IWRM) principles. ",95
neutral,Are the project’s results sustainable beyond project conclusion? ,96
positive,"Sustainability was integrated throughout the project’s design and implementation,  based on building the capacity of farmers to new irrigation and farming practices,  and creation of active WUAs to be important players in the IWRM governance  structure for the project sub-basins.",97
positive,"SBP also supported WUAs to provide services  to their members such as input supply, marketing and processing farmer produce.",98
neutral,Sustainability of WUAs will depend on the services they can deliver to their  members and the willingness of farmers to pay for these services.,99
neutral,This will also be  a factor in the sustainability of results.,100
positive,"Through participative processes, the project supported beneficiaries  to establish active WUAs that were integral to the government’s policy to decentralise groundwater regulation and progress towards creation of the IWRM governance structure  in each sub-basin. ",101
positive,"SBP expended substantial time and resources in raising awareness  among communities in project sub-basins of impending problems on groundwater  management, and proposed activities to assist farmers ameliorate these issues.",102
positive,The IWRM  governance structure devolves authority to local organisations to regulate water usage and  formulate their longer term development plans. ,103
positive,"Adaptation of modern irrigation systems, protected agriculture  production, introduction of crop varieties more tolerant of low water regimes, and support  to farmers to switch to alternative cash crops helped SBP deliver its objective of improving  farmer productivity, incomes and resilience whilst reducing groundwater abstraction.",104
positive,Women were integrated into  governance structures and decision-making processes. ,105
positive,A competent project team that worked collaboratively and flexibly  in a difficult operational environment was the main factor contributing to effective project  outcomes.,106
positive,"The collaborative effort between two ministries helped deliver project results as  they needed to work adeptly to keep SBP on schedule as much as possible following the  outbreak of war, which caused disruptions to funding and workplans.",107
positive,The project team was  flexible in adapting to these disruptions and alterations to the project design (e.g. the  decision to drop the pilot waste water treatment unit and support farmers to access water  in shallow wells with solar pumps).,108
positive,The IWRM action plan provides a 10-year development strategy with  WUAs integral to implementation of the plan.,109
positive,These WUAs need to be sustainable by  providing valued services to their members in order to collect subscriptions and generate  income from other sources such as their project-supplied greenhouses. ,110
positive,"Sustainability was  integrated throughout the project’s design and implementation, based on building the  capacity of farmers to adopt new irrigation and farming practices.",111
neutral,"Reducing groundwater  abstraction can only be achieved through adoption of a longer term holistic strategy involving all stakeholders in the Sana’a basin in all sectors (social, environment, economic). ",112
neutral,"At the request of the Programme Committee at its 121st session in March 2017, the Office  of Evaluation (OED) of the Food and Agriculture Organization of the United Nations (FAO)  undertook an evaluation of the Strategy and Vision for FAO’s Work in Nutrition, six years  after its adoption in 2012. ",137
neutral,"The objectives of the evaluation were to: a) assess progress achieved in the implementation  of the Strategy, especially towards mainstreaming nutrition into FAO’s own work and  thinking; b) examine how the Strategy, the reviewed Strategic Framework and associated  delivery mechanisms have helped FAO to focus and improve its work in nutrition-sensitive  food and agricultural systems; c) provide strategic recommendations for FAO at all levels to  further mainstream nutrition in the work of the Organization and increase the contribution  of food and agricultural systems to nutrition.",138
neutral,The evaluated period was 2012-2018.,139
neutral,"The Nutrition Strategy was meant to directly contribute to the achievement of FAO’s  Strategic Objective (SO) 1 “eradicate hunger, food insecurity and malnutrition”, and its  evaluation was coordinated with the evaluation of Strategic Objective 1 conducted in 2017- 2018. The evaluation scope purposefully excludes the FAO work on Codex and food safety. ",140
neutral,The policy environment has changed considerably since the Strategy was developed.,141
neutral,"Driven  by the rapid increase of non-communicable diseases (NCDs) in countries associated with the  double/triple burden of malnutrition, there is an increasing recognition among Member  States that effective strategies to address malnutrition must go beyond nutrition-specific  interventions and include modifying food environments, particularly the most obesogenic  one.",142
neutral,"This message was re-enforced by the Second International Conference on Nutrition  (ICN2) organized jointly by FAO and the World Health Organizations (WHO) in November  2014, and in September 2015 the United Nations General Assembly endorsed the Sustainable  Development Goals (SDGs), at least eight of which are strongly linked to nutrition.",143
neutral,"Many new actors and initiatives have entered the nutrition ‘landscape’ during the last few  years, such as the Scaling Up Nutrition (SUN) Movement, the REACH partnership, Nutrition  for Growth (N4G), the Global Nutrition Report (GNR) and the Global Panel on Agriculture  and Food Systems for Nutrition.",144
neutral,Multiple private initiatives also emerged.,145
neutral,"The Committee on  World Food Security (CFS) and the United Nations System Standing Committee on Nutrition  (UNSCN) were reformed, with the UNSCN Secretariat moving back from Geneva to Rome in  2016. ",146
neutral,"In FAO, nutrition was also increasingly being addressed in FAO Council and FAO  Conferences, as well as FAO technical and high-level committees on, for example,  Agriculture, Fisheries, Forestry and Commodities Problems, as well as in the CFS. ",147
positive,The evaluation concludes that the Strategy and Vision for FAO’s Work in Nutrition  strengthened FAO’s commitment to this hitherto neglected part of its mandate.,148
neutral,So far these  challenges have predominantly been approached through direct nutrition interventions  mainly implemented in the health sector; yet improving diets through better agriculture and  food systems (so-called food-based approaches) potentially offers more sustainable  solutions to all forms of malnutrition.,149
neutral,"In practice, a number of factors have detracted from the Strategy’s relevance as a guiding  framework.",150
neutral,"The reviewed Strategic Framework, endorsed in 2013, brought a new approach  to programming and budgeting.",151
neutral,"Five Strategic Programmes were designed in 2014, and  Strategic Programme teams set-up in 2015.",152
neutral,"Nutrition was reflected in the reviewed Strategic  Framework initially as a part of Strategic Objective 1 on the eradication of hunger, food  insecurity and malnutrition, and since January 2016, as a cross-cutting theme mainstreamed  in the work of all Strategic Objectives and described in organizational Outcome 6.5.",153
positive,"The organization of the Second International Conference on Nutrition (November 2014)  jointly with WHO was a major achievement during the evaluated period, leading to  participating governments endorsing the Rome Declaration on Nutrition and its Framework  for Action.",154
positive,"This was followed by strong FAO support to the development of the 2030 Agenda  and informing the tracking of targets for Sustainable Development Goal 2, which enshrines  the objective of “ending all forms of malnutrition”. ",155
neutral,"The proclamation of the United Nations Decade of Action on Nutrition 2016-2025 in April 2016 built upon this, with the aim to  “achieve Global Nutrition and diet-related NCD targets by 2025 and contributing to the  realization of the SDGs by 2030”. ",156
positive,"These developments resulted in FAO broadening the scope of its attention to overweight  and obesity, in addition to undernutrition, which was the primary focus of the Nutrition  Strategy. ",157
negative,"This change in FAO’s focus, officially acted in the Medium Term Plan 2018-21, has  clearly strengthened the relevance of FAO’s nutrition work in high-income and upper  middle-income countries, but it also means that the Nutrition Strategy is now partly obsolete,  in stating that “undernutrition, including micronutrient deficiencies, should remain FAO’s  primary focus.” ",158
negative,"Critically, the Strategy failed to address operational issues in sufficient depth and lacked an  accountability framework with agreed upon indicators and reporting processes, which would  have periodically reminded the Organization of the Strategy, as was the case with the  “minimum standards” of the FAO Policy on Gender Equality that was developed during the  same period. ",159
negative,"This certainly reduced the visibility, viability and authority of the Nutrition  Strategy as a guiding document within FAO. ",160
negative,"As a result, the Strategy came to be “crowded  out”, superseded as a guiding tool by more recent documents as explained above. ",161
neutral,"The FAO organizational set-up for nutrition was restructured twice during the evaluation  period, in 2013 and 2016. ",162
neutral,"In 2013, the former Nutrition and Consumer Protection division  (AGN) under the Agriculture Department separated from the Codex and food safety group  and moved to the Economic and Social Development Department (ES).",163
neutral,"In 2016, the Nutrition  Division merged with the agribusiness specialists, food technologists and food value chains  professionals from the ex-AGS division and became the Nutrition and Food Systems Division  (current ESN).",164
positive,These changes signalled a greater recognition of the importance of nutrition  within the Organization.,165
negative,"However, the synergies that were hoped for between the ex-AGS  staff and the rest of the division have yet to fully materialize.",166
neutral,Nutrition-related work areas in the Programme of Work and Budget (PWB) show a modest  increased allocation of assessed contributions for nutrition over the evaluation period.,167
negative,"However, the core budget allocations for ESN as a percentage of FAO total regular budget  have dropped from 1.5 percent in 2012-2013 to 1.2 percent in 2018-2019. ",168
neutral,"A review of posts  allocations indicates that ESN has currently a comparable level of professional posts (30) as  AGN used to have in 2012-2013 (28), while the number of General Staff posts has been  halved from 18 to 9 over the same period.",169
neutral,"In fact ESN has had a number of vacancies, which it used to  hire human resources on a short-term basis through consultancy contracts.",170
neutral," A significant number of key historical staff have left  FAO/ESN over the evaluated period, either because they retired, joined another organization  or moved to a field position.",171
negative,This phenomenon has qualitatively affected ESN’s technical  capacity in that the departing staff had accumulated substantial institutional knowledge and  memory. ,172
neutral,"In addition to headquarters staff, there are 12 nutrition professionals posted in Regional and  Subregional Offices.",173
neutral,"Many of these professionals cover food safety issues as well as nutrition,  as they were established under AGN when the two functions were in the same technical unit",174
positive,"During the evaluation period, the capacity of Regional and Subregional Offices to backstop  Country Offices in nutrition has been built to a significant extent, and to good effect on the  field programme.",175
neutral,"In the current decentralized model, technical support to Country Offices is  the responsibility of Regional and Subregional Offices. ",176
neutral,"Headquarters units as well as Regional  and Country Offices also frequently hire nutrition consultants, e.g. as part of national or  regional projects funded out of voluntary contributions. ",177
neutral,FAO’s nutrition capacity is now spread across the globe and the expertise and experience of  this team needs to be harnessed in innovative ways. ,178
negative,The report recommends the  development of an organization-wide network for knowledge exchange on nutrition- sensitive approaches.,179
negative,"Current efforts in this direction should be expanded to help teams at headquarters and the different regions learn from each other, including horizontal learning  from region to region.",180
negative,"Despite the increase in the number of nutrition staff in Regional, Subregional and Country  Offices (often funded out of voluntary contributions), most decentralized offices remain  under-equipped, resulting in insufficient attendance by senior FAO staff and representatives in dedicated country-level coordination platforms, and weak resource mobilization capacity  and visibility in nutrition. ",181
negative,"Human resources and skill sets are insufficient both to meet this  growing demand and to cope with the challenges of a relatively new area of work requiring  new skills and practical experience, e.g. in inter-sectoral policy dialogue, planning and  programming, and relations with the private sector.",182
negative,The absence of a corporate resource mobilization instrument on nutrition is a major lacuna  that has slowed the Organization’s ability to address the double/triple burden in a broad and  sustained manner.,183
negative,A nutrition trust fund set-up by FAO after the ICN2 Conference was never  promoted to donors and never accrued to.,184
negative,"As a result, FAO lacks resources to fund what  essentially amounts to a whole new area of work, and ESN has had to absorb an increase in  the scope of its work all the while losing some key staff resources.",185
negative,"The “strong focus on  nutrition across the Organization” recommended by the 2011 nutrition evaluation called for  a vigorous resource mobilization effort, or it would have come at the expense of other areas  of work that Member States would probably consider just as important as nutrition.",186
negative,"Member Countries increasingly associate FAO with nutrition, as evidenced by their requests  and priorities expressed during the 2016 round of Regional Conferences, but FAO does not  always have the capacity to respond to their demands.",187
negative,"The modest build-up of country-level  capacities and support over the recent years has been recognized and appreciated by  Member Nations, stakeholders and partners, but they still expect much more from FAO.",188
negative,"he lack of corporate-wide approach to nutrition extends to monitoring and evaluation,  which is not systematically pursued in FAO nutrition-sensitive programmes. ",189
neutral,"The Strategy was originally developed in response to an earlier evaluation carried out in  2010-2011, which concluded that nutrition was a central but neglected part of the  Organization’s mandate.",190
neutral,"The 2011 evaluation put forward 14 recommendations, whose  degree of implementation the present evaluation attempts to assess.",191
positive,"Those 2011  recommendations about the drafting of the Nutrition Strategy, the mainstreaming of  nutrition into the FAO Strategic Framework and structural changes in the Nutrition Division  were fully implemented.",192
negative,Those related to mainstreaming of nutrition in the field programme  and policy work of the Organization have seen slow progress.,193
negative,"Insufficient progress was noted  on recommendations to raising FAO’s engagement and visibility in nutrition-related  networks, notably at country level.",194
negative,"The general picture is that FAO’s main achievements in  nutrition to date relate to advocacy and sensitization at the global level, more so than to the  actual delivery of tested approaches and capacities in the field. ",195
positive,"Clearly, the Second International Conference on Nutrition convened in Rome from 19 to 21  November 2014 by FAO and WHO was by all account a resounding success. ",196
positive,"The resulting  Rome Declaration on Nutrition and Framework for Action significantly raised food-based  approaches to nutrition in the eyes of the world’s political, strategic and programme leaders. ",197
positive,The Conference also established FAO’s standing in the global playing field for nutrition. ,198
positive,"Following ICN2, external stakeholders have increasingly recognized FAO’s contribution to  tracing the linkages between food systems and nutritional outcomes. ",199
positive,"FAO has further promoted the UN Decade of Action on Nutrition 2016-2025, as well as  supported the development of the 2030 Agenda and informing the tracking of SDG2 targets. ",200
neutral, FAO and WHO were mandated to lead with the  implementation of the Decade and to develop a work programme for the Nutrition Decade  in collaboration with other UN Agencies. ,201
positive,"FAO was also successful in hosting and relaunching  the UNSCN at FAO headquarters, providing mutual benefits and access to a wide range of  food system experts. ",202
positive,"Significant work on governance has taken place in Latin America on school meal  programmes, food systems and obesity prevention, in Asia through the promotion of crop  and diet diversity, and in Africa within the context of the Comprehensive Africa Agriculture  Development Programme (CAADP) and the Malabo Declaration, with some promising  effects.",203
positive,FAO has helped to strengthen countries’ capacity for mainstreaming nutrition in their  national agriculture and food security investment plans.,204
negative,"There has also been a wide array of  interesting capacity building projects implemented since the Strategy was promulgated, but  they seem weakly related to the Nutrition Strategy and cannot be directly attributed to it. ",205
negative,Modest progress has been achieved in evidence building at country level. ,206
negative,The Minimum  Dietary Diversity for Women (MDD-W) Indicator has been gaining recognition but has only  been piloted in few countries so far.,207
neutral,FAO’s technical guidance on nutrition-sensitive approaches was assessed in some detail.,208
positive,"  large increase in FAO’s nutrition-related publications is noted over the evaluated period, as  well as an effort to translate more publications into various languages and to develop more  integrated packages of publications targeted at different audiences.",209
negative,"Nonetheless, the food systems approach is a wider concept than nutrition-sensitive  agriculture, and still requires a clearer articulation.",210
positive,This sequence of achievements at global  level was followed by the International Symposium on Sustainable Food Systems for Healthy  Diets and Improved Nutrition in 2016 and subsequent five similar regional symposiums held  during 2017 to promote food-based approaches to addressing malnutrition and advocate  for a stronger integration of nutrition in agriculture.,211
positive,"The symposiums both at global and  regional levels brought together the resources of different levels of the Organization, with  excellent collaboration between ESN, Regional Offices and the Office for Corporate  Communication (OCC), to help operationalize the UN Decade of Action on Nutrition.",212
negative,"The extent to which nutrition was mainstreamed in the five Strategic Programmes, the  regional initiatives, country programmes and the work of other technical units was found to  vary a great deal.",213
negative,ESN’s collaboration with other FAO units often appears ad hoc and often  insufficient to promote systematic nutrition mainstreaming. ,214
negative,"The corporate approach to  mainstreaming was formalized only recently, through the publication in September 2018 of  the “Pillars of action and institutional arrangements” document.",215
negative,"Available guidance for  project formulation and to mainstream nutrition in the Country Programming Framework  (CPF) cycle is brief and well-conceived, but the country office backstopping systems put in  place by the other two Rome-based agencies (International Fund for Agricultural  Development, IFAD and World Food Programme, WFP) are far more ambitious and  comprehensive.",216
positive,"Strong partnerships were promoted and are coming out of the ICN2 International  Conference and under the UN Decade of Action on Nutrition, particularly with WHO. ",217
positive,"Links  have been tied with the academia for analytical work, or to help African universities develop  their own nutrition courses (Education for Effective Nutrition in Action, ENACT/Éducation  Nutritionnelle en Afrique Francophone, ENAF curriculum)",218
positive,Regional economic communities and groups as well as regional parliamentary forums were  found useful entry points for policy support and advocacy.,219
positive,"Many partnerships were built at  the regional level, with the Pan American Health Organization (PAHO), the Community of  Latin American and Caribbean States (CELAC) and the Latin American Parliament  (PARLATINO) in Latin America; with the Caribbean Community (CARICOM) in the Caribbean;  with the African Union, the New Partnership for Africa’s Development (NEPAD), the  Comprehensive Africa Agriculture Development Programme (CAADP) and the Economic  Community of West African States (ECOWAS) in Africa; and with the Association of South  East Asian Nations (ASEAN) and the South Asian Association for Regional Cooperation  (SAARC) in Asia.",220
negative,"FAO’s contributions to multi-stakeholder coordination platforms on nutrition, notably SUN  and REACH, remain insufficient at both the global and national levels to promote food-based  approaches to nutrition. ",221
negative,The institutional disconnect between Ministries of Agriculture and  Ministries of Health and between the corresponding UN agencies is still present in many  countries.,222
positive,"In conclusion, FAO’s involvement in nutrition-sensitive agriculture and later food systems for  nutrition has grown significantly and evolved qualitatively since the Strategy was  promulgated.",223
positive,"The field programme related to nutrition has more than doubled since the  promulgation of the Strategy, and has evolved towards more deliberate efforts to address  all forms of malnutrition.",224
positive,There also has been a surge in the development of knowledge  products and in the number of events attended.,225
positive,"From a relatively low base, the Organization  has built a more visible presence in this domain and has brought to bear significant analytical  strengths to document and advocate for food-based approaches to nutrition.",226
positive,Nutrition was  introduced as a cross-cutting theme in the FAO Strategic Framework and has started to be  mainstreamed in the work of all Strategic Programmes.,227
positive,"There is now considerable global attention being paid to the need to advance food-based  approaches in order to effectively tackle the global burden of malnutrition, inside and  outside FAO.",228
positive,"ICN2 was a seminal moment, which has started to shape FAO’s Nutrition  Agenda. ",229
positive,"The adoption of the UN Decade of Action on Nutrition by the United Nations  General Assembly in April 2016, with its work programme co-lead by FAO and WHO, provides  a strong platform for political engagement",230
positive,"Overall, FAO was found well positioned to define and advocate for improvements in all forms  of malnutrition through integrated and food-based approaches, food systems and  sustainable and healthy diets.",231
positive,"It has the mandate and the global, regional and national reach  required to lead the way in piloting food-based approaches to nutrition, including access to  CFS and UNSCN.",232
positive,"It can rely on significant strengths: a long experience in the relevant  technical sectors, the right tools and indicators, highly motivated teams, and relations in  general good standing with all relevant partner institutions including resource partners.",233
negative,"FAO has had difficulties in occupying that space and defining clear priorities for engagement  on food systems for nutrition, thus inviting puzzlement, frustration and also competition  from other stakeholders. ",234
negative,"Its positioning is not always clear to partners, which points to  insufficient communication on simple and clear entry points to be used by FAO in this space. ",235
negative,It must be stressed that food-based approaches to nutrition are completely different from  health-based approaches.,236
negative,"They call for different entry points and beneficiaries, different time  frames and different monitoring systems than direct nutrition interventions. ",237
neutral,"This report is an evaluation of the project “Establishing a sustainable National  Information and Early Warning System (NIEWS) on Food Security in Timor-Leste”, through  which the Food and Agriculture Organization of the United Nations (FAO) supported the  Ministry of Agriculture and Fisheries (MAF) to improve the institutional structures and  corresponding capacities necessary to sustain NIEWS.",246
neutral,The main purpose of the evaluation was  to: (i) provide accountability to the donor; and (ii) draw lessons from the implementation  processes that could inform future decisions by the European Union (EU) and FAO on the  formulation of a second phase or follow-up intervention.,247
neutral,"The final evaluation assessed the entire implementation period of the project, from  January 2012 to July 2015, and covered all key activities undertaken within the framework of the  project, as described in the project document.",248
neutral,"The geographical area covered by the evaluation  included a representative sample of municipalities from the east, central and west regions.",249
neutral,"The  specific objectives of the final evaluation were: (i) to assess the appropriateness of the project’s  strategy and approach; (ii) to assess the project’s achievements vis-à-vis its set objectives, and to  identify design and implementation issues, as well as factors that contributed to success and/or  failure; (iii) to assess the actual and potential impact of the project; and (iv) to identify lessons  from project implementation that can be applied to FAO’s future programmatic work",250
neutral,The  evaluation team (ET) also looked into the following cross-cutting aspects: gender and equity;  partnerships and alliances; and sustainability of the intervention.,251
neutral,"The independent evaluation was managed by an Evaluation Officer from FAO’s Office  of Evaluation (OED), and was conducted by an independent ET between July and August 2015. ",252
