,segment,truth_label,id
97,"However, quality assurance procedures are applied inconsistently.",negative,97
98,"While most focus countries are on the right course, it is still too early to observe the impact of access to land on the local people, and on reducing hunger and poverty.",negative,98
99,"This certainly reduced the visibility, viability and authority of the Nutrition Strategy as a guiding document within FAO.",negative,99
100,"However, the synergies that were hoped for between the ex-AGS staff and the rest of the division have yet to fully materialize.",negative,100
101,"A review of posts allocations indicates that ESN has currently a comparable level of professional posts (30) as AGN used to have in 2012-2013 (28), while the number of General Staff posts has been halved from 18 to 9 over the same period.",negative,101
102,"In fact ESN has had a number of vacancies, which it used to hire human resources on a short-term basis through consultancy contracts.",negative,102
103,"Human resources and skill sets are insufficient both to meet this growing demand and to cope with the challenges of a relatively new area of work requiring new skills and practical experience, e.g. in inter-sectoral policy dialogue, planning and programming, and relations with the private sector.",negative,103
104,A nutrition trust fund set-up by FAO after the ICN2 Conference was never promoted to donors and never accrued to.,negative,104
105,Those related to mainstreaming of nutrition in the field programme and policy work of the Organization have seen slow progress.,negative,105
106,The institutional disconnect between Ministries of Agriculture and Ministries of Health and between the corresponding UN agencies is still present in many countries.,negative,106
107,"Member Countries increasingly associate FAO with nutrition, as evidenced by their requests and priorities expressed during the 2016 round of Regional Conferences, but FAO does not always have the capacity to respond to their demands.",negative,107
108,"The lack of corporate-wide approach to nutrition extends to monitoring and evaluation, which is not systematically pursued in FAO nutrition-sensitive programmes.",negative,108
109,So far these challenges have predominantly been approached through direct nutrition interventions mainly implemented in the health sector; yet improving diets through better agriculture and food systems (so-called food-based approaches) potentially offers more sustainable solutions to all forms of malnutrition.,negative,109
110,"Current efforts in this direction should be expanded to help teams at headquarters and the different regions learn from each other, including horizontal learning from region to region.",negative,110
111,"However, there is a potential overlap between Output 1.1",negative,111
112,"The Organization should not limit itself to a declining emergency crisis response portfolio, which in many cases (e.g. in protracted crises) relies on ill-adapted, short-term humanitarian funding.",negative,112
113,"Capacities appear less robust in disaster risk reduction and management, insurance and cash-based approaches, and almost nil in conflict and political analysis.",negative,113
114,"There is potential for deeper integration and further synergies through exchanges of data sets, integration of geographic information systems, and the sharing of data collection tools such as tablets and satellite data link services.",negative,114
115,"At national level, the degree of engagement in Strategic Programme 5 still depends much on the profile, skill-set and preferences of individual FAO Representatives rather than on the relevance of Strategic Programme 5 to the country context and government priorities.",negative,115
116,"Efforts are being made to fill vacant positions and hire new staff in key technical units, but this may not be enough.",negative,116
117,"This is because as FAO expanded its portfolio in emergency and rehabilitation activities, the Organization used humanitarian resource channels that are relatively easier to access than development funding.",negative,117
118,Most of the personnel working on Strategic Programme 5 (national and international) are hired under consultancy contracts with extremely short contractual periods.,negative,118
119,"FAO lacks a formal programme level connecting the projects and the country programming frameworks, hence the recourse to country resilience strategies.",negative,119
120,"While this may be adequate for one-off responses to sudden onset disasters, it has proven problematic when implemented recurrently, as is often the case in protracted crises.",negative,120
121,Many technical units engage in resilience-related policies in a scattered manner.,negative,121
122,"In Africa and the Regional Office for the Near East and North Africa, the Regional Initiatives are only funded by FAO resources and therefore rather small, and used to fund catalytic country-level initiatives.",negative,122
123,"So far, many of these services, such as the community animal health workers or Farmer Field Schools, have not been aggressively promoted by FAO.",negative,123
124,FAO could strengthen its strategic position by deepening its involvement in resilience.,negative,124
125,"While silos were broken within Strategic Programme 5, there is potential for more collaboration between Strategic Programmes at headquarters.",negative,125
126,Seizing the opportunity presented by the current interest in resilience requires continued and strengthened operational and technical capacity together with increased investment in resilience programming.,negative,126
127,Resilience programming is not fundamentally new to FAO.,negative,127
128,Insufficient attention has been paid to knowledge management so far.,negative,128
129,"However, there has been no systematic staff training in resilience programming, and only modest efforts towards the development of knowledge sharing networks.",negative,129
130,A thorough stakeholder analysis might have prevented these problems.,negative,130
131,"The Logical Framework and M&E plan, however, were never adapted to the new activities of the BIG2050 Initiative.",negative,131
132,"Component 2 activities related to the Bocaina Mosaic came to a standstill around 2016, due to a misinterpretation of its attributions during project formulation.",negative,132
133,"Arguing that project outcomes were not altered by this significant change, no formal GEF approval was sought for it.",negative,133
134,All together the results of the component are considered moderately unsatisfactory.,negative,134
135,"The activities related to the strengthening of the Bocaina Mosaic, including the establishment of a permanent executive structure, were largely based on a misconception at the time the project was conceived.",negative,135
136,BOD (Biological Oxygen Demand) values have not been reduced.,negative,136
137,The main flaws to be considered are the lack of a thorough previous stakeholder analysis and the lack of consideration of gender issues.,negative,137
138,"However, at project conception it was wrongly considered that the mosaic was to have an executive character, where in reality it is merely consultative.",negative,138
139,"Changes in FAO regulations and procedures over the course of the project caused some implementation problems, due to the required adaptation.",negative,139
140,"Under Component 2, Bocaina Mosaic activities came to a standstill, due to lack of interest among its members.",negative,140
141,Conclusion 2.,negative,141
142,Conclusion 5.,negative,142
143,"At the time of its inception, FAO had limited or no field presence in the participating countries, relatively small national programmes and had only recently started to establish its first Central Asia sub-regional office in Ankara.",negative,143
144,The FTPP was designed without a robust results framework or Theory of Change (ToC).,negative,144
145,There were no procedures applied for ensuring the relevance of project activities to the beneficiaries.,negative,145
146,"FTPP is a highly fragmented programme consisting of 28 small, autonomous projects, which do not facilitate collaboration to any substantial degree.",negative,146
147,"With very few exceptions, the implementation has not included partners that can facilitate results in the field.",negative,147
148,"Despite the gender issues inherent in most projects, for example, no gender analysis was conducted.",negative,148
149,"The outputs could be significantly improved, particularly through a greater focus on the needs of beneficiaries.",negative,149
150,"The outputs could have had a greater impact by building on existing projects, or by being continued and expanded by partner organizations.",negative,150
151,"The draft policies and strategic plans were either not approved, or the approval was still in process.",negative,151
152,"However, the programme started without either a real design or results-based framework.",negative,152
153,"In particular, the bureaucracy involved contributed to serious delays in the implementation of the programme.",negative,153
154,A demand driven programme with adequate ownership requires significant involvement from stakeholders (at both the regional and national levels) in programme design and planning.,negative,154
155,"Most of the scattered and small projects were unable to achieve impact in isolation, as the challenges they addressed were often interdependent.",negative,155
156,"This was especially the case for field-oriented programmes, such as cattle production, watershed management and home-based nurseries, where the activities were developed around community organizations.",negative,156
157,The operational and financial framework was not very successful in establishing an effective field programme.,negative,157
158,"In another example, although the concepts of environmental sustainability were built into the design of several projects, they were not integrated into the project activities.",negative,158
159,Long delays were experienced in programme implementation and the delivery of project outputs.,negative,159
160,The limitations in project funding and duration affected the scale and scope of the project outputs.,negative,160
161,"The ownership by Ministries in recipient countries differs, but is generally limited.",negative,161
162,"The selection and approval process for projects, as conducted by FAO and the Government, was found to be ineffective.",negative,162
163,The programme aimed to be demand driven.,negative,163
164,The small projects (i.e. those with short durations and limited budgets) sometimes lacked focus on what they could realistically achieve,negative,164
165,"In a number of cases, a lack of institutional development limited the potential of technical interventions.",negative,165
166,"Consequently, strengthening decentralized office capacity to effectively engage with UN Country Teams will become increasingly important.",negative,166
167,This will require greater attention to the scale and impact of investment operations than merely stepping up resource mobilization for programme delivery.,negative,167
168,"At the same time, they need to be packaged into more concrete programme interventions related to major challenges and incorporate results chains and narratives aligned to the priorities of resource partners and SDG targets.",negative,168
169,"In this regard, the 40 SDG targets, 20 interconnected actions and 12 focus areas for resource mobilization provide new and alternative opportunities to design flagship programmes that are cross-SO from the outset.",negative,169
170,"The integration of cross-cutting themes has not been systematic, with the exception of climate change.",negative,170
171,The main shortcoming affecting the relevance of the projects evaluated was the decision to fund a large number of projects through two different funding windows at the same time.,negative,171
172,"Furthermore, the vast majority of immediate action projects did not monitor the adaptability and productivity performance of PGRFA.",negative,172
173,"As a result, the strategic action plans in most cases could not be fully implemented.",negative,173
174,"However, the call for proposals focused primarily on food security with insufficient emphasis on nutrition; also gender differentiated approach in project execution has not been sufficiently prioritized.",negative,174
175,"However, the formulation of a large number of strategic action plans without clear funding sources identified before project closure is not considered good value for money.",negative,175
176,"However, some of the outcomes set forth under Components 1 and 2 were not achieved, for example, the conservation of endemic biodiversity (including agrobiodiversity), or the implementation of information systems regarding the state of biodiversity in the Chimborazo Reserve.",negative,176
177,"In addition, the GADPCH has limited capacity to directly execute large projects and manage a wide range of participants as was evidenced by its decision to assign the Project under the Environment Coordination Committee instead of the Planning Coordination Committee.",negative,177
178,"The evaluation identified some weaknesses, in particular the establishment of a comprehensive overview as regards land use planning and sustainable development in the province.",negative,178
179,"However, the Project did not apply the monitoring of the participation of women or young people aged 15 to 25 in the training events and in the different initiatives implemented, or specific data to determine whether the Project had contributed towards improving their rights such as, for example, their level of access to training and financial resources.",negative,179
180,"However, taking into consideration the significant budget cuts in the country since 2016, it is probable that the level of replicability will be low in the next few years due to its high cost.",negative,180
181,"In particular, the conservation and sustainable use of natural resources was mainly focused on the harvesting of water resources in the upper paramo basins and sub-basins and the optimization of their use, the application of a pilot model of compensation mechanisms for the Payment for Environmental Services (PSA).",negative,181
182,Other important factors identified were the absence of risk management in planning and the lack of monitoring of results backed up by a communication strategy and an appropriate institutional arrangement geared towards reducing the inter-institutional interaction difficulties experienced (particularly under Component 2).,negative,182
183,"However, the execution of some outputs completed in the last months of the Project could experience sustainability difficulties as a result of not having a formal subsequent transfer of technical monitoring, and taking into consideration that the Project did not establish some activities to support the conservation and the proper management of the paramo, such as, for example, a system to monitor the outcomes and tangible changes at an environmental, social and economic level.",negative,183
184,"However, it has only managed to partially fulfil the high-level objectives, in other words the development and environment objectives of the project.",negative,184
185,"However, it was necessary to extend the duration of the project by about two years and 20 percent of the GEF funds were executed in the last six months.",negative,185
186,"In particular, the high staff turnover in the OPIM, the GADPCH and the cantonal and parish DAGs, the lack of clarification of the responsibilities of the OPIM and of FAO-Ecuador (particularly at the beginning of the Project, after the change in OPIM staff in 2013 and after the Mid-term Evaluation at the end of 2015) and the lack of monitoring of the outcomes and risk management by the OPIM technical team to mitigate the problems associated with the slow execution of the Project in time.",negative,186
187,In terms of the replicability of the infrastructure projects it was found that the GADPCH and the cantonal and parish DAGs have not been able to assess their cost-efficiency to date17 in order to prioritize the works to be replicated (in accordance with the LUDP priorities).,negative,187
188,"Although the project is seen as an important first step, it did not possess adequate resources, namely the time and budget, to achieve the objectives as planned in the project document.",negative,188
189,"Only 2 percent of the targeted area was reached and despite implementation of most project activities, no direct outcome was fully achieved.",negative,189
190,"The selection of the executing partner, SODEFOR, did not take into account its limited capacity to manage fauna and communities living outside of forest areas.",negative,190
191,The limited implementation capacity resulted in delayed implementation of certain activities.,negative,191
192,"This suggests that more institutional and individual capacity building, awareness raising, technical and financial support is needed to ensure environmental and socio-economic impact.",negative,192
193,"To this end, FAO should also ensure a focus on strengthening capacities to develop evidence bases for informing advocacy messages and policies that include cost values of policy choices or of policy inaction, for instance in relation to environmental sustainability or deforestation.",negative,193
194,FAO therefore needs to more loudly share lessons from pilot projects and from its experience and expertise.,negative,194
195,"A longer term strategically oriented approach to policy engagement by FAO, in collaboration with other members of the UN country team and backed by the FAO Regional Office for Asia and the Pacific, could provide a way to move away from an ad hoc approach to policy engagement, towards a longer term approach, limiting risks concerned through partnerships with UN country team and other development partners.",negative,195
196,"Given this approach, there was equally a lack of clarity and mode of project financing both of which were associated with delays in activity onset.",negative,196
197,It also limited the planned adaptive learning from resilience to climatic change.,negative,197
198,A delayed decision to procure services of a consultant to support the instituting of the Livestock Identification and Traceability Systems (LITS) was a missed opportunity for strengthening market and disease control regulation.,negative,198
199,"Furthermore, tail-end famers already facing water scarcity were deprived of this important intervention.",negative,199
200,On the institutional capacity development - Strengthening and transforming community- based organizations (CBOs) and farm services centres (FSCs) were not achieved to the extent that was planned under the project.,negative,200
201,"Activities such as establishment of vegetable production units, fruit plants nurseries, fruit orchards and distribution of seeds silos were expensive, not very strategic and not reaching to a broad range of beneficiaries.",negative,201
202,"However, the evaluation noted that other mangrove consultation frameworks already existed (for instance the Cameroon Mangrove Network) and the project could have focused on strengthening these networks.",negative,202
203,The project has not yet put in place a strategy to use the results of permanent plot monitoring after its closure.,negative,203
204,"However, the final acts of approval for the classification of these protected areas (either Douala-Edea National Park or Ramsar sites) do not solely depend on the project.",negative,204
205,"Furthermore, the evaluation of protected area management effectiveness, which is a requirement of this project and of GEF projects in general, has not been carried out.",negative,205
206,"Indeed, the results and effects obtained appear to be lower than expected.",negative,206
207,"However, the studies carried out by the project did not always highlight gender specificities.",negative,207
208,"The project could have improved its performance by adding a lobbying and political advocacy component, in order to mobilize these high-level political actors in its favour and improve results and outputs.",negative,208
209,"The report repeatedly highlighted the weak involvement of the private sector as a major issue, which is nevertheless a key actor as a user and potential polluter of mangrove ecosystems.",negative,209
210,"According to the viewpoints of the various institutional actors and the beneficiaries themselves, this aspect remained the soft underbelly of the project's achievements in terms of the financial and human resources made available.",negative,210
211,"However, the objective of strengthening resilience to climatic shocks did not clearly translate in design and logframe (e.g. in geographic targeting criteria, in outputs/ activities: no early warning system at village level, no contingency plan).",negative,211
212,"However, the design was not well balanced to ensure the adoption of a multisectoral approach in all JRP villages and throughout the duration of the project: the WASH component covered a limited number of villages in a single locality.",negative,212
213,"The need to follow-up was to be expected and an exit strategy should have been anticipated (including on orientation, activities and budget) at design stage.",negative,213
214,The absence of capacity building plans for implementing partners and local authorities and of planned transfer of responsibility challenged the sustainability of the JRP (see Recommendations 2 and 3).,negative,214
215,"Moreover, some Output 4 and 5 activities were monitored as a package through aggregated indicators that could not provide quantifiable evidence of what exactly was implemented.",negative,215
216,Feedback to the community and project documentation adjustments to the CAPs were not clearly included in the design.,negative,216
217,The revision of the CAP by technical experts reduced potential ownership and buy-in of the process by the communities.,negative,217
218,"The initial breakdown of the budget by component was not updated to include the priorities defined during community consultations, or the increase in the number of villages (and the reduced number of targeted people) even though these changes had an impact on the needs to be addressed by each of the four components.",negative,218
219,Agency-specific procedures for partnership or procurement created some difficulties and reduced the potential achievements of an integrated and joint approach.,negative,219
220,"While this could have been an opportunity to strengthen the capacities of ministries to work together and develop multisectoral strategies, JRP did not make the most of it.",negative,220
221,This would have enabled proper feedback from communities on activities carried out during the year and ensured the update of action plans.,negative,221
222,"However, behaviour change is a long-term process and results need to be consolidated.",negative,222
223,A reduction of the period dedicated to the implementation of Output 2 to Output 4 activities has had an impact on overall achievements.,negative,223
224,"A better assessment of the context, to include a realistic number of targeted villages from the outset and the inclusion of a pre-established mechanisms to answer climatic shocks in the design, would have eased the management of the JRP management and respect of the timeframe.",negative,224
225,Waiting for a CAP to be validated to start their implementation was superfluous and only delayed the beginning of the activities.,negative,225
226,"This is due to a lack of investment, with only 5 percent of the programme budget for WASH, and impact of floods, but also due to difficult coordination with the AquaForEast project.",negative,226
227,"Moreover, while coordination within the JRP was already an issue, it can be considered overambitious to ask the programme to coordinate with an external project.",negative,227
228,"WASH components raised an issue of sustainability, considering there was no effective water management committee, no fees were systematically collected for most water sources and locality services were weak.",negative,228
229,"However, most of these effects would have to be assessed at a later stage, also considering that annual surveys did not show clear overall improvement of livelihoods at this stage.",negative,229
230,Field teams could not ensure monitoring and follow-up of activities to consolidate the achievements of the programme and this represents a risk for the quality of interventions as well as for their sustainability.,negative,230
231,"Better preparedness and anticipation would have helped to better respond to needs, and in particular to provide early assistance for livestock owners affected by drought.",negative,231
232,"The choice of villages should have been documented in detail to clarify the various criteria used to select villages, the decision-making process and the roles of different actors involved.",negative,232
233,"The full implications of coordinated planning and implementation between agencies were not fully considered, and this ultimately hampered achievement of the full potential of joint programming.",negative,233
234,Transparency and clear feedback mechanisms with communities were also lacking when they would have been crucial to a project hinged on consultation with beneficiaries and their participation.,negative,234
235,Three years was a short period to achieve sustainable results in building resilience in the context of Kassala.,negative,235
236,"Cultural barriers are still a constraint to access to good health and nutrition, and low capacity of the Ministry of Health challenged the possibility to carry on activities without important technical and financial support from partners.",negative,236
237,The risk of droughts and floods failed to be at the centre of a project focused on resilience to climate shocks.,negative,237
238,The two Organizations also need to work on improving the management of vaccines.,negative,238
239,"To ensure impact, the evaluation findings evidenced that it is necessary to review and update the priority diseases, the challenges faced and the progress being made.",negative,239
240,AO and OIE have not been able to secure or raise funds for joint programmes but both Organizations have managed to raise funds for their respective TADs programmes and projects.,negative,240
241,"Activities at country level are supported indirectly through GF-TADs regional initiatives, yet implementation at country level is beyond the capacity of the GF-TADs.",negative,241
242,"Effectiveness at global level suffers from the lack of agreed managerial processes in the Management Committee (MC), limited resources, lack of staff, a lack of implementation of strategic planning and limited review of progress and activities being undertaken.",negative,242
243,"This is reflected in the commitment of its resources (human, financial and organizational) that is ill-defined and too limited to assure achievement of the agreed objectives.",negative,243
244,The budget and consequential capacity of GF-TADs at global level is limited and dependent on availability.,negative,244
245,Information sharing within the regions was variable.,negative,245
246,"Governance provided by the GSC is generally passive, weak and disconnected from the operational reality.",negative,246
247,"Even though farmers who benefitted from the FAO projects were ready to sell their excess produce to earn cash income, this was only possible in the locations where there was a market near the farm.",negative,247
248,Multi-phased programme is needed in the areas requiring a long-term holistic capacity development while Training of Trainers helped utilize small training budgets effectively.,negative,248
