,segment,sentiment,id
116,CCAP directly responds to priorities of UNDAF,positive,116
117,CCAP contributes to “sustainable jobs creation and economic growth”  priority of Afghanistan National Peace and Development Framework  2017-2021 and is aligned with National Comprehensive Agriculture  Development Priority Program 2016-2020. ,positive,117
118,"All the outputs of the project related to livelihoods, productive  infrastructure and mainstreaming of CCA have been found to be useful to  the communities and the provincial and national government.",positive,118
119,Several  interventions met livelihood needs of women. ,positive,119
120,"CCAP has been successful in improving resilience of livelihoods and,  consequently, reducing vulnerability of both women and men to climate  change. ",positive,120
121,Income of men and women in the community has increased as targeted. ,positive,121
122,"Productive infrastructure improved water availability, reduced damage  and loss due to floods and droughts, and increased income. ",positive,122
123,"Women have  been equal beneficiaries, especially because of improved water  availability.",positive,123
124,Soil degradation has reduced.,positive,124
125,Project is close to achieving all the original output targets before its  closing date.,positive,125
126,"Overall target  achievement is good, as several targets were exceeded.",positive,126
127,Outputs have been achieved within cost.,positive,127
128,"he quality of several  outputs, cost is justified. ",positive,128
129,"Exchange rate gain was mostly offset by higher  inflation, keeping the purchasing power of the project almost constant. ",positive,129
130,"Project investment are of good quality, which are likely to sustain benefits for  several years. ",positive,130
131,Project investments do not pose any significant environmental threat. ,positive,131
132,Vulnerability is reduced by improving  incomes and reducing economic losses. ,positive,132
133,"Some plantations, rangeland rehabilitation, and reduction in soil  degradation due to productive infrastructure is likely to bring some  “Minimal” improvements to environmental status. ",positive,133
134,Strengthening of  adaptive capacity is likely to show progress towards stress/status change  over time.,positive,134
135,Vulnerability reduction may indirectly reduce stress on the  environment.,positive,135
136,The project has largely succeeded in meeting its objective.,positive,136
137,"Importance of  climate change has been catalyzed, livelihoods of target rural households  have improved, exposure to climate induced disasters has reduced, women  have been empowered. ",positive,137
138,Climate change integration has seen modest  improvements. ,positive,138
139,Success of CCAP will play a catalytic role in attracting more  funds for climate change mitigation and adaptation in Afghanistan. ,positive,139
140,CCAP project design was generally good.,positive,140
141,Components of the project reflected priorities of GEF  and the Government of Afghanistan.,positive,141
142,CCAP has satisfactorily achieved its objective and outcomes for component 2 livelihoods and  component 3 productive infrastructure.,positive,142
143,"Quality of project investments is generally good, which are likely to sustain benefits for several  years.",positive,143
144,"Several interventions such as food processing centers, solar dryers, raisin drying rooms, honey  bee-keeping were designed to benefit women, which resulted in increase in their incomes. ",positive,144
145,Women were socially organized to support each other.,positive,145
146,Communities and districts giving greater  role to women were rewarded. ,positive,146
147,The was  demonstrated in terms of varied and extensive achievements covering all levels and types of  stakeholders in all countries.,positive,147
148,"The combining of respectively donor, government and private  resource allocation – the latter mainly from beneficiaries and contributed in kind, proved  feasible and is viewed as being the main course for the rapid and substantial achievement at  output level.",positive,148
149,The reported output achievements justify a full testing of the SMU principles to allow for  possible achievements at impact level thus also proving the likely sustainability.,positive,149
150,"The evaluation finds that the project was relevant to the strategic objectives of the governments of the  three countries, to the approaches adopted at regional level by both SADC and the African Union, to the  ambitions of the ILO in encouraging countries to work towards the establishment of social protection  floors, to the orientation of other development partners, and – in the main – to Irish Aid policy, although it  is worth mentioning that the scope of social protection encompassed by the project is considerably broader  than the definition included in Irish Aid’s forthcoming Social Protection Strategy.",positive,150
151,"The validity of the design of the project was endorsed by the mid-term evaluation, and is not revisited in  detail in this final report. ",positive,151
152,"But this lesson  appears to have been learnt (after being raised in the mid-term evaluation), through better consultation  during the design of the next phase of the project",positive,152
153,"Gender and HIV/AIDS issues were properly addressed in  the project design (and in subsequent interventions); and there was good consultation with tripartite  constituents (governments, employers and worker representatives) both before and during the project.",positive,153
154,"In terms of effectiveness, the project has been remarkably successful in meeting its expected outputs and  outcomes. ",positive,154
155,It fully achieved all of the outputs under its first two outcomes. ,positive,155
156,"Of the regional outcomes, by far the most significant output was  the suite of regional training modules, and these have duly been completed, albeit late in the life of the  project.",positive,156
157,Overall the project team are to be congratulated on delivering a highly effective intervention. ,positive,157
158,"Given the relatively limited resources at their disposal (both human and financial), they have punched well  above their weight in a crowded field.",positive,158
159,"The direct provision of technical assistance through in-house staff is  one of the unique characteristics of the ILO team, despite being occasionally challenged by donors as it  implies a larger share of the budget going to staff costs, rather than activities. ",positive,159
160,"All the stakeholders  interviewed during the evaluation, without exception, were extremely positive about the reactivity of the  project staff and the quality of their technical inputs.",positive,160
161,"Particularly appreciated were the responsiveness, the  technical competence, the broad range of expertise, and the fact that the staff worked directly with  counterpart staff, thus raising their capacity at the same time as delivering high-quality inputs.",positive,161
162,The efficiency of resource use was high.,positive,162
163,"Despite comparatively limited resources, the project has identified  and nimbly exploited a number of strategic opportunities which have allowed it to have an impact greater  than its scale would normally warrant.",positive,163
164,"By involving itself at policy level, it has been able to influence senior  officials in key government positions, at the same time as encouraging commitment from development  partners and mobilising support from other stakeholders such as civil society, the media, academia and  parliamentarians.",positive,164
165,"The project was also very judicious in choosing to coordinate high-visibility events, such  as the social protection weeks in Mozambique and Zambia. ",positive,165
166,"To have genuinely moved the debate towards a  greater acceptance of social protection floors in all of the three countries where it operated, and in the  space of only three years, is a significant achievement for a project with just a handful of staff and a  financial envelope of below USD1.5 million.",positive,166
167,Not all teams would have been able to emulate the impacts  that this one achieved with comparatively scant resources.,positive,167
168,"That they did is a reflection of their ability to  identify potentially influential openings, to encourage effective partnerships and to leverage  complementary resources to augment their own.",positive,168
169,This combination translates into high cost-effectiveness for the project. ,positive,169
170,"The fact that, in spite of  this, it has attained the vast majority of its outcomes is clear evidence of this. ",positive,170
171,"In addition to its own  strategically judicious activities, it has been highly effective as a catalyst to build partnerships, mobilise  resources and leverage collaboration with others. ",positive,171
172,"Example of this include Malawi, where the project  contributed to mobilizing additional funding of USD335,000 through ILO’s regular budget; and Zambia and  Mozambique, where the project supported the development of nationally-funded UN joint programs,  which now represent the main source of funding for ILO’s work in country.",positive,172
173,"Yet it was able to mobilise an impressive range of partners, and to elicit contributions worth a  further USD150,000 from different ILO sources and other collaborators. ",positive,173
174,"It has also been flexible and  responsive in its approach, putting its resources into activities that it felt would pay the greatest dividends.",positive,174
175,"The project has successfully influenced the particular stage at which each country finds itself in  the broad direction of a social protection floor: the review process of the Malawi National Social Support  Programme (MNSSP) (including a series of thirteen stakeholder workshops); the similar evaluation of the  National Basic Social Protection Strategy (ENSSB) and design of the new ENSSB 2019-2024 in Mozambique;  and the comprehensive mapping, modelling and analysis that underpinned the development of the  integrated framework for non-contributory social protection programmes in Zambia. ",positive,175
176,"The project, even while the modules have been under preparation, has already begun the process of ensuring  this. ",positive,176
177,The design process has been very inclusive of potential partners who have the ability to take the  modules forward independently of project support.,positive,177
178,"And, as well as being innovative in their  transformational approach, the training modules are also innovative in that the project wants to  institutionalize them with other partners, to ensure their sustainability beyond the life even of the next  phase of the project.",positive,178
179,"In terms of impact, the project can claim an impressive record in opening up the debates around social  protection to a more integrated, more rights-based and more universal, approach, that is fully consistent  with ILO’s values and vision.",positive,179
180,"The gradual establishment of social protection floors in the three countries is  likely to bear fruit over the longer term in reducing poverty, building resilience and improving the quality of  employment.",positive,180
181,The project resulted in ILO moving from having practically no social protection  presence in the country to having a key leadership role in the process and the output from the  wide-ranging review of the MNSSP. ,positive,181
182,"Despite the challenging environment, this process has demonstrably initiated debate about expanding social protection coverage, adopting more  categorical targeting, better integrating the different components, stronger coordination and more  coherent linkages between social support and other sectors (e.g. humanitarian response,  agriculture and livelihoods).",positive,182
183,"In Mozambique, largely as a result of the project, ILO is seen as a partner of choice, but working  with many other influential stakeholders. ",positive,183
184,"Similarly, in Zambia, the development of the integrated framework, and the associated modelling  of costs and benefits of different approaches has resulted in much more open discussions about  the way forward: the targeting of the social cash transfer is already more categorical than it was,  and there is a clear recognition that support to children represents an important gap in current  coverage that needs to be filled.",positive,184
185,"The project has helped to cement a rapprochement between the  social cash transfer and ILO’s engagement with the Ministry of Labour, thus shaping a more  integrated social protection agenda with simpler, yet broader, targeting.",positive,185
186,"These are all important national outcomes, resulting at least partly from the activities of the project.",positive,186
187,"They  reflect the fact that ILO broadens the space for social protection debate, bringing in different players apart  from ministries of social welfare, and adding a dimension on contributory social protection, in the form of  maternity benefits, pension reform, health protection, financing and systemic issues.",positive,187
188,"The project has significantly supported evidence-based national debate through the many studies it has undertaken on the  extension of social protection coverage, particularly to the informal economy.",positive,188
189,"It is premature to assess the project’s impacts at regional level empirically, but the indications are positive. ",positive,189
190,It concentrated its regional focus on the development of the suite of social protection training modules. ,positive,190
191,"But if the next phase of the project can achieve this, then the regional  component too will be adjudged a success.",positive,191
192,"In terms of project design, it is recommended that Irish Aid national staff are fully consulted during  the design phase of future projects (which, encouragingly, seems already to be the case with the  next phase of this project), as are ILO’s tripartite constituents.",positive,192
193,"Where project implementation is concerned, the main lesson, and a powerful example of best  practice for both ILO and Irish Aid, is that small, agile regional projects operating at policy level can  have genuine influence on attitudes within government, and can accelerate the move towards  social protection floors.",positive,193
194,"In conclusion, Irish Aid, ILO, and the project staff all deserve credit for having respectively funded,  conceived and implemented an ambitious project. ",positive,194
195,"It has genuinely advanced the cause of social protection  floors in the three countries it covered, an achievement which was by no means assured at the outset.",positive,195
196,"It  has not done this by itself of course, but through judicious partnership with other key stakeholders,  through strategic prioritisation of the processes and activities it supported, and through the suppleness of  its response.",positive,196
197,"As a result, Irish Aid is playing a much more prominent policy role than it was; ILO is no longer  seen as a radically universalist outsider, but as a central player in balanced debates; and the three partner  countries have gained the confidence to assume a critical role in deciding if what is proposed to them fits  with their now well-articulated strategies.",positive,197
198,The LEED project responded to the need to rebuild livelihoods in the  Northern Province in the aftermath of the 26-year civil war which ended in May 2009.,positive,198
199,"The key  innovation introduced by LEED was to employ a market-driven approach to livelihood development, linking northern primary producers with southern Sri Lankan export and domestic markets.",positive,199
200,"Recognizing the need to extend and scale-up the effort, EGLR focuses on strengthening livelihoods in the  fruit and vegetables and fishery sectors, targeting vulnerable communities and extending the  geographical coverage to new districts. ",positive,200
201,"Strategically, EGLR continues to address the north-south  development gap and the perception of inequality between the two main communities that was at the  heart of the protracted conflict. ",positive,201
202,"With poverty still widespread in the Northern Province, EGLR continued to be relevant to community  needs for sustainable livelihood development.",positive,202
203,The expansion to Jaffna and Mannar districts reached  more communities who suffered damage to their livelihoods in the aftermath of the conflict and who  have not previously been supported through a market-driven approach. ,positive,203
204,"The cooperatives and their members found the support to production inputs, training to improve  production and cooperative organization and links to southern markets highly relevant to their needs. ",positive,204
205,"From the perspective of international and local exporters and retailers the partnerships with northern  producer associations have provided a source of reliable, high quality agricultural and seafood products at stable prices. ",positive,205
206,"At the national level, EGLR supports the government’s vision of economic growth  through exports, tackling unequal development across provinces and inclusive employment. ",positive,206
207,EGLR has largely achieved its goal and outcome targets of improved livelihoods of small-holder farmers  and increasing employment. ,positive,207
208,"It reached over 2,000 beneficiaries and raised cumulative income to over  US$2 million for each sector over two years. ",positive,208
209,It has also enabled Sri Lankan and international export  companies to source more fruit and vegetable and fisheries products reliably and at stable prices. ,positive,209
210,"Among the cooperatives previously supported by LEED, in Kilinochchi, Mullaitivu  and Vavuniya North, production incomes and commercial viability have reached high levels of maturity. ",positive,210
211,"EGLR’s provision of business development services and soft skills training and mentoring helped many  cooperatives to become better governed, commercial enterprises, providing financial and social welfare  services to members. ",positive,211
212,"In the fruit and vegetables sector the targeted cooperatives have established lucrative business  partnerships with export and domestic buyers for crops including Lady Red Papaya, banana, passion fruit  and Moringa leaves.",positive,212
213,"Comprehensive evidence of changes in individual incomes as a result of the  interventions is not available, but there are good indications from project reports and evaluation  interviews that household incomes have improved, reaching 40,000 – 50,000 LKR (US$ 240-300) on  average per month.",positive,213
214,EGLR also enabled more crop diversification as a successful resilience strategy. ,positive,214
215,"In fisheries, EGLR built on the LEED strategy, successfully supporting most of the targeted fishing cooperatives to become purchasing enterprises, thereby increasing fishers’ incomes by cutting out the  middle-man traders. ",positive,215
216,"The project also  helped more fishing households and communities to re-build their fishing assets, both individually and  collectively, and to redeem their debts to traders.",positive,216
217,"EGLR capitalized on opportunities in aquaculture to  help farmers set up collective sea cucumber farms as a lucrative source of livelihood for those not  involved in sea fishing, and to venture into mud crab farming. ",positive,217
218,"The ILO’s partnership with Taprobane Sea  Foods has helped to expand local employment for women in crab processing plants, creating around 600  jobs in total, meeting decent work standards.",positive,218
219,"As targeted beneficiaries, women made up more than half of those provided with  production inputs. ",positive,219
220,"As a result of the  project’s advocacy, inroads are gradually being made in increasing women’s participation in traditionally  male dominated cooperatives. ",positive,220
