segment,sentiment,embeddings,cluster,x,y,id,props
M&E was challenging due to the large number of poorly formulated indicators and associated targets.,negative,[-1.7314278 -0.8208632  3.27908  ],0,12.94325351715088,-7.331550598144531,10,"[0.009979749, 0.0062699183, 0.9837503]"
"However, ownership of the Project was mixed, particularly during the design stage.",negative,[-1.0847665 -1.5446537  3.2587852],0,8.280865669250487,-8.02357292175293,11,"[0.017914843, 0.006341277, 0.9757439]"
The Project has developed a large and diverse mix of partners.,negative,[ 1.8243126  -0.55326086 -1.9564583 ],2,-1.9339385032653809,3.917973756790161,12,"[0.43361145, 0.54763556, 0.018752972]"
"The project did not undertake a gender analysis at the inception phase of the project, or develop a gender strategy or gender action plan in accordance with the latest FAO guidance on gender equality.",negative,[-2.1152167   1.5129261   0.82082427],0,11.65523624420166,3.6784038543701167,13,"[0.016294282, 0.019504454, 0.9642013]"
"While there is good potential for the sustainability of some project results (e.g. FAO is sourcing funding to promote the port state measures template and catch documentation scheme implementation), ongoing financial and institutional support is unclear for many activitie",negative,[-1.3423554 -1.4102685  3.339204 ],0,9.4246187210083,-9.0783052444458,14,"[0.012599125, 0.0072106086, 0.9801902]"
This limited the potential for cross- programme learning and coordination of approaches.,negative,[-1.7038286  -0.97472334  3.4414053 ],0,12.763394355773926,-8.666343688964844,15,"[0.011088193, 0.005942156, 0.98296964]"
"Furthermore, the training of facilitators and longer term engagement was inadequate; the ongoing provision of free inputs to demonstration farmers was questionable; the programme gave limited emphasis to environmentally sustainable agricultural techniques; and targeted support for the poor and landless was lacking.",negative,[-1.8410066 -0.858236   3.268694 ],0,13.19395637512207,-7.335074424743652,16,"[0.0138192745, 0.005733163, 0.98044753]"
"However, there was continued provision of free inputs under project 011 beyond the time period within which this was justified.",negative,[-1.4357198 -0.4709526  2.0208416],0,10.992961883544922,-3.4506397247314453,17,"[0.07844208, 0.0108166095, 0.9107413]"
Partnerships with government were stronger at local level than at national level and this may have compromised the capacity of the project to influence the wider policy and enabling environment.,negative,[-1.6205956 -1.0965123  3.209517 ],0,11.663617134094238,-8.104374885559082,18,"[0.016737064, 0.0057250285, 0.97753793]"
"Furthermore, there was rather limited attention to empowerment of the poor and landless under this project.",negative,[-1.590202   -0.63520604  2.5551648 ],0,11.365891456604006,-4.384026527404785,19,"[0.011384472, 0.0064345766, 0.98218095]"
"There was an intentional shift of focus (agreed between the Department of Fisheries and project management) to fisheries co-management in an area where opportunities for mangrove co-management were very limited; but this shift was not reflected in a revised logframe, and rendered the original logframe largely irrelevant as a project management and monitoring and evaluation tool.",negative,[-1.2734735 -0.8237676  2.6618779],0,10.447346687316896,-4.956007480621338,20,"[0.015529488, 0.012967127, 0.9715034]"
"The component projects 010, 011 and 012 were independently designed, with separate logical frameworks and reporting procedures.",negative,[-1.6791035   1.9401878  -0.14033978],0,11.481502532958984,7.1802263259887695,21,"[0.011998187, 0.009323648, 0.97867817]"
"Project 010 was implemented in a geographic area wherein the original rationale and logic could not apply, and the focus was shifted from mangrove co-management to fisheries co- management.",negative,[-2.4280143  2.0181587  0.6210305],0,12.405282974243164,4.18488073348999,22,"[0.0075665414, 0.023671757, 0.9687617]"
The theory of change of 012 was weak and this was reflected in some ad hoc interventions and a lack of strategy in implementation.,negative,[-1.991969   -0.69295555  3.3222322 ],0,14.263815879821776,-6.659298896789551,23,"[0.008977804, 0.0059628244, 0.9850594]"
"All three logframes were weak in terms of defining the ambitions and approach of the programme to building stronger sustainable community-based organizations, and in terms of targeting the poorest members of society.",negative,[-2.5288582  0.751166   2.2208521],0,13.311583518981935,0.2145695984363556,24,"[0.010835309, 0.00544398, 0.9837208]"
"There were some limitations in terms of targeting the most vulnerable members of society, and in particular the landless under project 011.",negative,[-2.070162   0.4996426  1.9391618],0,12.526114463806152,-0.2440719753503799,25,"[0.011168706, 0.013704271, 0.975127]"
"However, there are significant internal and external threats to their longer term survival, and more could have been done to address them.",negative,[-2.8186226  1.2295914  1.950136 ],0,13.159887313842773,1.364746332168579,26,"[0.0061752517, 0.014426153, 0.9793986]"
"The programme could nonetheless have integrated other DRR measures more effectively into its activities, such as integrating shelters with collection centre construction.",negative,[-1.3601425 -1.0411713  2.9687638],0,10.438552856445312,-6.505743980407715,27,"[0.02234835, 0.009338376, 0.9683132]"
"However, the extent to which this occurs is constrained by the specificity of earmarking by some resource partners.",negative,[-2.3423166   0.42623213  2.463148  ],0,13.685847282409668,-0.4330371022224426,28,"[0.0072499802, 0.07148897, 0.9212611]"
The quality of monitoring and reporting is mixed at the project level and weak at the programme level.,negative,[-1.6081185 -1.1853659  3.4375882],0,11.583403587341307,-9.315791130065918,29,"[0.011412279, 0.0056111766, 0.98297656]"
The limited understanding and generally low profile of the FMM among stakeholders is reducing interest among potential new resource partners.,negative,[-1.4427235 -1.3710858  3.5433896],0,10.06910514831543,-10.180461883544922,30,"[0.006807573, 0.0069986153, 0.98619384]"
Decision-making processes are ill-defined and poorly understood.,negative,[-2.0670865 -0.6430565  3.286642 ],0,14.43460750579834,-6.402834415435791,31,"[0.0066010756, 0.010411164, 0.98298776]"
Sub-regional and regional office involvement has been negligible.,negative,[-1.2240424 -1.5398849  3.1484756],0,8.570896148681639,-8.14292049407959,32,"[0.009077207, 0.007075001, 0.9838478]"
"However, it is seen as especially problematic within FMM.",negative,[-1.0962766 -1.5211154  3.0954523],0,8.385254859924316,-7.556075096130371,33,"[0.008714426, 0.007549407, 0.9837362]"
"Although these seem fairly well established at the higher, decision- making levels, the underlying logic for the selection of FMM proposals within SOs is still unclear.",negative,[-2.5432203   0.34204534  2.701755  ],0,14.173417091369627,-0.5739677548408508,34,"[0.0046701464, 0.027571287, 0.9677586]"
FMM is not yet operating effectively as a pooled programmatic funding mechanism.,negative,[-1.9492381 -0.6153198  3.0891676],0,13.137981414794922,-5.412147045135498,35,"[0.008449338, 0.007300935, 0.9842498]"
The absence of an FMM logframe and clear operational procedures below the Strategic Programme Leader (SPL) level is confusing for stakeholders and undermines the cost- effectiveness of the selection process of FMM-funded initiatives.,negative,[-1.2201589 -1.6325082  3.428825 ],0,8.328536033630371,-9.15646743774414,36,"[0.008706348, 0.006457212, 0.9848364]"
MM documentation and reporting procedures are intentionally minimal but still weak at programme level.,negative,[-1.1649966 -1.5388203  3.3127549],0,8.424821853637695,-8.413510322570799,37,"[0.009481103, 0.0058325995, 0.9846864]"
FMM procedures have not been formally documented in the same way as other funding instruments.,negative,[-1.3789244  -0.40996692  2.2753472 ],0,10.991440773010254,-3.679226875305176,38,"[0.0063449703, 0.009293266, 0.98436177]"
"Much of the work is of a normative nature, with country level activities used to validate HQ-based normative studies.",negative,[-1.5055217  1.0682036  0.6178308],0,10.647577285766602,4.218673229217528,39,"[0.036747154, 0.055790376, 0.9074624]"
"There are also concerns at the operational level, expressed by most Strategic Programme Leaders (SPLs) and budget holders, about the stability and predictability of FMM funding.",negative,[-1.2974509 -1.5707445  3.486367 ],0,8.672616004943848,-9.53904914855957,40,"[0.0062301354, 0.006342544, 0.98742735]"
FMM has not been able to deliver a satisfactorily stable or predictable level of funding over a full MTP or even a biennium.,negative,[-0.8242794 -1.7491956  3.06348  ],0,7.643799781799316,-7.096078395843506,41,"[0.027679592, 0.0066316337, 0.96568877]"
"The predictability issue creates a number of operational difficulties related to small and fragmented projects: stop-go project implementation; hurried decision-making in funding allocation, with limited consultation beyond FAO headquarters; and short project durations which impede efficiency and sustainability.",negative,[-1.5862267 -1.2760447  3.5353997],0,11.03250503540039,-10.147347450256348,42,"[0.0042214068, 0.011302205, 0.9844764]"
Sustainability may be enhanced if target FFPOs contribute counterpart funding to the budget of their projects.,negative,[-0.6019244 -0.6641287  1.3106794],3,4.969912052154541,-1.434113621711731,43,"[0.47718892, 0.061394837, 0.46141624]"
"While those trainings are essential, they are not sufficient to develop value chains which requires additional support to FFPOs to improve their terms of engagement with national, regional and international markets.",negative,[-2.2047143  -0.06674623  2.8696003 ],0,14.26825714111328,-2.9508559703826904,44,"[0.004548213, 0.010366697, 0.98508507]"
"The evaluation found that the focus of capacity development activities should be refined from strengthening and supporting the Ministry of Environment and Forests to a focus on strengthening and supporting the development, implementation and monitoring of the CIP.",negative,[-2.1335676  1.1900859  1.3018682],0,11.890128135681152,1.2991725206375122,45,"[0.0074127316, 0.024088522, 0.9684987]"
"The CIP contains inputs from 40 ministries and 45 government agencies, of which key staff require technical and functional capacity development in regard to the CIP.",negative,[-1.2804058  1.9562318 -1.0616369],1,9.39588451385498,11.675064086914062,46,"[0.019788755, 0.8634998, 0.116711475]"
"Therefore, while valuable training efforts have been undertaken, a more targeted approach to capacity development, focused on the capacities (both technical and functional) needed to implement and monitor the CIP would have been a more realistic approach.",negative,[-2.072939  -0.1766042  2.8925884],0,13.623159408569336,-3.5404388904571533,47,"[0.008934687, 0.025464132, 0.96560115]"
"These mixed logical framework results should be viewed as shortcomings in the project design, project assumptions and the lack of updating of the logical framework rather than as shortcomings in the actions of the project stakeholders implementing the project.",negative,[-1.3077275 -1.2690263  3.23563  ],0,9.793233871459961,-7.7941837310791025,48,"[0.011571523, 0.011365281, 0.9770632]"
"Agencies, such as the Bangladesh Climate Change Trust Fund, require greater attention because of their dual role as a contributor to and a source of internal funds for the implementation of the CIP.",negative,[-1.4460324  1.7730014 -0.4348309],0,10.912849426269533,7.693652629852295,49,"[0.013472995, 0.81539464, 0.1711324]"
"Areas in which the CIP could make improvements include: provide a forum for the prioritization of programmes; provide an opportunity for open and transparent discussions about the investment priorities; programme development quality, programme implementation and monitoring; coordination and synchronization of programmes; community and private sector consultation; and provide a forum where proposed governments programmes, within the various ministries and their agencies that contribute to the environment, forestry and climate change sector, could be made explicit.",negative,[-1.0241574 -0.7395492  1.8799334],0,10.128321647644043,-3.387253522872925,50,
"The project design used time models that were not reflective of the actual time needed to complete Government of Bangladesh activities, such as the time it would take for the PSIMU to be staffed by Government of Bangladesh civil servants and how long an environment, forestry and climate change CIP would actually take to be developed.",negative,[-2.639183   1.1700311  1.6875448],0,12.766504287719727,1.4059667587280271,51,"[0.009339238, 0.014412555, 0.9762482]"
The initial project design was overly ambitious in its scope and objectives.,negative,[-2.5303674  1.6025174  1.1976373],0,12.438968658447266,2.709216833114624,52,"[0.006369343, 0.03990325, 0.9537274]"
"Patterns of discrimination in relation to the project, the Ministry of Environment and Forests and its Agencies and the CIP and its projects have not been identified, analysed and responses developed for.",negative,[-1.4392385  -0.68926203  2.609344  ],0,11.054937362670898,-4.458186149597168,53,"[0.007101691, 0.009041902, 0.98385644]"
"However, these knowledge products need to be better contextualized and disseminated for optimal use at decentralized level.",negative,[-1.9159371  1.5307896  0.4638954],0,11.29509162902832,4.609976291656494,54,"[0.011100857, 0.18642466, 0.8024745]"
Field staff need to be involved in the preparation of these knowledge products for proper contextualization and eventual utilization.,negative,[-2.6038034  1.7640246  0.9844848],0,12.289398193359375,3.260438680648804,55,"[0.003944416, 0.068490244, 0.92756534]"
"That said, FAO also needs to strengthen the capacity of Technical Officers to mainstream gender in their work, particularly through customized advice and support from Gender Officers and GFPs in the decentralized offices.",negative,[-1.8147571  -0.40784374  2.720861  ],0,12.287001609802244,-4.0623698234558105,56,"[0.006497676, 0.036935344, 0.95656693]"
"Since governance was never clearly defined in the programme, it led to the programme being spread too thinly.",negative,[-2.2708604   2.2922194   0.18649037],0,12.779692649841307,6.084717273712157,57,"[0.008695257, 0.0059869583, 0.98531777]"
"However, it is still too early and not yet clear if the work on the IPC Chronic Food Insecurity Classification scale and the nutrition scale will be widely adopted.",negative,[-1.6672665 -0.8962526  3.2691555],0,12.377875328063965,-7.807819366455077,58,"[0.006087, 0.015638888, 0.97827417]"
"However, the work on resilience was not integrated with other programming initiatives such as social protection and sustainable agriculture.",negative,[-1.3200973 -0.6718336  2.3947554],0,10.676884651184082,-4.0758819580078125,59,"[0.019172413, 0.0053306613, 0.9754969]"
WFP and IFAD did not participate in the design.,negative,[-1.4705085  -0.89405704  2.9512177 ],0,11.265216827392578,-6.154501914978027,60,"[0.015720863, 0.018353023, 0.9659262]"
Better balance is needed.,negative,[-0.6567708   0.23125832  0.2903186 ],0,8.530248641967772,5.613234043121338,61,"[0.005643784, 0.07266359, 0.92169255]"
"Because FAO was in the early stages of its strategic re-organization, the corporate environment was not yet conducive to fully support such a multi-stakeholder and multi-sector effort (indeed the IGGHRP helped facilitate some of the needed corporate changes).",negative,[-1.1158656 -1.0838801  2.582617 ],0,9.666682243347168,-5.423319816589356,62,"[0.009496015, 0.0068065566, 0.9836975]"
"IGGHRP also lacked a strategic focus on a target governance space (e.g. smallholder farmers and producer organisations) or a theory of change made it difficult to maintain horizontal linkages across the outcomes (e.g., social protection linked to resilience programming).",negative,[-1.509103  -1.399576   3.6731052],0,10.112213134765623,-10.366314888000488,63,"[0.007095278, 0.005020763, 0.987884]"
"E processes and used FAO internal mechanisms for M&E, limited M&E capacity could account for weak monitoring of governance outcome changes.",negative,[-2.5841546   0.52985805  2.5984004 ],0,13.859469413757324,-0.1221024021506309,64,"[0.0051095714, 0.007422375, 0.987468]"
"However, the intended results are ambitious within the given time frame.",negative,[-1.5352334  -0.63028604  2.5108433 ],0,11.21627426147461,-4.283750534057616,65,"[0.010219558, 0.013993526, 0.9757869]"
"Nonetheless, there is scope to improve the coordination structure with the involvement of subregional training institutions and commissions.",negative,[-1.0887799 -1.230817   2.7445135],0,9.196982383728027,-6.0195488929748535,66,"[0.018779607, 0.015236444, 0.96598387]"
"As a result, the development of technical guidelines may be delayed beyond 2017, especially in Africa.",negative,[-2.594792   0.8958753  2.2962632],0,13.570865631103516,0.4991564452648163,67,"[0.004221958, 0.026008846, 0.9697692]"
"There is also little vertical coordination and communication within participating partner organizations, with the exception of the FAO Regional Office for Asia and the Pacific (RAP).",negative,[-1.4959861 -1.3959272  3.6198955],0,10.100646018981934,-10.385595321655273,68,"[0.005443273, 0.0061501395, 0.9884066]"
"Field testing the research results will better enable adaptation to specific country contexts and further increase country level capacities, which can also benefit non-funded regions.",negative,[-0.6589613  1.5905292 -1.2185943],1,7.524331092834473,10.661253929138184,69,"[0.0116243195, 0.11030659, 0.87806916]"
"Almost three-quarters of the overall funding gap pertains to the LAC, Near East and CIS regions, while implementation in the Africa region will not be affected due to the recent funding boost from the European Commission.",negative,[-1.1983736 -1.2143049  2.9122791],0,9.762862205505373,-6.659324645996094,70,"[0.009830551, 0.010911377, 0.9792581]"
"However, participation at the decision-making level varies from country to country.",negative,[-1.8316141 -0.9084842  3.3477802],0,13.318679809570312,-7.901413917541504,71,"[0.007522653, 0.013988457, 0.9784889]"
"However, diffusion of newly acquired capacities beyond the primary beneficiary was not obvious during the MTE, which could jeopardize the programme regardless of the positive signs of sustainability.",negative,[-1.9443048  -0.15402962  2.6636758 ],0,12.898321151733398,-3.175770998001098,72,"[0.007629222, 0.008030496, 0.9843403]"
The funding gap (USD 3.73 million) at the Global Office level primarily affects the research component.,negative,[-1.6524078 -1.2579088  3.594645 ],0,11.936541557312012,-10.11703395843506,73,"[0.0044861776, 0.009039666, 0.9864741]"
"In Asia-Pacific, the funding gap is about USD 6.16 million (45 percent of the budget allocated for the region)",negative,[-1.9686685   0.04275158  2.4244435 ],0,12.980119705200195,-1.5750935077667236,74,"[0.005342833, 0.013196364, 0.98146075]"
"With the exception of FAO, none of the participating partners have contributed financially to the programme, which raises the question as to whether there is enough interest to continue Global Strategy activities by implementing partners after the current resource partners have ceased to provide funding.",negative,[-1.5790147 -1.105362   3.2091236],0,11.534263610839846,-8.148910522460938,75,"[0.004962553, 0.015513127, 0.9795243]"
This represents a missed opportunity and could result in the continued neglect of water access issues in the application of GWG principles.,negative,[-1.9140006 -0.5265557  3.000399 ],0,13.035879135131836,-5.239884376525879,76,"[0.004177183, 0.010976853, 0.984846]"
"Much remains to be done, however, with regard to alliance building beyond the technical water community, as noted above.",negative,[-0.78266245 -1.7376934   2.8894985 ],0,7.61738395690918,-6.642441749572754,77,"[0.011031056, 0.0087626055, 0.9802064]"
"Although outreach and communications were considered essential to reaching target audiences, and to achieving the desired impact on national decision makers, the draft communication strategy was not effectively implemented.",negative,[-1.9404076  -0.91414386  3.461967  ],0,13.665727615356445,-8.134788513183594,78,"[0.019080136, 0.0065858364, 0.97433406]"
"The focus shifted, however, to concentrating on the more technical aspects of GWG.",negative,[-1.4778048 -1.0377333  2.9488392],0,10.636679649353027,-6.8043742179870605,79,"[0.014013782, 0.008770032, 0.9772161]"
"Still, a more inclusive process in identifying topics in a wider agricultural-rural nexus is needed for better policy linkage and resource mobilization.",negative,[-0.82669127  0.864106   -0.04161564],0,8.669506072998049,5.749440670013428,80,"[0.0046710083, 0.043590363, 0.9517386]"
"There is enhanced coordination between Ministry of Agriculture and National Statistics Office (NSO) but a lack of awareness about Global Strategy and its contribution remains, which could affect resource mobilization.",negative,[-1.7374544 -0.9021976  3.1834202],0,12.686930656433105,-7.1800193786621085,81,"[0.005673732, 0.01526669, 0.9790596]"
"In spite of advocacy, communication and dissemination efforts, Global Strategy was largely unknown beyond its primary stakeholders.",negative,[-1.3725692 -1.2406328  3.0482035],0,10.193323135375977,-7.158150672912598,82,"[0.012568154, 0.0065568634, 0.980875]"
National coordination mechanisms were set- up in several countries but they may have to be revitalized for future use.,negative,[-2.1242452  1.1027932  1.3512843],0,11.918014526367188,1.2036956548690796,83,"[0.008680965, 0.02096633, 0.9703527]"
"Apart from engagement with global initiatives using the IPC, such as the Global Report on Food Crises, the GSP has provided limited support for utilization of the IPC.",negative,[-1.1630589 -1.5613557  3.233658 ],0,8.431139945983888,-8.19145393371582,84,"[0.013402892, 0.006473448, 0.9801237]"
Factors negatively affecting its usefulness include: the geographic unit of analysis being too large and therefore insufficient granularity of analysis; limited availability of data and poor quality data; political sensitivity of the results; and the challenge of translating the results into recommendations.,negative,[-2.886955   1.1513871  2.0817468],0,13.282381057739258,1.1832786798477173,85,"[0.0050569414, 0.009055886, 0.9858871]"
Much more follow-up support at country level is needed.,negative,[-1.9772338  -0.21194373  2.4786103 ],0,12.84589958190918,-2.990638256072998,86,"[0.0049583963, 0.031604886, 0.9634367]"
Data availability is a constraint particularly in countries experiencing occasional pockets of acute food insecurity.,negative,[-2.0114145 -0.4802081  3.080378 ],0,13.962179183959961,-4.705718040466309,87,"[0.0035499411, 0.019375553, 0.97707456]"
But it was infrequently cited as a source of information for decision-making and is not currently informing policy.,negative,[-2.2365255   0.18974441  2.6636157 ],0,14.217446327209473,-2.119250535964966,88,"[0.007925127, 0.0072059836, 0.9848689]"
"Views differ amongst GSP stakeholders about whether the IPC should be playing an early warning role or not, although this is clearly stated in Manual V3.0.",negative,[-2.4039884   0.48955527  2.5236173 ],0,13.794353485107422,-0.3630916774272918,89,"[0.008183219, 0.042725112, 0.9490916]"
"The GSU has maintained its independence at global level, but in some countries the IPC is overly identified with FAO with implications for its perceived neutrality.",negative,[-0.78404313 -0.43688312  1.3040904 ],3,5.069155693054199,-1.338568925857544,90,"[0.0215094, 0.008668329, 0.9698223]"
"Furthermore, some knowledge products and services should be better designed and more user-oriented in order to enhance their utility.",negative,[-1.233209    0.22453159  1.1918256 ],0,10.9688138961792,-0.3665458559989929,91,"[0.007054387, 0.013745907, 0.9791997]"
Greater internal cooperation and coordination would enhance their efficiency.,negative,[-1.2993141  1.7361608 -0.6920603],1,9.421714782714844,10.230355262756348,92,"[0.060598984, 0.75991523, 0.17948583]"
"AO data, analyses and learning resources are often disseminated through unrelated platforms and channels.",negative,[-1.6281832 -0.7303224  2.8422985],0,11.722094535827635,-5.277061939239502,93,"[0.006525285, 0.008451872, 0.98502284]"
"Furthermore, opportunities to capitalize on successful experiences are often missed.",negative,[-1.9397844  1.4534857  0.6754307],0,11.222845077514648,4.095121383666991,94,"[0.0047863405, 0.01030599, 0.9849076]"
"Some however, could be even better tailored to the specific needs of their target audiences.",negative,[ 0.3989228 -1.663779   1.0259738],4,3.3705639839172363,-1.5211505889892578,95,"[0.09111651, 0.03156364, 0.8773199]"
"FAO knowledge products and services are produced in a decentralized manner, and generally operated on a shoestring budget.",negative,[-1.2575415 -1.5983671  3.4202602],0,8.436101913452147,-9.30684757232666,96,"[0.0072159236, 0.008625559, 0.9841585]"
"However, quality assurance procedures are applied inconsistently.",negative,[-2.2607362  0.298542   2.5424798],0,14.109335899353027,-1.841076135635376,97,"[0.010337761, 0.006986645, 0.98267555]"
"While most focus countries are on the right course, it is still too early to observe the impact of access to land on the local people, and on reducing hunger and poverty.",negative,[-1.5498288  2.1080234 -0.3846253],0,11.81562042236328,7.967381954193115,98,"[0.005268932, 0.06511051, 0.92962056]"
"This certainly reduced the visibility, viability and authority of the Nutrition Strategy as a guiding document within FAO.",negative,[-1.231662  -1.5419692  3.4049354],0,8.474745750427246,-9.250470161437988,99,"[0.017719626, 0.0054289033, 0.9768514]"
"However, the synergies that were hoped for between the ex-AGS staff and the rest of the division have yet to fully materialize.",negative,[-0.99648345 -1.4818227   2.8662457 ],0,8.27289867401123,-6.6951842308044425,100,"[0.01296248, 0.0076534413, 0.9793841]"
"A review of posts allocations indicates that ESN has currently a comparable level of professional posts (30) as AGN used to have in 2012-2013 (28), while the number of General Staff posts has been halved from 18 to 9 over the same period.",negative,[-0.2686129   0.20683156  0.02412618],0,8.315252304077147,5.615306854248047,101,"[0.06348008, 0.031938083, 0.90458184]"
"In fact ESN has had a number of vacancies, which it used to hire human resources on a short-term basis through consultancy contracts.",negative,[-0.66693044 -0.1794794   0.99144256],3,5.034617424011231,-0.9359195232391356,102,"[0.0077544954, 0.0077853804, 0.98446006]"
"Human resources and skill sets are insufficient both to meet this growing demand and to cope with the challenges of a relatively new area of work requiring new skills and practical experience, e.g. in inter-sectoral policy dialogue, planning and programming, and relations with the private sector.",negative,[-1.868939  -1.1038435  3.4672027],0,12.923184394836426,-9.124124526977539,103,"[0.0066210846, 0.008608811, 0.9847702]"
A nutrition trust fund set-up by FAO after the ICN2 Conference was never promoted to donors and never accrued to.,negative,[-1.7119737  2.304298  -0.9286193],1,12.7261962890625,11.780860900878904,104,"[0.008455211, 0.0076765087, 0.98386836]"
Those related to mainstreaming of nutrition in the field programme and policy work of the Organization have seen slow progress.,negative,[-0.8599184 -1.8385493  3.253849 ],0,7.649195671081543,-7.550560474395753,105,"[0.017546605, 0.006000126, 0.9764532]"
The institutional disconnect between Ministries of Agriculture and Ministries of Health and between the corresponding UN agencies is still present in many countries.,negative,[-1.1701019 -1.5562565  3.2626195],0,8.428683280944824,-8.257136344909668,106,"[0.0073565063, 0.007023769, 0.9856198]"
"Member Countries increasingly associate FAO with nutrition, as evidenced by their requests and priorities expressed during the 2016 round of Regional Conferences, but FAO does not always have the capacity to respond to their demands.",negative,[-0.9180492 -1.6961985  3.0618792],0,7.7422242164611825,-7.2128844261169425,107,"[0.012980666, 0.007136688, 0.97988266]"
"The lack of corporate-wide approach to nutrition extends to monitoring and evaluation, which is not systematically pursued in FAO nutrition-sensitive programmes.",negative,[-1.5298465 -1.1847327  3.3896298],0,11.14550495147705,-9.04621410369873,108,"[0.0052712993, 0.009405854, 0.98532283]"
So far these challenges have predominantly been approached through direct nutrition interventions mainly implemented in the health sector; yet improving diets through better agriculture and food systems (so-called food-based approaches) potentially offers more sustainable solutions to all forms of malnutrition.,negative,[-0.41879454  1.371096   -1.3181725 ],1,6.5343756675720215,9.741578102111816,109,"[0.025764724, 0.14345372, 0.8307815]"
"Current efforts in this direction should be expanded to help teams at headquarters and the different regions learn from each other, including horizontal learning from region to region.",negative,[-2.1754184  2.0340552  0.378052 ],0,12.37105655670166,5.042260646820068,110,"[0.016551666, 0.09718237, 0.88626593]"
"However, there is a potential overlap between Output 1.1",negative,[-1.7805117 -0.7936291  3.230338 ],0,12.983956336975098,-7.219675540924072,111,"[0.006328324, 0.04516276, 0.9485089]"
"The Organization should not limit itself to a declining emergency crisis response portfolio, which in many cases (e.g. in protracted crises) relies on ill-adapted, short-term humanitarian funding.",negative,[-1.3173759   1.7334168  -0.60465235],1,9.432855606079102,10.192214012145996,112,"[0.01742933, 0.94556665, 0.037003946]"
"Capacities appear less robust in disaster risk reduction and management, insurance and cash-based approaches, and almost nil in conflict and political analysis.",negative,[-1.8281492  -0.96082133  3.5524457 ],0,13.208937644958494,-8.781620025634767,113,"[0.004113354, 0.032480065, 0.9634065]"
"There is potential for deeper integration and further synergies through exchanges of data sets, integration of geographic information systems, and the sharing of data collection tools such as tablets and satellite data link services.",negative,[-0.01408822  1.1932064  -2.0593398 ],1,3.399893522262573,9.519441604614258,114,"[0.06549193, 0.89556557, 0.03894248]"
"At national level, the degree of engagement in Strategic Programme 5 still depends much on the profile, skill-set and preferences of individual FAO Representatives rather than on the relevance of Strategic Programme 5 to the country context and government priorities.",negative,[-2.071097   0.0941029  2.425548 ],0,13.099628448486328,-1.7218381166458132,115,"[0.010563514, 0.12782487, 0.86161166]"
"Efforts are being made to fill vacant positions and hire new staff in key technical units, but this may not be enough.",negative,[-2.2075582 -0.1259025  2.8968952],0,14.209291458129885,-3.1794724464416504,116,"[0.010596376, 0.012221165, 0.97718245]"
"This is because as FAO expanded its portfolio in emergency and rehabilitation activities, the Organization used humanitarian resource channels that are relatively easier to access than development funding.",negative,[-1.5913924   1.2912345   0.38575062],0,10.322554588317873,5.311558723449707,117,"[0.012447183, 0.01865954, 0.96889323]"
