,segment,sentiment,isSentence
44,"All three logframes were weak in terms of defining the ambitions and approach of the programme to building stronger sustainable community-based organizations, and in terms of targeting the poorest members of society.",negative,True
45,"There were some limitations in terms of targeting the most vulnerable members of society, and in particular the landless under project 011.",negative,True
46,"However, there are significant internal and external threats to their longer term survival, and more could have been done to address them.",negative,True
49,"The programme could nonetheless have integrated other DRR measures more effectively into its activities, such as integrating shelters with collection centre construction.",negative,True
55,"However, the extent to which this occurs is constrained by the specificity of earmarking by some resource partners.",negative,True
57,The quality of monitoring and reporting is mixed at the project level and weak at the programme level.,negative,True
59,The limited understanding and generally low profile of the FMM among stakeholders is reducing interest among potential new resource partners.,negative,True
62,Decision-making processes are ill-defined and poorly understood.,negative,True
63,Sub-regional and regional office involvement has been negligible.,negative,True
64,"However, it is seen as especially problematic within FMM.",negative,True
67,"Although these seem fairly well established at the higher, decision- making levels, the underlying logic for the selection of FMM proposals within SOs is still unclear.",negative,True
68,FMM is not yet operating effectively as a pooled programmatic funding mechanism.,negative,True
69,The absence of an FMM logframe and clear operational procedures below the Strategic Programme Leader (SPL) level is confusing for stakeholders and undermines the cost- effectiveness of the selection process of FMM-funded initiatives.,negative,True
71,MM documentation and reporting procedures are intentionally minimal but still weak at programme level.,negative,True
73,FMM procedures have not been formally documented in the same way as other funding instruments.,negative,True
76,"Much of the work is of a normative nature, with country level activities used to validate HQ-based normative studies.",negative,True
79,"There are also concerns at the operational level, expressed by most Strategic Programme Leaders (SPLs) and budget holders, about the stability and predictability of FMM funding.",negative,True
80,FMM has not been able to deliver a satisfactorily stable or predictable level of funding over a full MTP or even a biennium.,negative,True
81,"The predictability issue creates a number of operational difficulties related to small and fragmented projects: stop-go project implementation; hurried decision-making in funding allocation, with limited consultation beyond FAO headquarters; and short project durations which impede efficiency and sustainability.",negative,True
84,Sustainability may be enhanced if target FFPOs contribute counterpart funding to the budget of their projects.,negative,True
85,"While those trainings are essential, they are not sufficient to develop value chains which requires additional support to FFPOs to improve their terms of engagement with national, regional and international markets.",negative,True
86,"The evaluation found that the focus of capacity development activities should be refined from strengthening and supporting the Ministry of Environment and Forests to a focus on strengthening and supporting the development, implementation and monitoring of the CIP.",negative,True
89,"The CIP contains inputs from 40 ministries and 45 government agencies, of which key staff require technical and functional capacity development in regard to the CIP.",negative,True
92,"Therefore, while valuable training efforts have been undertaken, a more targeted approach to capacity development, focused on the capacities (both technical and functional) needed to implement and monitor the CIP would have been a more realistic approach.",negative,True
96,"These mixed logical framework results should be viewed as shortcomings in the project design, project assumptions and the lack of updating of the logical framework rather than as shortcomings in the actions of the project stakeholders implementing the project.",negative,True
97,"Agencies, such as the Bangladesh Climate Change Trust Fund, require greater attention because of their dual role as a contributor to and a source of internal funds for the implementation of the CIP.",negative,True
101,"Areas in which the CIP could make improvements include: provide a forum for the prioritization of programmes; provide an opportunity for open and transparent discussions about the investment priorities; programme development quality, programme implementation and monitoring; coordination and synchronization of programmes; community and private sector consultation; and provide a forum where proposed governments programmes, within the various ministries and their agencies that contribute to the environment, forestry and climate change sector, could be made explicit.",negative,True
108,"The project design used time models that were not reflective of the actual time needed to complete Government of Bangladesh activities, such as the time it would take for the PSIMU to be staffed by Government of Bangladesh civil servants and how long an environment, forestry and climate change CIP would actually take to be developed.",negative,True
109,The initial project design was overly ambitious in its scope and objectives.,negative,True
110,"Patterns of discrimination in relation to the project, the Ministry of Environment and Forests and its Agencies and the CIP and its projects have not been identified, analysed and responses developed for.",negative,True
114,"However, these knowledge products need to be better contextualized and disseminated for optimal use at decentralized level.",negative,True
115,Field staff need to be involved in the preparation of these knowledge products for proper contextualization and eventual utilization.,negative,True
119,"That said, FAO also needs to strengthen the capacity of Technical Officers to mainstream gender in their work, particularly through customized advice and support from Gender Officers and GFPs in the decentralized offices.",negative,True
123,"Since governance was never clearly defined in the programme, it led to the programme being spread too thinly.",negative,True
127,"However, it is still too early and not yet clear if the work on the IPC Chronic Food Insecurity Classification scale and the nutrition scale will be widely adopted.",negative,True
129,"However, the work on resilience was not integrated with other programming initiatives such as social protection and sustainable agriculture.",negative,True
133,WFP and IFAD did not participate in the design.,negative,True
134,Better balance is needed.,negative,True
137,"Because FAO was in the early stages of its strategic re-organization, the corporate environment was not yet conducive to fully support such a multi-stakeholder and multi-sector effort (indeed the IGGHRP helped facilitate some of the needed corporate changes).",negative,True
138,"IGGHRP also lacked a strategic focus on a target governance space (e.g. smallholder farmers and producer organisations) or a theory of change made it difficult to maintain horizontal linkages across the outcomes (e.g., social protection linked to resilience programming).",negative,True
139,"E processes and used FAO internal mechanisms for M&E, limited M&E capacity could account for weak monitoring of governance outcome changes.",negative,True
147,"However, the intended results are ambitious within the given time frame.",negative,True
148,"Nonetheless, there is scope to improve the coordination structure with the involvement of subregional training institutions and commissions.",negative,True
149,"As a result, the development of technical guidelines may be delayed beyond 2017, especially in Africa.",negative,True
150,"There is also little vertical coordination and communication within participating partner organizations, with the exception of the FAO Regional Office for Asia and the Pacific (RAP).",negative,True
151,"Field testing the research results will better enable adaptation to specific country contexts and further increase country level capacities, which can also benefit non-funded regions.",negative,True
153,"Almost three-quarters of the overall funding gap pertains to the LAC, Near East and CIS regions, while implementation in the Africa region will not be affected due to the recent funding boost from the European Commission.",negative,True
155,"However, participation at the decision-making level varies from country to country.",negative,True
159,"However, diffusion of newly acquired capacities beyond the primary beneficiary was not obvious during the MTE, which could jeopardize the programme regardless of the positive signs of sustainability.",negative,True
164,The funding gap (USD 3.73 million) at the Global Office level primarily affects the research component.,negative,True
165,"In Asia-Pacific, the funding gap is about USD 6.16 million (45 percent of the budget allocated for the region)",negative,True
167,"With the exception of FAO, none of the participating partners have contributed financially to the programme, which raises the question as to whether there is enough interest to continue Global Strategy activities by implementing partners after the current resource partners have ceased to provide funding.",negative,True
173,This represents a missed opportunity and could result in the continued neglect of water access issues in the application of GWG principles.,negative,True
174,"Much remains to be done, however, with regard to alliance building beyond the technical water community, as noted above.",negative,True
179,"Although outreach and communications were considered essential to reaching target audiences, and to achieving the desired impact on national decision makers, the draft communication strategy was not effectively implemented.",negative,True
183,"The focus shifted, however, to concentrating on the more technical aspects of GWG.",negative,True
185,"Still, a more inclusive process in identifying topics in a wider agricultural-rural nexus is needed for better policy linkage and resource mobilization.",negative,True
188,"There is enhanced coordination between Ministry of Agriculture and National Statistics Office (NSO) but a lack of awareness about Global Strategy and its contribution remains, which could affect resource mobilization.",negative,True
190,"In spite of advocacy, communication and dissemination efforts, Global Strategy was largely unknown beyond its primary stakeholders.",negative,True
191,National coordination mechanisms were set- up in several countries but they may have to be revitalized for future use.,negative,True
199,"Apart from engagement with global initiatives using the IPC, such as the Global Report on Food Crises, the GSP has provided limited support for utilization of the IPC.",negative,True
201,Factors negatively affecting its usefulness include: the geographic unit of analysis being too large and therefore insufficient granularity of analysis; limited availability of data and poor quality data; political sensitivity of the results; and the challenge of translating the results into recommendations.,negative,True
202,Much more follow-up support at country level is needed.,negative,True
203,Data availability is a constraint particularly in countries experiencing occasional pockets of acute food insecurity.,negative,True
210,But it was infrequently cited as a source of information for decision-making and is not currently informing policy.,negative,True
212,"Views differ amongst GSP stakeholders about whether the IPC should be playing an early warning role or not, although this is clearly stated in Manual V3.0.",negative,True
222,"The GSU has maintained its independence at global level, but in some countries the IPC is overly identified with FAO with implications for its perceived neutrality.",negative,True
228,"Furthermore, some knowledge products and services should be better designed and more user-oriented in order to enhance their utility.",negative,True
231,Greater internal cooperation and coordination would enhance their efficiency.,negative,True
232,"AO data, analyses and learning resources are often disseminated through unrelated platforms and channels.",negative,True
234,"Furthermore, opportunities to capitalize on successful experiences are often missed.",negative,True
235,"Some however, could be even better tailored to the specific needs of their target audiences.",negative,True
236,"FAO knowledge products and services are produced in a decentralized manner, and generally operated on a shoestring budget.",negative,True
240,"However, quality assurance procedures are applied inconsistently.",negative,True
243,"While most focus countries are on the right course, it is still too early to observe the impact of access to land on the local people, and on reducing hunger and poverty.",negative,True
247,"This certainly reduced the visibility, viability and authority of the Nutrition Strategy as a guiding document within FAO.",negative,True
248,"However, the synergies that were hoped for between the ex-AGS staff and the rest of the division have yet to fully materialize.",negative,True
249,"A review of posts allocations indicates that ESN has currently a comparable level of professional posts (30) as AGN used to have in 2012-2013 (28), while the number of General Staff posts has been halved from 18 to 9 over the same period.",negative,True
250,"In fact ESN has had a number of vacancies, which it used to hire human resources on a short-term basis through consultancy contracts.",negative,True
251,"Human resources and skill sets are insufficient both to meet this growing demand and to cope with the challenges of a relatively new area of work requiring new skills and practical experience, e.g. in inter-sectoral policy dialogue, planning and programming, and relations with the private sector.",negative,True
252,A nutrition trust fund set-up by FAO after the ICN2 Conference was never promoted to donors and never accrued to.,negative,True
256,Those related to mainstreaming of nutrition in the field programme and policy work of the Organization have seen slow progress.,negative,True
262,The institutional disconnect between Ministries of Agriculture and Ministries of Health and between the corresponding UN agencies is still present in many countries.,negative,True
268,"Member Countries increasingly associate FAO with nutrition, as evidenced by their requests and priorities expressed during the 2016 round of Regional Conferences, but FAO does not always have the capacity to respond to their demands.",negative,True
269,"The lack of corporate-wide approach to nutrition extends to monitoring and evaluation, which is not systematically pursued in FAO nutrition-sensitive programmes.",negative,True
273,So far these challenges have predominantly been approached through direct nutrition interventions mainly implemented in the health sector; yet improving diets through better agriculture and food systems (so-called food-based approaches) potentially offers more sustainable solutions to all forms of malnutrition.,negative,True
274,"Current efforts in this direction should be expanded to help teams at headquarters and the different regions learn from each other, including horizontal learning from region to region.",negative,True
275,"However, there is a potential overlap between Output 1.1",negative,True
277,"The Organization should not limit itself to a declining emergency crisis response portfolio, which in many cases (e.g. in protracted crises) relies on ill-adapted, short-term humanitarian funding.",negative,True
279,"Capacities appear less robust in disaster risk reduction and management, insurance and cash-based approaches, and almost nil in conflict and political analysis.",negative,True
281,"There is potential for deeper integration and further synergies through exchanges of data sets, integration of geographic information systems, and the sharing of data collection tools such as tablets and satellite data link services.",negative,True
284,"At national level, the degree of engagement in Strategic Programme 5 still depends much on the profile, skill-set and preferences of individual FAO Representatives rather than on the relevance of Strategic Programme 5 to the country context and government priorities.",negative,True
287,"Efforts are being made to fill vacant positions and hire new staff in key technical units, but this may not be enough.",negative,True
289,"This is because as FAO expanded its portfolio in emergency and rehabilitation activities, the Organization used humanitarian resource channels that are relatively easier to access than development funding.",negative,True
291,Most of the personnel working on Strategic Programme 5 (national and international) are hired under consultancy contracts with extremely short contractual periods.,negative,True
292,"FAO lacks a formal programme level connecting the projects and the country programming frameworks, hence the recourse to country resilience strategies.",negative,True
293,"While this may be adequate for one-off responses to sudden onset disasters, it has proven problematic when implemented recurrently, as is often the case in protracted crises.",negative,True
294,Many technical units engage in resilience-related policies in a scattered manner.,negative,True
296,"In Africa and the Regional Office for the Near East and North Africa, the Regional Initiatives are only funded by FAO resources and therefore rather small, and used to fund catalytic country-level initiatives.",negative,True
300,"So far, many of these services, such as the community animal health workers or Farmer Field Schools, have not been aggressively promoted by FAO.",negative,True
303,FAO could strengthen its strategic position by deepening its involvement in resilience.,negative,True
304,"While silos were broken within Strategic Programme 5, there is potential for more collaboration between Strategic Programmes at headquarters.",negative,True
310,Seizing the opportunity presented by the current interest in resilience requires continued and strengthened operational and technical capacity together with increased investment in resilience programming.,negative,True
321,Resilience programming is not fundamentally new to FAO.,negative,True
324,Insufficient attention has been paid to knowledge management so far.,negative,True
325,"However, there has been no systematic staff training in resilience programming, and only modest efforts towards the development of knowledge sharing networks.",negative,True
326,A thorough stakeholder analysis might have prevented these problems.,negative,True
327,"The Logical Framework and M&E plan, however, were never adapted to the new activities of the BIG2050 Initiative.",negative,True
328,"Component 2 activities related to the Bocaina Mosaic came to a standstill around 2016, due to a misinterpretation of its attributions during project formulation.",negative,True
329,"Arguing that project outcomes were not altered by this significant change, no formal GEF approval was sought for it.",negative,True
331,All together the results of the component are considered moderately unsatisfactory.,negative,True
334,"The activities related to the strengthening of the Bocaina Mosaic, including the establishment of a permanent executive structure, were largely based on a misconception at the time the project was conceived.",negative,True
335,BOD (Biological Oxygen Demand) values have not been reduced.,negative,True
336,The main flaws to be considered are the lack of a thorough previous stakeholder analysis and the lack of consideration of gender issues.,negative,True
337,"However, at project conception it was wrongly considered that the mosaic was to have an executive character, where in reality it is merely consultative.",negative,True
338,"Changes in FAO regulations and procedures over the course of the project caused some implementation problems, due to the required adaptation.",negative,True
339,"Under Component 2, Bocaina Mosaic activities came to a standstill, due to lack of interest among its members.",negative,True
341,Conclusion 2.,negative,True
342,Conclusion 5.,negative,True
348,"At the time of its inception, FAO had limited or no field presence in the participating countries, relatively small national programmes and had only recently started to establish its first Central Asia sub-regional office in Ankara.",negative,True
349,The FTPP was designed without a robust results framework or Theory of Change (ToC).,negative,True
351,There were no procedures applied for ensuring the relevance of project activities to the beneficiaries.,negative,True
352,"FTPP is a highly fragmented programme consisting of 28 small, autonomous projects, which do not facilitate collaboration to any substantial degree.",negative,True
353,"With very few exceptions, the implementation has not included partners that can facilitate results in the field.",negative,True
355,"Despite the gender issues inherent in most projects, for example, no gender analysis was conducted.",negative,True
356,"The outputs could be significantly improved, particularly through a greater focus on the needs of beneficiaries.",negative,True
357,"The outputs could have had a greater impact by building on existing projects, or by being continued and expanded by partner organizations.",negative,True
360,"The draft policies and strategic plans were either not approved, or the approval was still in process.",negative,True
364,"However, the programme started without either a real design or results-based framework.",negative,True
365,"In particular, the bureaucracy involved contributed to serious delays in the implementation of the programme.",negative,True
366,A demand driven programme with adequate ownership requires significant involvement from stakeholders (at both the regional and national levels) in programme design and planning.,negative,True
367,"Most of the scattered and small projects were unable to achieve impact in isolation, as the challenges they addressed were often interdependent.",negative,True
369,"This was especially the case for field-oriented programmes, such as cattle production, watershed management and home-based nurseries, where the activities were developed around community organizations.",negative,True
375,The operational and financial framework was not very successful in establishing an effective field programme.,negative,True
376,"In another example, although the concepts of environmental sustainability were built into the design of several projects, they were not integrated into the project activities.",negative,True
377,Long delays were experienced in programme implementation and the delivery of project outputs.,negative,True
378,The limitations in project funding and duration affected the scale and scope of the project outputs.,negative,True
381,"The ownership by Ministries in recipient countries differs, but is generally limited.",negative,True
383,"The selection and approval process for projects, as conducted by FAO and the Government, was found to be ineffective.",negative,True
384,The programme aimed to be demand driven.,negative,True
385,The small projects (i.e. those with short durations and limited budgets) sometimes lacked focus on what they could realistically achieve,negative,True
386,"In a number of cases, a lack of institutional development limited the potential of technical interventions.",negative,True
393,"Consequently, strengthening decentralized office capacity to effectively engage with UN Country Teams will become increasingly important.",negative,True
395,This will require greater attention to the scale and impact of investment operations than merely stepping up resource mobilization for programme delivery.,negative,True
396,"At the same time, they need to be packaged into more concrete programme interventions related to major challenges and incorporate results chains and narratives aligned to the priorities of resource partners and SDG targets.",negative,True
397,"In this regard, the 40 SDG targets, 20 interconnected actions and 12 focus areas for resource mobilization provide new and alternative opportunities to design flagship programmes that are cross-SO from the outset.",negative,True
400,"The integration of cross-cutting themes has not been systematic, with the exception of climate change.",negative,True
406,The main shortcoming affecting the relevance of the projects evaluated was the decision to fund a large number of projects through two different funding windows at the same time.,negative,True
407,"Furthermore, the vast majority of immediate action projects did not monitor the adaptability and productivity performance of PGRFA.",negative,True
409,"As a result, the strategic action plans in most cases could not be fully implemented.",negative,True
411,"However, the call for proposals focused primarily on food security with insufficient emphasis on nutrition; also gender differentiated approach in project execution has not been sufficiently prioritized.",negative,True
412,"However, the formulation of a large number of strategic action plans without clear funding sources identified before project closure is not considered good value for money.",negative,True
415,"However, some of the outcomes set forth under Components 1 and 2 were not achieved, for example, the conservation of endemic biodiversity (including agrobiodiversity), or the implementation of information systems regarding the state of biodiversity in the Chimborazo Reserve.",negative,True
417,"In addition, the GADPCH has limited capacity to directly execute large projects and manage a wide range of participants as was evidenced by its decision to assign the Project under the Environment Coordination Committee instead of the Planning Coordination Committee.",negative,True
418,"The evaluation identified some weaknesses, in particular the establishment of a comprehensive overview as regards land use planning and sustainable development in the province.",negative,True
421,"However, the Project did not apply the monitoring of the participation of women or young people aged 15 to 25 in the training events and in the different initiatives implemented, or specific data to determine whether the Project had contributed towards improving their rights such as, for example, their level of access to training and financial resources.",negative,True
423,"However, taking into consideration the significant budget cuts in the country since 2016, it is probable that the level of replicability will be low in the next few years due to its high cost.",negative,True
425,"In particular, the conservation and sustainable use of natural resources was mainly focused on the harvesting of water resources in the upper paramo basins and sub-basins and the optimization of their use, the application of a pilot model of compensation mechanisms for the Payment for Environmental Services (PSA).",negative,True
430,Other important factors identified were the absence of risk management in planning and the lack of monitoring of results backed up by a communication strategy and an appropriate institutional arrangement geared towards reducing the inter-institutional interaction difficulties experienced (particularly under Component 2).,negative,True
431,"However, the execution of some outputs completed in the last months of the Project could experience sustainability difficulties as a result of not having a formal subsequent transfer of technical monitoring, and taking into consideration that the Project did not establish some activities to support the conservation and the proper management of the paramo, such as, for example, a system to monitor the outcomes and tangible changes at an environmental, social and economic level.",negative,True
433,"However, it has only managed to partially fulfil the high-level objectives, in other words the development and environment objectives of the project.",negative,True
435,"However, it was necessary to extend the duration of the project by about two years and 20 percent of the GEF funds were executed in the last six months.",negative,True
436,"In particular, the high staff turnover in the OPIM, the GADPCH and the cantonal and parish DAGs, the lack of clarification of the responsibilities of the OPIM and of FAO-Ecuador (particularly at the beginning of the Project, after the change in OPIM staff in 2013 and after the Mid-term Evaluation at the end of 2015) and the lack of monitoring of the outcomes and risk management by the OPIM technical team to mitigate the problems associated with the slow execution of the Project in time.",negative,True
439,In terms of the replicability of the infrastructure projects it was found that the GADPCH and the cantonal and parish DAGs have not been able to assess their cost-efficiency to date17 in order to prioritize the works to be replicated (in accordance with the LUDP priorities).,negative,True
441,"Although the project is seen as an important first step, it did not possess adequate resources, namely the time and budget, to achieve the objectives as planned in the project document.",negative,True
443,"Only 2 percent of the targeted area was reached and despite implementation of most project activities, no direct outcome was fully achieved.",negative,True
444,"The selection of the executing partner, SODEFOR, did not take into account its limited capacity to manage fauna and communities living outside of forest areas.",negative,True
445,The limited implementation capacity resulted in delayed implementation of certain activities.,negative,True
449,"This suggests that more institutional and individual capacity building, awareness raising, technical and financial support is needed to ensure environmental and socio-economic impact.",negative,True
462,"To this end, FAO should also ensure a focus on strengthening capacities to develop evidence bases for informing advocacy messages and policies that include cost values of policy choices or of policy inaction, for instance in relation to environmental sustainability or deforestation.",negative,True
464,FAO therefore needs to more loudly share lessons from pilot projects and from its experience and expertise.,negative,True
471,"A longer term strategically oriented approach to policy engagement by FAO, in collaboration with other members of the UN country team and backed by the FAO Regional Office for Asia and the Pacific, could provide a way to move away from an ad hoc approach to policy engagement, towards a longer term approach, limiting risks concerned through partnerships with UN country team and other development partners.",negative,True
476,"Given this approach, there was equally a lack of clarity and mode of project financing both of which were associated with delays in activity onset.",negative,True
478,It also limited the planned adaptive learning from resilience to climatic change.,negative,True
481,A delayed decision to procure services of a consultant to support the instituting of the Livestock Identification and Traceability Systems (LITS) was a missed opportunity for strengthening market and disease control regulation.,negative,True
484,"Furthermore, tail-end famers already facing water scarcity were deprived of this important intervention.",negative,True
487,On the institutional capacity development - Strengthening and transforming community- based organizations (CBOs) and farm services centres (FSCs) were not achieved to the extent that was planned under the project.,negative,True
488,"Activities such as establishment of vegetable production units, fruit plants nurseries, fruit orchards and distribution of seeds silos were expensive, not very strategic and not reaching to a broad range of beneficiaries.",negative,True
490,"However, the evaluation noted that other mangrove consultation frameworks already existed (for instance the Cameroon Mangrove Network) and the project could have focused on strengthening these networks.",negative,True
491,The project has not yet put in place a strategy to use the results of permanent plot monitoring after its closure.,negative,True
492,"However, the final acts of approval for the classification of these protected areas (either Douala-Edea National Park or Ramsar sites) do not solely depend on the project.",negative,True
493,"Furthermore, the evaluation of protected area management effectiveness, which is a requirement of this project and of GEF projects in general, has not been carried out.",negative,True
494,"Indeed, the results and effects obtained appear to be lower than expected.",negative,True
496,"However, the studies carried out by the project did not always highlight gender specificities.",negative,True
497,"The project could have improved its performance by adding a lobbying and political advocacy component, in order to mobilize these high-level political actors in its favour and improve results and outputs.",negative,True
501,"The report repeatedly highlighted the weak involvement of the private sector as a major issue, which is nevertheless a key actor as a user and potential polluter of mangrove ecosystems.",negative,True
503,"According to the viewpoints of the various institutional actors and the beneficiaries themselves, this aspect remained the soft underbelly of the project's achievements in terms of the financial and human resources made available.",negative,True
505,"However, the objective of strengthening resilience to climatic shocks did not clearly translate in design and logframe (e.g. in geographic targeting criteria, in outputs/ activities: no early warning system at village level, no contingency plan).",negative,True
508,"However, the design was not well balanced to ensure the adoption of a multisectoral approach in all JRP villages and throughout the duration of the project: the WASH component covered a limited number of villages in a single locality.",negative,True
509,"The need to follow-up was to be expected and an exit strategy should have been anticipated (including on orientation, activities and budget) at design stage.",negative,True
510,The absence of capacity building plans for implementing partners and local authorities and of planned transfer of responsibility challenged the sustainability of the JRP (see Recommendations 2 and 3).,negative,True
511,"Moreover, some Output 4 and 5 activities were monitored as a package through aggregated indicators that could not provide quantifiable evidence of what exactly was implemented.",negative,True
512,Feedback to the community and project documentation adjustments to the CAPs were not clearly included in the design.,negative,True
513,The revision of the CAP by technical experts reduced potential ownership and buy-in of the process by the communities.,negative,True
514,"The initial breakdown of the budget by component was not updated to include the priorities defined during community consultations, or the increase in the number of villages (and the reduced number of targeted people) even though these changes had an impact on the needs to be addressed by each of the four components.",negative,True
515,Agency-specific procedures for partnership or procurement created some difficulties and reduced the potential achievements of an integrated and joint approach.,negative,True
516,"While this could have been an opportunity to strengthen the capacities of ministries to work together and develop multisectoral strategies, JRP did not make the most of it.",negative,True
517,This would have enabled proper feedback from communities on activities carried out during the year and ensured the update of action plans.,negative,True
518,"However, behaviour change is a long-term process and results need to be consolidated.",negative,True
520,A reduction of the period dedicated to the implementation of Output 2 to Output 4 activities has had an impact on overall achievements.,negative,True
521,"A better assessment of the context, to include a realistic number of targeted villages from the outset and the inclusion of a pre-established mechanisms to answer climatic shocks in the design, would have eased the management of the JRP management and respect of the timeframe.",negative,True
522,Waiting for a CAP to be validated to start their implementation was superfluous and only delayed the beginning of the activities.,negative,True
523,"This is due to a lack of investment, with only 5 percent of the programme budget for WASH, and impact of floods, but also due to difficult coordination with the AquaForEast project.",negative,True
524,"Moreover, while coordination within the JRP was already an issue, it can be considered overambitious to ask the programme to coordinate with an external project.",negative,True
525,"WASH components raised an issue of sustainability, considering there was no effective water management committee, no fees were systematically collected for most water sources and locality services were weak.",negative,True
528,"However, most of these effects would have to be assessed at a later stage, also considering that annual surveys did not show clear overall improvement of livelihoods at this stage.",negative,True
529,Field teams could not ensure monitoring and follow-up of activities to consolidate the achievements of the programme and this represents a risk for the quality of interventions as well as for their sustainability.,negative,True
532,"Better preparedness and anticipation would have helped to better respond to needs, and in particular to provide early assistance for livestock owners affected by drought.",negative,True
535,"The choice of villages should have been documented in detail to clarify the various criteria used to select villages, the decision-making process and the roles of different actors involved.",negative,True
536,"The full implications of coordinated planning and implementation between agencies were not fully considered, and this ultimately hampered achievement of the full potential of joint programming.",negative,True
537,Transparency and clear feedback mechanisms with communities were also lacking when they would have been crucial to a project hinged on consultation with beneficiaries and their participation.,negative,True
538,Three years was a short period to achieve sustainable results in building resilience in the context of Kassala.,negative,True
540,"Cultural barriers are still a constraint to access to good health and nutrition, and low capacity of the Ministry of Health challenged the possibility to carry on activities without important technical and financial support from partners.",negative,True
551,The risk of droughts and floods failed to be at the centre of a project focused on resilience to climate shocks.,negative,True
555,The two Organizations also need to work on improving the management of vaccines.,negative,True
557,"To ensure impact, the evaluation findings evidenced that it is necessary to review and update the priority diseases, the challenges faced and the progress being made.",negative,True
558,AO and OIE have not been able to secure or raise funds for joint programmes but both Organizations have managed to raise funds for their respective TADs programmes and projects.,negative,True
560,"Activities at country level are supported indirectly through GF-TADs regional initiatives, yet implementation at country level is beyond the capacity of the GF-TADs.",negative,True
561,"Effectiveness at global level suffers from the lack of agreed managerial processes in the Management Committee (MC), limited resources, lack of staff, a lack of implementation of strategic planning and limited review of progress and activities being undertaken.",negative,True
562,"This is reflected in the commitment of its resources (human, financial and organizational) that is ill-defined and too limited to assure achievement of the agreed objectives.",negative,True
563,The budget and consequential capacity of GF-TADs at global level is limited and dependent on availability.,negative,True
